col0,col1
Crop Protection,
Voluntas,
Journal of Cancer,
Canadian Journal of Philosophy,
Himalayan Linguistics,
Regional Environmental Change,
Geographical Review,
Journal of Language Contact,
Fisheries Oceanography,
Genre & Histoire,
Deutsches Ärzteblatt,
ACM SIGMOD Record,
Journal of Moral Philosophy,
The Art Bulletin,3
Logia: a journal of Lutheran theology,3
Gynecological Surgery,
Acta litteraria Academiae Scientiarum Hungaricae,3
Physiological Research,2
Concordia Pulpit Resources,3
The Garden: an illustrated weekly journal of gardening in all its branches,
Cardiology Journal,
Journal of Ecology,
Leadership and Organization Development Journal,
Acta Energetica,
