col0,col1
Steinkreuz in Rothenburg (1),
Steinkreuz in Neunkirchen (3),
Penitence cross in Všehrdy,
Kreuzstein und Steinkreuz in Rengersricht,sandstone
Steinkreuz Wirbertshofen,limestone
Steinkreuz nördlich von Wernsbach,sandstone
Kreuzstein Winkelhof,sandstone
Steinkreuz zwischen Worzeldorf und Kornburg,sandstone
Kreuzstein Tittinger Höhe,
Scheibenkreuzstein in Spalt,sandstone
Steinkreuz in Hohlach,
Steinkreuze Kornburg,
Penitence crosses in Kostelní,
Penitence cross in Těšovice,
Steinkreuz in Großgründlach 1,
Steinkreuz in Niederndorf,
Gedenkkreuz,
Gedenkkreuz,sandstone
Gedenkkreuz,sandstone
