col0,col1
Sackler Prize for Chemistry,Sackler Prize
Tony Award for Best Actor in a Musical,Tony Awards
Critics' Choice Television Award for Best Actress in a Comedy Series,
Tony Award for Best Director,Tony Awards
Southland Conference Men's Basketball Player of the Year,
Florida Film Critics Circle Award for Best Screenplay,
Gopo Award for Best Directorial Debut,
Satellite Award for Best Miniseries or Television Film,
Billboard Music Award for Top Rock Song,
TVyNovelas for Best Child Performance,Premios TVyNovelas
Academy of Canadian Cinema and Television Award for Best Motion Picture,
Vijay Award for Best Villain,
Tamil Nadu State Film Award for Best Villain,
