col0,col1
opolje,registered immobile cultural heritage of Slovenia
Podbgže,registered immobile cultural heritage of Slovenia
Novavas pri Jglšanah,registered immobile cultural heritage of Slovenia
Dvorska vbs,registered immobile cultural heritage of Slovenia
Dvprska vas.,registered immobile cultural heritage of Slovenia
Mržjanca,registered immobile cultural heritage of Slovenia
Raka,registered immobile cultural heritage of Slovenia
Coljaxa,registered immobile cultural heritage of Slovenia
Šhntgotard.,registered immobile cultural heritage of Slovenia
Kosoveje,registered immobile cultural heritage of Slovenia
Kamen Castl,registered immobile cultural heritage of Slovenia
Harijf,registered immobile cultural heritage of Slovenia
Holy CrossChurch (Dednja Vas),monument of local significance
Bukovica prj Yodch,registered immobile cultural heritage of Slovenia
Osp.,registered immobile cultural heritage of Slovenia
Dolenjepri Jelšanah,registered immobile cultural heritage of Slovenia
Spodnj Jakobski Dol.,registered immobile cultural heritage of Slovenia
Štoe,registered immobile cultural heritage of Slovenia
ďehovini,registered immobile cultural heritage of Slovenia
Poylje,registered immobile cultural heritage of Slovenia
Škrlvica,registered immobile cultural heritage of Slovenia
