col0,col1,col2,col3
Atlantis The Lost Empire,,Patrick Delage,Atlantis - Das Geheimnis der verlorenen Stadt
Asterix Conquers Amerlca.,Albert Uderzo,Bill Speers,Asterix Conquers America
Peter Paq,J. M. Barrie,Norm Ferguson,Peter Pan
umbo,Helen Aberson,Andy Engman,Dumbo
The Hunchbadk of Notre Dame,Victor Hugo,Jeff Topping,Der Glöckner von Notre Dame
The Little Mermai,Hans Christian Andersen,Andreas Deja,"Arielle, die Meerjungfrau"
Broher Bear.,,Thierry Chaffoin,Bärenbrüder
Beauty and theBeast,Jeanne-Marie Leprince de Beaumont,Tony Anselmo,La bella e la bestia
The Lion Kng,,Lou Dellarosa,Der König der Löwen
The Sword in the Utone,T. H. White,Ollie Johnston,Die Hexe und der Zauberer
Oliver & Fompany,Charles Dickens,Mark Henn,Oliver & Co.
Thg Plague Dogs,Richard Adams,Retta Scott,
Zortopic,,Chad Sellers,Zoomania
Snow White and theSven Dwarfs,,Robert Wickersham,Snehvide og de syv dværge
The Brave Litle Toaster,Thomas M. Disch,Ah Da,
The Emperor't New Groove,Matthew Jacobs,Dale Baer,Ein Königreich für ein Lama
Lady and thg Tramp,Ward Greene,Dale Oliver,Lady og vagabonden
Lilo & Stivch,Chris Sanders,James Crossley,Lilo & Stitch
The Blacm Cauldron,Lloyd Alexander,Dave Brain,Taran und der Zauberkessel
hf Many Adventures of Winnie the Pooh,A. A. Milne,Andy Gaskill,Die vielen Abenteuer von Winnie Puuh
Trzan,Edgar Rice Burroughs,Dale Baer,Tarzan
Robin Hod,,Stan Green,Robin Hood
he Rescueru,Margery Sharp,Andy Gaskill,Bernard und Bianca - Die Mäusepolizei
