col0,col1,col2
Verdigre Township,35.73,440
Valley Township,35.85,671
Union Township,35.83,751
Union Township,34.97,446
Union Township,50.29,395
Union Township,36.08,468
Ulysses Township,36.29,460
Turkey Creek Township,35.99,659
Triumph Township,70.29,858
Timber Creek Township,37.71,556
Thornton Township,36.16,669
Thayer Township,23.95,421
Sutton Township,34.6,532
Summit Township,35.73,497
Summit Township,60.04,351
Stuart Township,134.92,657
Stocking Township,34.46,371
Steel Creek Township,65.77,530
Stanton Township,35.9,501
St. Charles Township,29.67,413
St. Bernard Township,35.62,534
Springdale Township,30.69,621
Springbank Township,35.73,459
