col0,col1,col2
Cal Canal,680,
La Riba,366,
West House,,Chelsea
Casa Gasset,622,
Llwyn-cus,230.7,Treflys
Cal Llobet,542,
Casa Roca,535,
Dresden House,25.3,Monmouth
Tregwynt,54.4,Pencaer
Cal Baldiri,21,
Torre Vilardell,138,
Park House,62,Fishguard and Goodwick
Park House,108.9,Newtown and Llanllwchaiarn
Park House,137.8,Forden with Leighton and Trelystan
Park House,88.5,Ynysawdre
Park House,29,Stackpole and Castlemartin
Kingsley House,26.1,Monmouth
East House,34,Cowbridge with Llanblethian
Can Bou,43,
Bank House,188,Montgomery
Bank House,65.5,Llandeilo
Bank House,59,Abergavenny
Bank House,65.3,Llandovery
Bank House,22.6,Carmarthen
