col0,col1,col2
Kremenchuk Raion,6105.8,399400
Kremenchuk Raion,1020,
Semenivka Raion,1300,23914
Semenivka Raion,1470,
Nizhyn Raion,1514,33400
Nizhyn Raion,7226.6,228700
Bakhmut Raion,1747.6,211400
Horodok Raion,727,68544
Dnipro Raion,5605.6,1145065
Izmail Raion,3434.4,207333
Nadvirna Raion,1293.6,115011
Nadvirna Raion,1872,130600
Khmelnytskyi Raion,1220,53236
Khmelnytskyi Raion,10755.8,687000
Oleksandrivka Raion,1159,25965
Polohy Raion,6762.5,163641
Polohy Raion,1340,39115
Kamin-Kashyrskyi Raion,4693.4,130382
Kamin-Kashyrskyi Raion,1747,130382
Pokrovsk Raion,4020,402700
Verkhovyna Raion,1271.7,30500
Verkhovyna Raion,1260,30569
Beryslav Raion,4764,99100
