col0,col1,col2
European Pocket Billiard Federation,Europe,
Boccia International Sports Federation,worldwide,
WBSC Oceania,Oceania,
FIBA Europe,Europe,
Asian Skating Union,Asia,
Asian Hockey Federation,Asia,
International Correspondence Chess Federation,Earth,ICCF
WBSC Asia,Asia,
World Mountain Running Association,worldwide,WMRA
International Weightlifting Federation,worldwide,
International Table Hockey Federation,Earth,
World OCR,worldwide,
International Boxing Organization,worldwide,
Asian Cycling Confederation,Asia,ACC
Worldloppet Ski Federation,Earth,
Muzzle Loading Associations International Committee,Earth,
Confédération Mondiale des Sports de Boules,Earth,
