col0,col1,col2
Kaisariani Municipality,26458,7.841
Agios Efstratios Municipality,616,
Pallini Municipality,54415,
Ziros Municipality,17830,
Oichalia Municipality,15592,
Tripoli Municipality,47457,
Hersonissos Municipality,26717,
Myki Municipality,14237,
Pineios Municipality,21034,
Georgios Karaiskakis Municipality,10434,
Argos-Mykines Municipality,40009,1003
Municipality of Kalamata,69090,
Amphilochia Municipality,17056,
Karpathos Municipality,6794,
Gortyn Municipality,19148,
Antiparos Municipality,1320,
Topeiros Municipality,9473,312
Emmanouil Pappas Μunicipality,18878,337.922
Zografou Municipality,71026,
