col0,col1
Martin and Lewis,Toronto
The Christmas Card,California
Somebody Help Me,California
Hijack,California
On Golden Pond,Los Angeles
The Monk,San Francisco
Phil Spector,New York City
Nero Wolfe,New York City
Into the Fire,New York City
Pope John Paul II,Austria
Bigfoot,Carnation
Foreign Exchange,Pinewood Studios
Brief Encounter,Pinewood Studios
Curtin,Victoria
French Silk,New Orleans
Faith of My Fathers,New Orleans
Child of Glass,New Orleans
A Streetcar Named Desire,New Orleans
A Streetcar Named Desire,New Orleans
Pop Rocks,New Orleans
Harvey,Vancouver
Dead on Target,Vancouver
Blackout,Vancouver
Goblin,British Columbia
