col0,col1,col2
"Stela dedicated to Amon-Re of Ipet, Meretseger and Amenhotep I by Parahotep, servant in the Place of the Truth Limestone",30,20.5
Stela dedicated to Neith and Ptah by Wadjmes Limestone,26.5,17.5
women in ceremonial dress-E 13108,61,39
Postschneckenstele,5,
Stele Johann Julius Hecker,0.8,
Stele of the Vultures,1.8,1.3
Offering stele-MAHG 23473,53,32
stela dedicated to the god Wepwawet by the lady Mehytabsu,24,14.7
stele for Ernst Busch,190,
Lamashtu plaque AO 7088,7,6.4
God holding a bird-AO 27140,8.6,
Victory stele-AO 2678,34.5,28.5
Funerary stela showing the deceased with his arms lifted in prayer Limestone,46,26
Monument to City of Military Glory (Petrozavodsk),11.8,
