col0,col1,col2,col3
Srimošten,11.3886,0.0,Šibenik-Knin County
Semeljfi,101.2952,,Osijek-Baranja County
agodnjak,103.01249999999999,,Osijek-Baranja County
"Mihovljan, Krapina-Zagrje County",26.226199999999995,,Krapina-Zagorje County
Zgenci,84.85379999999998,,Virovitica-Podravina County
Višovo,18.5504,332.32,Primorje-Gorski Kotar County
ižnjan.,67.419,58.882,Istria County
Sveta Pedelja,63.63,306.0,Istria County
Smokvicc,43.6436,120.78,Dubrovnik-Neretva County
Vižioada,35.4144,39.88,Istria County
]rinski Topolovac,30.247999999999998,,Bjelovar-Bilogora County
ar-Vabriha,27.1271,103.30899999999998,Istria County
Bedpja,76.0476,,Varaždin County
Barbn,89.776,228.771,Istria County
ovas,42.9408,,Vukovar-Srijem County
Tsno,66.6333,0.0,Šibenik-Knin County
Radobj,33.3979,,Krapina-Zagorje County
Prko,54.1632,0.0,Zadar County
Lastvo,52.552499999999995,80.07999999999998,Dubrovnik-Neretva County
Graac,72.6768,,Split-Dalmatia County
"Hercegovac, Crotia",51.106,,Bjelovar-Bilogora County
Pdgorač,130.01520000000002,,Osijek-Baranja County
Bedeovčina,51.143,,Krapina-Zagorje County
