col0,col1,col2
Harry Brighton,Anthony Quayle,
Shakthi,Nani,
Maggie Simpson,,Hugo Simpson
Elizabeth Bennet,,Catherine Bennet
Lucky Luke,"Statue of Lucky Luke, Rantanplan and Joe Dalton in Middelkerke",
Adrian Pennino,,Paulie Pennina
Jasmine Jordan,,Marcus Jordan
Goku,,Raditz
Gavin,,Jack
Shaggy Rogers,,Maggie Rogers
Blathers,,Celeste
Babu,Nani,
Poo,,Anjali Sharma Raichand
Bulma,,Tights
Riot,,Agony
Scooby-Doo,,Skippy-Doo
Judy Robinson,,Penny Robinson
Tom Cooper,,Murphy Cooper
Speed Racer,,Spritle Racer
Simon Tam,,River Tam
Cyclops,,Vulcan
Krishna,Nani,
Rain,,Taven
