col0,col1,col2
Montague Township,310,19.3
Pine Grove Township,284,35
Bloomfield Township,218,36
Bloomfield Township,322,35.7
Hadley Township,283,36.1
Center Township,224,35.3
Ransom Township,305,30.2
Eagle Township,254,91.6
Newkirk Township,287,72.8
Webster Township,281,93
Dickson Township,262,71.7
Bay Township,258,48.9
Springfield Township,319,35.5
Springfield Township,310,36.7
North Branch Township,249,36.3
Waverly Township,206,137.5
Waverly Township,209,89.1
Merritt Township,179,82.03
Le Roy Township,352,35.1
