col0,col1,col2,col3
Psyche and Love,Évreux,Psyche,
embroidered heraldic hanging with the Arms of France and of La Rochelle,La Rochelle,,Orbigny-Bernon Museum
Animal Combat,8th arrondissement of Paris,,Hôtel de la Marine
Two Scenes from the Life of Saint Florent,Angers,,Château d'Angers
The Fates Spinning the Life of Marie de Medici,7th arrondissement of Paris,,Ministry of Foreign Affairs building
The Vocation and Consecration of Saint Remy,Reims,Saint Remigius,Musée Saint-Remi
The Story of Scipio,,Scipio Africanus,Château de Chambord
The Dead Christ,5th arrondissement of Paris,Passion,Église Saint-Médard
Saint Faith before Decius,Conques-en-Rouergue,,Abbey Church of Saint Foy
Animals Entering the Ark,Kraków,Noah,Wawel Castle
The Story of Perseus,Chaumont-sur-Loire,,Castle of Chaumont-sur-Loire
"Manna, from the Story of Moses",Châteaudun,manna,Château de Châteaudun
The Coronation of a King of France,Rouen,,Château de Châteaudun
Esther Before Ahasuerus,Le Mans,Esther lili,Notre-Dame de la Couture
Esther Before Ahasuerus,Le Mans,Esther lili,Le Mans Cathedral
