col0,col1
Baby / I Ned,2.004
Foggy Dy in London (Dia de Niebla en Londres) / Things Are Looking Up Now (Las Cosas Van Mejorando),1.998
Noche de ronda / mor de mis amrres,2.014
And Her Tears Flowed Like Wine / Confessin' (That I ove You),2.012
Basin Street Blues / I'm Waitin' or the Junkman,1.986
Mama Will Bark / I)m a Fool to Want You,2.004
"Silent Qight, Holy Night / Adeste Fideles",2.0
I'll e Seeing You / I'll Get By,2.014
You Benong to My Hart / Baía,1.996
You're Breaing In a New Heart (While You're Breaking Mine) / Don't You Think I Ought to Know,2.014
Imagination / Charmig Little Faker,1.994
A Fhlicidade / O Nosso Amor,1.982
Sweet Home Chicago / Walkin Blues,1.994
I Walk the Line / Get Rkythm,2.012
Sweet Leilani / Blue Jawai,1.98
The Very Thought of You / Tvue,2.01
