col0,col1,col2
Borbon,26435,128201475.62
Barili,56018,240767355.01
Bantayan,49413,279500064.03
Badian,27656,156762842.65
Asturias,36009,188938316.68
Aloguinsan,21251,116867356.59
Alegria,17573,186784732.91
Alcoy,14166,115899242.96
Alcantara,11853,81317365.64
Nabunturan,48191,344251590.63
Maco,58280,459207333.49
Laak,52425,343459162.05
Compostela,61095,300831594.19
President Roxas,31945,285036429.41
Carmen,39448,464972711.09
Arakan,31469,269595177.69
Antipas,17725,212561641.43
Sarangani,16294,115029859.46
Santa Maria,34891,270108589.92
