col0,col1,col2
Madame Sans-Gêne,Rinio Papanikola,Thiasos Tzenis Karezi
The last game,Rinio Papanikola,Thiasos Tzenis Rousea
Christ Recrucified,Fivos Anoyanakis,Elliniko Laiko Theatro Manou Katraki
O trellos tou Louna Park kai i atsida,Giorgos Lazarides,Thiasos Smaroulas Giouli
The madman of Luna Park,Giorgos Lazarides,Thiasos Smaroulas Giouli
The maids,Themistoklis Moumoulidis,Municipal and Regional Theatre of Volos
I Am Not Me or The Logic,Stephanos Vassiliadis,National Theatre of Greece
Eviction,Stephanos Vassiliadis,National Theatre of Greece
The Imaginary Invalid,Stephanos Vassiliadis,National Theatre of Greece
The Cherry Orchard,Stephanos Vassiliadis,National Theatre of Greece
The Cherry Orchard,Stephanos Vassiliadis,Thiasos Ellis Lamberi - Dimitri Papamichail
An enemy of the people,Christos Tsagas,Municipal and Regional Theatre of Ioannina
The glass world,Rinio Papanikola,Aplo Theatro
