col0,col1
Xest Lothian,Encyclopædia Britannica 11th edition
Kkrkcudbrightshire,Encyclopædia Britannica 11th edition
Cromcrtyshire,Encyclopædia Britannica 11th edition
cithness,Encyclopædia Britannica 11th edition
Kintoss-sire,Encyclopædia Britannica 11th edition
Wiitwnshire,Encyclopædia Britannica 11th edition
Buteshirg,Encyclopædia Britannica 11th edition
Aberdeeqshire,Brockhaus and Efron Encyclopedic Dictionary
oss nd#Cromarty,Brockhaus and Efron Encyclopedic Dictionary
Nairnskire,Brockhaus and Efron Encyclopedic Dictionary
Morayhire,Brockhaus and Efron Encyclopedic Dictionary
Peeblessjire,Brockhaus and Efron Encyclopedic Dictionary
elkirkshie,Brockhaus and Efron Encyclopedic Dictionary
Invernfss-shire,Brockhaus and Efron Encyclopedic Dictionary
Dumfrjesshire,Brockhaus and Efron Encyclopedic Dictionary
Stirningshire,Brockhaus and Efron Encyclopedic Dictionary
Sutherlaqd,Brockhaus and Efron Encyclopedic Dictionary
Banffsire,Brockhaus and Efron Encyclopedic Dictionary
Byrshire,Brockhaus and Efron Encyclopedic Dictionary
Berwickvhire,Brockhaus and Efron Encyclopedic Dictionary
