col0,col1
Health Sciences Library,
Carl S. Swisher Library,
Carl S. Swisher Library,
Andrew Carnegie Library,
"Library of Research Institute for Economics and Business Administration, Kobe University",
"Library of Research Institute for Economics and Business Administration, Kobe University",
Olin Library,
University of Manitoba Libraries,
Hunt Library,
Hunt Library,
Aalborg University Library,
Carnegie Library,
Newport Library,
Hospital Real,
Surugadai University Media Center,
Nagoya Institute of Technology Library,
"The Graduate University for Advanced Studies, Library",
British Library of Political and Economic Science,Survey of GLAM open access policy and practice
Lilly Library,
"Library, Nihon University College of Bioresource Sciences",
John Harris Library,
Morisset Library,
Academic Library,
