col0,col1
Kamiyamada Line,25.9
Esashi Line,37.8
Tōbu Keishi Line,6.3
Merseburg–Leipzig-Leutzsch railway,27.73
Kajiyabara Line,6.9
Simbach–Pocking railway,28.38
Übersee–Marquartstein railway line,8.02
Shokotsu Line,34.3
Großpostwitz–Löbau railway line,18.576
Khyber Pass Railway,58
Toya Railway Line,
Tōbu Yaita Line,
Tumut railway line,
Lockwitztal Tramway,9.2
Halsskovbanen,
former railway line Brno - Tišnov,28.4
Oschatz–Strehla railway line,11.91
Valley Subdivision,130.421
Tanggu Railway,
railway line Chotětov - Dolní Cetno,8.534
Biella–Balma railway,13
New Portage Branch,
Katsuta Line,13.8
