col0,col1
Archival fonds: Central Union of Employees,1
Archival fonds: Socialist Worker Youth,0
Archival fonds: Workers International Relief,0
Archival fonds: Gewerkschaftsbund der Angestellten,0
Archival fonds: Workers' Gymnastics and Sports Federation,0
Archival fonds: General Federation of Free Employees,1
Archival fonds: General German Trade Union Federation,2
Archival fonds: International Red Aid,0
Archival fonds: Young Communist International,0
Archival fonds: International Workingmen's Association / First International,0
