col0,col1,col2,col3
marble bust of Marie-Louise Gabrielle of Savoy,0.95,0.4,0.48
Bust of a Young Black Man,13,7.5,12.5
Portrait d'Agrippine l'Ainée - Louvre Ma 1271,38,24,26
Portrait of Germanicus,43.5,25,25
"Musée Saint-Raymond, Ra 342 c",41.2,26.5,24
Bust of Robert Burns,14.5,6.5,13.5
The Physician Oscar Nissen,40,24,46.5
"Bust of Man, Yale University Art Gallery, inv. 1929.360",10.8,6.2,9
Ibero-Roman veiled lady,60,25,55
Portrait of Clodius Albinus,60,30.5,58
portrait of Pittacos,44,21.5,26.5
bust of a Sassanid king,32,10.6,23.8
Serapis,62,34,40
bust of Ptolemy of Mauretania,37,23,22
Buste de Jean-François Champollion en habit d'académicien,89.5,42,66
portrait of Augustus as a young man,28.5,19,20
bust of Antinous,74,0.5,0.7
Alabaster head,20.5,8.5,11
Woman's head,10,7.8,9
