col0,col1
Nahori Tea Garden (Balasom),1207
Liza Hill Tea Garden,736
Tea Garden Monte Verità,
Edenvale Tea Garden,86
Dimdima Tea Garden,3833
Luksan Tea Garden,3994
Debpara Tea Garden (D),2684
Lebong & Mineral Spring Tea Garden,3052
Saptiguri Khelaghar Tea Garden,272
Darjiling Hilldoars Tea Garden,800
Chunia Jhora Tea Garden,1381
Washabari Tea Garden,2061
Maharani Tea Garden,485
Teesta Valley Tea Garden,3060
Gopalpur Tea Garden,2796
Gatia Tea Garden,3005
Nipuchhapur Tea Garden,1512
Lopchu Tea Estate,
