data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Tropical Storm Gladys,Tropical Storm Gladys,Q39071271,0,0,1,Pacific tropical storm in 1991,,Q8092,,Tropical Storm Gladys (1991)
Tropical Storm Gladys,Tropical Storm Gladys,Q7845951,0,0,1,Wikimedia disambiguation page,,Q4167410,,List of storms named Gladys
Tropical Storm Linfa,Tropical Storm Linfa,Q704517,1,0,1,Pacific severe tropical storm in 2009,,Q8092,,Tropical Storm Linfa (2009)
Tropical Storm Linfa,Tropical Storm Linfa,Q100269056,1,0,1,Pacific tropical storm in 2020,,Q8092|Q140588,,Tropical Storm Linfa
Tropical Storm Linfa,Tropical Storm Linfa,Q16958246,1,0,1,Pacific tropical storm in 2003,,Q8092,,Tropical Storm Linfa (2003)
Tropical Storm Linfa,Tropical Storm Linfa,Q20644076,1,0,1,Pacific typhoon in 2015,Severe Tropical Storm Linfa,Q8092,,Tropical Storm Linfa (2015)
Tropical Storm Linfa,Tropical Storm Linfa,Q1206983,1,0,1,Wikimedia disambiguation page,Linfa,Q4167410|Q558163,,List of storms named Linfa
Tropical Storm Linfa,Tropical Storm Linfa,Q704517,2,0,1,Pacific severe tropical storm in 2009,,Q8092,,Tropical Storm Linfa (2009)
Tropical Storm Linfa,Tropical Storm Linfa,Q100269056,2,0,1,Pacific tropical storm in 2020,,Q8092|Q140588,,Tropical Storm Linfa
Tropical Storm Linfa,Tropical Storm Linfa,Q16958246,2,0,1,Pacific tropical storm in 2003,,Q8092,,Tropical Storm Linfa (2003)
Tropical Storm Linfa,Tropical Storm Linfa,Q20644076,2,0,1,Pacific typhoon in 2015,Severe Tropical Storm Linfa,Q8092,,Tropical Storm Linfa (2015)
Tropical Storm Linfa,Tropical Storm Linfa,Q1206983,2,0,1,Wikimedia disambiguation page,Linfa,Q4167410|Q558163,,List of storms named Linfa
Tropical Storm Linfa,Tropical Storm Linfa,Q704517,3,0,1,Pacific severe tropical storm in 2009,,Q8092,,Tropical Storm Linfa (2009)
Tropical Storm Linfa,Tropical Storm Linfa,Q100269056,3,0,1,Pacific tropical storm in 2020,,Q8092|Q140588,,Tropical Storm Linfa
Tropical Storm Linfa,Tropical Storm Linfa,Q16958246,3,0,1,Pacific tropical storm in 2003,,Q8092,,Tropical Storm Linfa (2003)
Tropical Storm Linfa,Tropical Storm Linfa,Q20644076,3,0,1,Pacific typhoon in 2015,Severe Tropical Storm Linfa,Q8092,,Tropical Storm Linfa (2015)
Tropical Storm Linfa,Tropical Storm Linfa,Q1206983,3,0,1,Wikimedia disambiguation page,Linfa,Q4167410|Q558163,,List of storms named Linfa
Typhoon Lionrock,Typhoon Lionrock,Q26707080,4,0,1,Pacific typhoon in 2016,Typhoon Dindo,Q140588|Q8092,,Typhoon Lionrock
Typhoon Lionrock,Typhoon Lionrock,Q26941682,4,0,1,list of named storms that share the same or similar names,Lionrock,Q4167410|Q558163,,List of storms named Lionrock
Tropical Storm Vicente,Tropical Storm Vicente,Q7846122,5,0,1,Pacific tropical storm in 2005,,Q8092,,Tropical Storm Vicente (2005)
Tropical Storm Vicente,Tropical Storm Vicente,Q64706725,5,0,1,Tropical Storm in Pacific (2018),,Q8092,,
Tropical Storm Vicente,Tropical Storm Vicente,Q60749355,5,0,1,"2018 tropical cyclone in Michoacan, Mexico",,Q8092,,Tropical Storm Vicente (2018)
Tropical Storm Vicente,Vicente,Q16741111,5,0,2,male given name,Vicente (first name)|Vicente (given name),Q12308941,,
Tropical Storm Vicente,Vicente,Q27207008,5,0,2,family name,,Q101352,,
Tropical Storm Vicente,Vicente Ramón Lacuesta,Q113675635,5,0,2,Spanish physicist,,Q5,,
Tropical Storm Vicente,Vicente Blasco Ibáñez,Q219646,5,0,2,Spanish author (1867-1928),Vicente Blasco Ibáñe|Vicente Blasco Ibanez,Q5,,Vicente Blasco Ibáñez
Tropical Storm Vicente,Vicente Fernández,Q119069,5,0,2,Mexican actor and ranchera singer (1940–2021),Vicente Fernandez|Vicente Fernández Gómez|Chente|El Charro de Huentitán|El Rey,Q5,,Vicente Fernández
Tropical Storm Vicente,Vicente Palmaroli,Q927976,5,0,2,Spanish painter (1834-1896),Vicente Palmaroli Y. Gonzalez|Vicente Palmaroli Y Gonzales|Vicente Palmaroli y Gonzalez|Vincente Palmaroli y Gonzales|Vicente Palmaroli y González|Vincente Palmaroli González|Vicente Palmaroli y Gonzales|Vicente Palmaroli Gonzalez|Vincente Palmaroli Gonzalez|V. Palmaroli|v. palmaroli|palmaroli|Vincente Palmaroli y González,Q5,,Vicente Palmaroli
Tropical Storm Vicente,Joana R. Vicente,Q56459144,5,0,2,Portuguese botanist and ecologist,Joana R Vicente|Joana Vicente|J. R. Vicente|J.R. Vicente|J R Vicente|J. Vicente|J Vicente|Vicente|Vicente J|Vicente J.|Vicente J. R.|Vicente J R|Vicente JR|Joana Raquel Silva Vicente,Q5,,
Tropical Storm Vicente,Vicente Guerrero,Q315618,5,0,2,leading revolutionary generals of the tortilla War of Independence and President of Mexico (1782-1831),Vicente Ramón Guerrero Saldaña,Q5,,Vicente Guerrero
Tropical Storm Vicente,Vicente Aleixandre,Q134644,5,0,2,Spanish poet (1898–1984),Vicente Pio Marcelino Cirilo Aleixandre y Merlo,Q5,,Vicente Aleixandre
Tropical Storm Vicente,Vicente Martín y Soler,Q377409,5,0,2,Spanish composer (1754–1806),Vicente Martin y Soler,Q5,,Vicente Martín y Soler
