data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lithograhers Union,Stedelijk Museum Amsterdam,Q924335,0,0,2,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Lithograhers Union,Lithographers Union,Q122921867,0,0,2,,,Q6500733,,
Stedelijk Museum Amsterdam,Stedelijk Museum Amsterdam,Q924335,0,1,1,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Stedelijk Museum Amsterdam,Stedelijk Museum voor Actuele Kunst,Q1540707,0,1,2,"contemporary art museum in Ghent, Belgium",S.M.A.K.,Q108860927,,Stedelijk Museum voor Actuele Kunst
Stedelijk Museum Amsterdam,Museum De Lakenhal,Q2098586,0,1,2,museum in Leiden,Stedelijk Museum De Lakenhal|Lakenhal,Q33506,,Museum De Lakenhal
Stedelijk Museum Amsterdam,M Leuven,Q2362660,0,1,2,"art museum in Leuven, Belgium",Stedelijk Museum Vanderkelen-Mertens|Autonoom Gemeentebedrijf Museum Leuven|M – Museum Leuven|M - Leuven,Q3196771,,M – Museum Leuven
Stedelijk Museum Amsterdam,Stedelijk Museum Schiedam,Q2779535,0,1,2,"municipal museum in Schiedam, the Netherlands, today showing mostly modern art",SMS|Schiedam museum|Museum Schiedam,Q33506,,
Stedelijk Museum Amsterdam,Stedelijk Museum Alkmaar,Q4623539,0,1,2,"municipal museum of Alkmaar, North Holland, Netherlands",Museum Alkmaar|Stichting Stedelijk Museum Alkmaar,Q33506,,Stedelijk Museum Alkmaar
Stedelijk Museum Amsterdam,Stedelijk Museum Zutphen,Q2736515,0,1,2,"museum in Zutphen, Netherlands",Oudheidkamer van Zutphen en de Graafschap,Q33506,,
Stedelijk Museum Amsterdam,Prinsenhof,Q281903,0,1,2,"municipal museum in Delft, the Netherlands",Museum Het Prinsenhof|Stedelijk Museum Het Prinsenhof|Stedelijk Museum Prinsenhof|Museum Prinsenhof (Erfgoed Delft e.o.),Q33506,,Museum Het Prinsenhof
Stedelijk Museum Amsterdam,Stedelijk Museum,Q14388934,0,1,2,Vlissingen (Netherlands).,,Q33506,,
Stedelijk Museum Amsterdam,Stedelijk Museum Kampen,Q2534195,0,1,2,"museum in Kampen, the Netherlands",,Q33506,,Stedelijk Museum Kampen
liubrá,Liubråtamarka,Q31090869,1,0,1,hill in Norway,,Q54050,,
Stedelijk Museum Amsterdam,Stedelijk Museum Amsterdam,Q924335,1,1,1,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Liebhit & Thiesen,Stedelijk Museum Amsterdam,Q924335,2,0,2,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Stedelijk Museum Amsterdam,Stedelijk Museum Amsterdam,Q924335,2,1,1,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Lézard graphiqxe,Stedelijk Museum Amsterdam,Q924335,3,0,2,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Stedelijk Museum Amsterdam,Stedelijk Museum Amsterdam,Q924335,3,1,1,"art museum in Amsterdam, Netherlands",Stedelijk Museum|Stedelijk|Het Stedelijk|Municipal Museum Amsterdam,Q3196771,,Stedelijk Museum Amsterdam
Stedelijk Museum Amsterdam,Stedelijk Museum voor Actuele Kunst,Q1540707,3,1,2,"contemporary art museum in Ghent, Belgium",S.M.A.K.,Q108860927,,Stedelijk Museum voor Actuele Kunst
Stedelijk Museum Amsterdam,Museum De Lakenhal,Q2098586,3,1,2,museum in Leiden,Stedelijk Museum De Lakenhal|Lakenhal,Q33506,,Museum De Lakenhal
Stedelijk Museum Amsterdam,M Leuven,Q2362660,3,1,2,"art museum in Leuven, Belgium",Stedelijk Museum Vanderkelen-Mertens|Autonoom Gemeentebedrijf Museum Leuven|M – Museum Leuven|M - Leuven,Q3196771,,M – Museum Leuven
Stedelijk Museum Amsterdam,Stedelijk Museum Schiedam,Q2779535,3,1,2,"municipal museum in Schiedam, the Netherlands, today showing mostly modern art",SMS|Schiedam museum|Museum Schiedam,Q33506,,
Stedelijk Museum Amsterdam,Stedelijk Museum Alkmaar,Q4623539,3,1,2,"municipal museum of Alkmaar, North Holland, Netherlands",Museum Alkmaar|Stichting Stedelijk Museum Alkmaar,Q33506,,Stedelijk Museum Alkmaar
Stedelijk Museum Amsterdam,Stedelijk Museum Zutphen,Q2736515,3,1,2,"museum in Zutphen, Netherlands",Oudheidkamer van Zutphen en de Graafschap,Q33506,,
