data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Belgian Scond Division (basketball),Belgian Second Division,Q2640088,0,0,2,basketball league,,Q13406554|Q18608583,,Top Division Men One
Belgian Scond Division (basketball),Belgian Second Division Football Championship 1986-1987,Q4785864,0,0,2,,,Q27020041,,
Belgian Scond Division (basketball),Belgian Second Division Final Rounds 2011–20,Q4882495,0,0,2,Belgian football league play-offs,,,,Belgian Second Division play-offs 2011–20
Belgian Scond Division (basketball),Belgian Second Division Final Rounds 2001–10,Q16951032,0,0,2,sports game results,,,,Belgian Second Division play-offs 2001–10
Belgian Scond Division (basketball),Belgian Second Division Final Round,Q4882491,0,0,2,Belgian football league play-offs,,Q58092637,,Belgian Second Division play-offs
basketball,basketball,Q5372,0,1,1,team sport played on a court with baskets on either end,hoops|b-ball|basket ball|BB|Basketball|basket,Q31629|Q212434|Q47728,Q877517|Q216048|Q128305747|Q1368898,Basketball
basketball,basketball player,Q3665646,0,1,1,person who plays in basketball,basketballer|professional basketball player|hoopster|cager|basketeer,Q28640,Q2066131|Q18536342|Q136722009,Basketball player
basketball,Basketball,Q4867640,0,1,1,1980 sports video game,NBA Basketball|1980 Basketball|Intellivision Basketball,Q7889,,Basketball (1980 video game)
basketball,Basketball,Q2887242,0,1,1,1978 basketball video game,Atari Basketball|1978 Basketball,Q7889,,Basketball (1978 video game)
basketball,Basketball,Q31815466,0,1,1,1974 video game,TV Basketball,Q7889,,
basketball,Basketball,Q25218914,0,1,1,arcade game,,Q7889,,Basketball (1979 video game)
basketball,National Basketball Association,Q155223,0,1,1,North American professional basketball league,NBA|Basketball Association of America|National Basketball Assn.|Nat'l Basketball Assn.|BAA,Q15986354|Q18536323|Q15991290|Q7094076,,National Basketball Association
basketball,basketball coach,Q5137571,0,1,1,one who directs and strategizes the behavior of a basketball team or player,basketball trainer,Q28640|Q4164871|Q104437412,Q41583|Q136722009,Coach (basketball)
basketball,center,Q222052,0,1,1,basketball position,pivot|basketball center|basketball pivot,Q1148974,,Center (basketball)
basketball,basketball team season,Q26894053,0,1,1,type of season,basketball season|season of basketball team,Q27020041,Q1539532,
basketball,basketball club,Q115839789,0,1,2,type of sports club,,,Q847017|Q13393265,
basketball,WTK Anwil Włocławek,Q613621,0,1,2,Polish professional basketball club,Basketball Club Włocławek|Anwil Włocławek|Anwil Wloclawek,Q13393265,,KK Włocławek
basketball,Basketball Club Story,Q116480881,0,1,2,2019 video game,,Q7889,,
basketball,KK Loznica,Q12752453,0,1,2,"basketball club from Loznica, Serbia",Basketball Club Loznica|Кошаркашки клуб Лозница|КК Лозница|BC Loznica,Q13393265,,KK Loznica
basketball,Basketball Club Ulcinj,Q1983973,0,1,2,"basketball team in Ulcinj, Montenegro",,Q13393265,,KK Ulcinj
basketball,Basketball Club Batumi,Q16365645,0,1,2,"basketball club from Batumi, Georgia",BC Batumi,Q13393265,,BC Batumi
basketball,Basketball Clubs Association of Argolis and Corinthia,Q12872490,0,1,2,local basketball association of Greece,"Basketball Clubs Association of Argolis, Corinthia, Kynouria, Troizinia and Spetses",Q15986354,,
basketball,BBC Diekirch,Q15785729,0,1,2,"basketball team in Diekirch, Luxembourg",Basketball Club Diekirch,Q847017,,BBC Diekirch
basketball,BC Roma SPQR,Q140465826,0,1,2,"basketball team in Lazio, Italy",Basketball Club Roma SPQR|Roma SPQR,Q13393265,,BC Roma SPQR
basketball,Elfic Fribourg,Q117827227,0,1,2,Swiss women's basketball club,Basketball Club Féminin Elfic Fribourg|BCF Elfic Fribourg,Q13393265,,Elfic Fribourg
Liga Meumit,,,1,0,0,,,,,
basketball,basketball,Q5372,1,1,1,team sport played on a court with baskets on either end,hoops|b-ball|basket ball|BB|Basketball|basket,Q31629|Q212434|Q47728,Q877517|Q216048|Q128305747|Q1368898,Basketball
basketball,basketball player,Q3665646,1,1,1,person who plays in basketball,basketballer|professional basketball player|hoopster|cager|basketeer,Q28640,Q2066131|Q18536342|Q136722009,Basketball player
basketball,Basketball,Q4867640,1,1,1,1980 sports video game,NBA Basketball|1980 Basketball|Intellivision Basketball,Q7889,,Basketball (1980 video game)
basketball,Basketball,Q2887242,1,1,1,1978 basketball video game,Atari Basketball|1978 Basketball,Q7889,,Basketball (1978 video game)
basketball,Basketball,Q31815466,1,1,1,1974 video game,TV Basketball,Q7889,,
basketball,Basketball,Q25218914,1,1,1,arcade game,,Q7889,,Basketball (1979 video game)
basketball,National Basketball Association,Q155223,1,1,1,North American professional basketball league,NBA|Basketball Association of America|National Basketball Assn.|Nat'l Basketball Assn.|BAA,Q15986354|Q18536323|Q15991290|Q7094076,,National Basketball Association
basketball,basketball coach,Q5137571,1,1,1,one who directs and strategizes the behavior of a basketball team or player,basketball trainer,Q28640|Q4164871|Q104437412,Q41583|Q136722009,Coach (basketball)
basketball,center,Q222052,1,1,1,basketball position,pivot|basketball center|basketball pivot,Q1148974,,Center (basketball)
basketball,basketball team season,Q26894053,1,1,1,type of season,basketball season|season of basketball team,Q27020041,Q1539532,
basketball,basketball association,Q15986354,1,1,2,sports governing body organizing basketball,,,Q48204|Q2485448,
basketball,NBA Finals,Q842375,1,1,2,"championship series of the National Basketball Association, annual from 1950; officially includes 1947 to 1949 BAA Finals; officially called the National Basketball Association World Championship Series through 1987",BAA Finals [1947–49]|BAA World Championship Series [1947-49]|National Basketball Association World Championship Series [until 1987]|NBA World Championship Series [until 1987]|Basketball Association of America World Championship Series [1947-49]|NBA title,Q18608583,Q1366722,NBA Finals
basketball,Basketball Association of the People‘s Republic of China,Q136121328,1,1,2,,Basketball Association of the Peoples's Republic of China,Q43229|Q15986354,,
basketball,Basketball Association of Eswatini,Q136436379,1,1,2,,,Q43229|Q15986354,,
basketball,Basketball Association of the Northern Mariana Islands,Q136475377,1,1,2,,Basketball Association of the Northern Mariana Island,Q43229|Q15986354,,
basketball,Basketball Association of Malawi,Q136523570,1,1,2,,,Q43229|Q15986354,,
basketball,Basketball Association of Hongkong,Q136207283,1,1,2,,,Q43229|Q15986354,,
basketball,Basketball Association of Tanzania,Q136361108,1,1,2,,,Q43229|Q15986354,,
basketball,Basketball Association of America,Q810343,1,1,2,"North American professional basketball league 1946 to 1949, co-creator of the National Basketball Association by merger",BAA,Q15986354|Q15991290,,Basketball Association of America
FIBA Americas Leagxe,FIBA Americas League,Q2623961,2,0,2,basketball league,,Q13406554|Q18608583,,FIBA Americas League
FIBA Americas Leagxe,FIBA Americas League Final 4,Q30590797,2,0,2,,,,,FIBA Americas League Final 4
FIBA Americas Leagxe,FIBA Americas League Awards,Q30680491,2,0,2,,,,,FIBA Americas League Awards
FIBA Americas Leagxe,2018 FIBA Americas League,Q47671130,2,0,2,basketball league season,,Q27020041,,2018 FIBA Americas League
FIBA Americas Leagxe,2019 FIBA Americas League,Q59826127,2,0,2,basketball league season,,Q27020041,,2019 FIBA Americas League
FIBA Americas Leagxe,2007–08 Americas League,Q4609884,2,0,2,sports season,2007-08 Americas League,Q27020041,,2007–08 FIBA Americas League
FIBA Americas Leagxe,2010–11 Americas League,Q1992802,2,0,2,sports season,2010-11 Americas League,Q27020041,,2010–11 FIBA Americas League
FIBA Americas Leagxe,1995 Tournament of the Americas,Q3736893,2,0,2,good evening,FIBA Americas Championship,Q27020041,,1995 Tournament of the Americas
FIBA Americas Leagxe,FIBA AmeriCup,Q810304,2,0,2,men's basketball continental championship of the Americas,FIBA Americas Championship|Tournament of the Americas,Q30323976,Q59428876|Q18608583,FIBA AmeriCup
FIBA Americas Leagxe,FIBA Women's AmeriCup,Q2534542,2,0,2,women's basketball continental championship of the Americas,FIBA Americas Championship for Women,Q30323976,Q59428876|Q18608583,FIBA Women's AmeriCup
FIBA Americas Leagxe,FIBA Americas Championship 2007 squads,Q5425583,2,0,2,Wikimedia list article,,Q137424753,,2007 FIBA Americas Championship squads
FIBA Americas Leagxe,2011 FIBA Americas Championship,Q2656859,2,0,2,international basketball competition,,Q810304|Q27020041,,2011 FIBA Americas Championship
FIBA Americas Leagxe,2007 FIBA Americas Championship,Q178595,2,0,2,Basketball tournament in Las Vegas,,Q27020041,,2007 FIBA Americas Championship
FIBA Americas Leagxe,2009 FIBA Americas Championship,Q2721269,2,0,2,continental championship held by FIBA Americas,,Q27020041,,2009 FIBA Americas Championship
FIBA Americas Leagxe,2005 FIBA Americas Championship,Q2394357,2,0,2,international basketball competition,,Q27020041,,2005 FIBA Americas Championship
FIBA Americas Leagxe,2001 Tournament of the Americas,Q747676,2,0,2,international basketball competition,,Q810304|Q27020041,,2001 Tournament of the Americas
FIBA Americas Leagxe,1997 Tournament of the Americas,Q3736895,2,0,2,international basketball competition,,Q27020041,,1997 Tournament of the Americas
basketball,basketball,Q5372,2,1,1,team sport played on a court with baskets on either end,hoops|b-ball|basket ball|BB|Basketball|basket,Q31629|Q212434|Q47728,Q877517|Q216048|Q128305747|Q1368898,Basketball
basketball,basketball player,Q3665646,2,1,1,person who plays in basketball,basketballer|professional basketball player|hoopster|cager|basketeer,Q28640,Q2066131|Q18536342|Q136722009,Basketball player
basketball,Basketball,Q4867640,2,1,1,1980 sports video game,NBA Basketball|1980 Basketball|Intellivision Basketball,Q7889,,Basketball (1980 video game)
basketball,Basketball,Q2887242,2,1,1,1978 basketball video game,Atari Basketball|1978 Basketball,Q7889,,Basketball (1978 video game)
basketball,Basketball,Q31815466,2,1,1,1974 video game,TV Basketball,Q7889,,
basketball,Basketball,Q25218914,2,1,1,arcade game,,Q7889,,Basketball (1979 video game)
basketball,National Basketball Association,Q155223,2,1,1,North American professional basketball league,NBA|Basketball Association of America|National Basketball Assn.|Nat'l Basketball Assn.|BAA,Q15986354|Q18536323|Q15991290|Q7094076,,National Basketball Association
basketball,basketball coach,Q5137571,2,1,1,one who directs and strategizes the behavior of a basketball team or player,basketball trainer,Q28640|Q4164871|Q104437412,Q41583|Q136722009,Coach (basketball)
basketball,center,Q222052,2,1,1,basketball position,pivot|basketball center|basketball pivot,Q1148974,,Center (basketball)
basketball,basketball team season,Q26894053,2,1,1,type of season,basketball season|season of basketball team,Q27020041,Q1539532,
