data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Rectoria,Rectoria,Q47181490,0,0,1,"building in Tavertet, Catalonia",,Q607241|Q33506,,
Rectoria,clergy house,Q607241,0,0,1,"residence of one or more priests or ministers of religion, also used for other activities related to the church",vicarage|rectory|parsonage|presbytery|parochial house|chapel house|pastorium|parish house|parish center|vicariage|Presbyteries|deanery,,Q3947|Q24398318|Q11755880|Q1220959,Clergy house
Rectoria,rector,Q212071,0,0,1,elected head of an higher education institution,,Q17279032,Q108392111,Rector (academia)
Rectoria,Rectoria,Q37585047,0,0,1,"building in Barcelona Province, Spain",,Q607241,,
Rectoria,Rectoria,Q60167122,0,0,1,"building in Pujalt, Spain",,Q41176,,
Rectoria,Rectoria,Q21077389,0,0,1,,,Q607241,,
Rectoria,Rectoria,Q96403647,0,0,1,"building in Alt Àneu, Spain",,Q41176,,
Rectoria,Rectoria de Sant Andreu d'Oristà,Q47181476,0,0,1,,,Q607241|Q33506,,
Rectoria,Rectoria de la parròquia de Sant Julià d'Argentona,Q28711532,0,0,1,,,Q607241,,
Rectoria,Rectoria de Santa Eulàlia de Riuprimer,Q37586856,0,0,1,"building in Barcelona Province, Spain",,Q607241,,
Can Muntada,can Muntada,Q47182312,1,0,1,"masia in Maçanet de Cabrenys (Alt Empordà, Catalonia)",,Q585956,,
Can Muntada,Can Muntada,Q18003533,1,0,1,"building in Barcelona Province, Spain",,Q3947,,
Can Muntada,Can Muntada,Q103815072,1,0,1,"masia in Gualba, Vallès Oriental, Barcelona, Catalonia, Spain",Cal Muntades,Q585956,,
Dinas,Dinas,Q132077,2,0,1,municipality of the Philippines in the province of Zamboanga del Sur,,Q24764,,"Dinas, Zamboanga del Sur"
Dinas,Dinas,Q14948780,2,0,1,genus of insects,,Q16521,,
Dinas,Dinas Powys,Q3403308,2,0,1,"village and community in Vale of Glamorgan, Wales",Dinas Powis,Q532|Q2630741,,Dinas Powys
Dinas,Dinas Cross,Q5277964,2,0,1,"village in Pembrokeshire, Wales, UK",Dinas,Q532|Q2630741,,Dinas Cross
Dinas,city,Q515,2,0,1,large human settlement,cities,Q98966309|Q137018865,Q124250988|Q7930989|Q15284|Q56061,City
Dinas,town,Q3957,2,0,1,settlement that is smaller than a city but bigger than a large village (or a large borough in some areas),small city|small town,Q98966309,Q124250988|Q7930989,Town
Dinas,dinas,Q4161868,2,0,1,type of refractory material,,Q206615,Q1123417,
Dinas,Dinaspis,Q10472974,2,0,1,genus of insects,,Q16521,,
Dinas,Dinas,Q3402501,2,0,1,"village in Llanwnda, Gwynedd, Wales, United Kingdom",,Q532,,"Dinas, Gwynedd"
Dinas,Dinas,Q57942315,2,0,1,"settlement on the Llŷn Peninsula in Gwynedd, Wales","Dinas, Llŷn",Q5084|Q532,,
Dinas,Dinan,Q201311,2,0,2,"commune in Côtes-d'Armor, France",,Q484170,,Dinan
Dinas,Dinan,Q37306165,2,0,2,family name,,Q101352,,
Dinas,Dinant,Q108247,2,0,2,"city in Wallonia, Belgium",,Q493522|Q15273785|Q707813,,Dinant
Dinas,Dinan,Q55665373,2,0,2,human settlement in France,,Q484170,,
Dinas,Dinan,Q27981396,2,0,2,"river in France, tributary of the Loir",,Q4022,,
Dinas,Dinand Woesthoff,Q1226264,2,0,2,Dutch musician,,Q5,,Dinand Woesthoff
Dinas,Dinanyiris,Q42122317,2,0,2,female given name,,Q11879590,,
Dinas,Dinanomodon,Q3468397,2,0,2,genus of mammals (fossil),,Q23038290,,Dinanomodon
Dinas,Yeti,Q129628,2,0,2,ape-like creature purported to inhabit the Himalayan mountain range in Asia,Abominable Snowman|Dinanthropoides nivalis,Q772636|Q24334685|Q1049467|Q25810847,,Yeti
Dinas,Dinant,Q66311998,2,0,2,"section of Dinant, Belgium",,Q2785216,,
Haulfryn,Haulfryn,Q62264384,3,0,1,"Grade II listed building in Christleton, Cheshire, England, UK",,Q3947,,
Haulfryn,Haulfryn,Q29497012,3,0,1,"Grade II listed building in Llanengan. Situated in Abersoch in extensive formal gardens, approached by drive running E off Stryd Fawr opposite St Tudwals Hotel.",,Q3947,,
Haulfryn,Haulfryn Squash Court Cinema,Q38938131,3,0,1,"former cinema in Abersoch, Wales",,Q41253,,
Casa Teixidor,Casa Teixidor,Q23860909,4,0,1,"building in Barcelona Province, Spain",,Q3751865,,
Casa Teixidor,Casa Teixidor,Q28055846,4,0,1,"cultural property in Girona, Spain",,Q3947,,
Casa Teixidor,Casa Teixidor,Q19830942,4,0,1,"house in Rubí, Spain",,Q3947,,
Casa Teixidor,Casa Teixidor Rimbau,Q56401143,4,0,1,"building in Tarragona, Spain",,Q3947,,
Casa Teixidor,Casa Teixidor-Bassacs,Q24055013,4,0,1,"building in Lleida Province, Spain",,Q41176,,
Casa Teixidor,Casa Teixidor,Q71840144,4,0,1,Wikimedia disambiguation page,,Q4167410,,
Can Pesseta,Can Pesseta,Q20985257,5,0,1,"house in Ripollet, Spain",,Q3947,,
Can Pesseta,Can Pesseta,Q106991069,5,0,1,masia in Torelló (Catalonia),,Q585956,,
Can Vilella,Can Vilella,Q28055813,6,0,1,"house in Bordils, Spain",,Q3947,,
Can Vilella,Can Vilella,Q110133619,6,0,1,"building in Tivissa, Ribera d'Ebre, Tarragona, Catalonia, Spain",,Q585956,,
Can Vilella,Can Vilella,Q104761343,6,0,1,masia in Sant Feliu de Buixalleu (Catalonia),,Q585956,,
Can Vilella,Can Vilella,Q105969478,6,0,1,"masia in Sant Martí Sarroca, Alt Penedès, Barcelona, Catalonia, Spain",,Q585956,,
Can Vilella,Can Vilella I,Q106712520,6,0,1,"building in Sant Joan de les Abadesses, Spain",,Q3947,,
Casa dels Francesos,Casa dels Francesos,Q20901073,7,0,1,"house in Rubinat, Spain",,Q3947,,
Casa dels Francesos,Casa dels Francesos,Q107233336,7,0,1,"masia in Torroella de Fluvià, Alt Empordà, Girona, Catalonia, Spain",,Q585956,,
El Xalet,el Xalet,Q106117055,8,0,1,"masia in Rajadell, Bages, Barcelona, Catalonia, Spain",,Q585956,,
El Xalet,El Xalet,Q23991380,8,0,1,,,Q3947,,
El Xalet,El Xalet,Q18003991,8,0,1,"building in Tarragona Province, Spain",,Q3947,,
El Xalet,el Xalet,Q105968470,8,0,1,"building in Vilafranca del Penedès, Alt Penedès, Barcelona, Catalonia, Spain",,Q585956,,
El Xalet,El Xalet,Q96776170,8,0,1,"building in Montblanc, Spain",,Q3947,,
El Xalet,el Xalet,Q107212928,8,0,1,"masia in Viladamat, Alt Empordà, Girona, Catalonia, Spain",,Q585956,,
El Xalet,el Xalet,Q107688872,8,0,1,"building in Camarasa, Noguera, Lleida, Catalonia, Spain",,Q585956,,
El Xalet,el Xalet,Q107688873,8,0,1,"masia in Camarasa, Noguera, Lleida, Catalonia, Spain",,Q585956,,
El Xalet,el Xalet,Q109970942,8,0,1,"masia in La Secuita, Tarragonès, Tarragona, Catalonia, Spain",,Q585956,,
El Xalet,el Xalet,Q107307079,8,0,1,"masia in Montferrer i Castellbò, Alt Urgell, Lleida, Catalonia, Spain",,Q585956,,
Can Quintana,The Museum of the Mediterranean,Q17043713,9,0,1,The Museum of the Mediterranean in Torroella de Montgrí,Museum of the Mediterranean|Can Quintana,Q33506,,Museum of the Mediterranean
Can Quintana,Rajoleria Can Quintana,Q28711414,9,0,1,"fabric in Llambilles (Girona, Spain)",Can Creuet,Q31073494,,
Can Quintana,Can Quintana,Q18003556,9,0,1,"building in Girona Province, Spain",,Q3947,,
Can Quintana,can Quintana,Q20901003,9,0,1,"building in Barcelona Province, Spain",,Q585956,,
Can Quintana,Can Quintana,Q20102851,9,0,1,"masia in Barcelona (Barcelonès, Catalonia)",,Q585956,,
Can Quintana,Can Quintana,Q102828881,9,0,1,"masia in Les Franqueses del Vallès, Vallès Oriental, Barcelona, Catalonia, Spain",,Q585956,,
Can Quintana,Can Quintana,Q73378747,9,0,1,"building in Llagostera, Gironès, Girona, Catalonia, Spain",,Q585956,,
Can Quintana,Can Quintana,Q107124683,9,0,1,"masia in Madremanya, Gironès, Girona, Catalonia, Spain",,Q585956,,
Can Quintana,Can Quintana,Q105957392,9,0,1,"building in Santa Margarida de Montbui, Anoia, Barcelona, Catalonia, Spain",,Q585956,,
Can Quintana,Can Quintana,Q134930653,9,0,1,house in Taradell (Catalonia),,Q3947,,
Graham House,Graham House,Q47037172,10,0,1,"house in Alberton, Prince Edward Island, Canada",,Q3947,,
Graham House,Graham House,Q5592920,10,0,1,Australian cricketer,Graham Warwick Charles House,Q5,,Graham House (cricketer)
Graham House,Graham House,Q85764246,10,0,1,"former one-and-a-half-story cottage in Rose Hill, Mississippi",,Q3947,,"Graham House (Rose Hill, Jasper County, Mississippi)"
Graham House,Graham House,Q136695007,10,0,1,"historic house in Kalispell, Montana, United States",,Q3947|Q1307276,,
Graham House,Graham House,Q16994363,10,0,1,"historic house in Connecticut, United States",,Q3947,,"Graham House (Stamford, Connecticut)"
Graham House,Graham House,Q85764243,10,0,1,"building in Lowell, Michigan",,Q6453233,,"Graham House (Lowell, Michigan)"
Graham House,"Graham, Dr. L. H., House",Q110000611,10,0,1,"building in Waxahachie, Ellis County, Texas",Graham House,Q41176,,
Graham House,Graham House,Q126705847,10,0,1,"hospital building in Belfast, County Down, Northern Ireland",,Q39364723,,
Graham House,Graham House,Q135437002,10,0,1,"historic house near Clay Village, Kentucky, United States",,Q3947,,
Graham House,Graham House,Q26634542,10,0,1,"house in Boxford, Babergh, Suffolk, England, UK",,Q3947,,
Yard House,Yard House,Q29495477,11,0,1,Grade II listed building in Powys. Located beside a lane leading across Yard Bridge on the south side of the A4067. The cottages are on a precipice over the River Tawe next to the bridge.,,Q3947,,
Yard House,Yard House,Q21189156,11,0,1,American sports bar chain,Yardhouse,Q18534542,,Yard House
Yard House,Yard House 2 with Dave Schilling,Q117199624,11,0,1,Doughboys podcast episode,,Q61855877,,
Yard House,Yard House with Matt Besser,Q117214677,11,0,1,Doughboys podcast episode,,Q61855877,,
Yard House,"Yard House, Holyrood Palace, Edinburgh",Q17791858,11,0,1,"architectural structure in City of Edinburgh, Scotland, UK","Edinburgh, Holyrood Palace, Yard House",Q811979,,
Argoed Hall,Argoed Hall,Q29480923,12,0,1,Grade II listed building in Flintshire. Situated on the western edge of Mynydd Isa at the end of Argoed Hall Lane,,Q811979,,
Argoed Hall,Argoed Hall,Q29481737,12,0,1,Grade II listed building in Wrexham County Borough. Set in its own wooded grounds high above a bend of the River Dee and N of the A5. Approached along a short drive.,,Q3947,,
Argoed Hall,Argoed Hall Estate,Q116800553,12,0,1,estate in Wales,,Q12292478,,
Argoed Hall,Argoed,Q378738,12,0,2,"village and community in Caerphilly County Borough, Wales","Argoed, Caerphilly",Q532|Q2630741,,"Argoed, Caerphilly"
Argoed Hall,Argoed,Q20579208,12,0,2,"community in Flintshire, Wales, UK",,Q2630741,,"Argoed, Flintshire"
Argoed Hall,Argoed,Q16200258,12,0,2,"village in the county of Powys, Wales","Argoed, Powys",Q532,,"Argoed, Powys"
Argoed Hall,Argoed railway station,Q4789642,12,0,2,"railway station in Argoed, Wales, UK",Argoed Station,Q4663385,,Argoed railway station
Argoed Hall,Argoed,Q3401183,12,0,2,"village in Shropshire, England, UK","Argoed, Shropshire",Q532,,"Argoed, Shropshire"
Argoed Hall,Argoed,Q123519081,12,0,2,"woodland in Churchstoke, Powys, Wales, UK",Argoed Wood,Q3241565,,
Argoed Hall,Argoed,Q99452745,12,0,2,Methodist chapel in Blackwood,,Q108325,,
Argoed Hall,Argoed,Q99453844,12,0,2,chapel in Blackwood,,Q108325,,
Argoed Hall,Argoed,Q29505299,12,0,2,Grade II listed building in Ceredigion. Situated on E side of village street 30m S of road junction.,,Q3947,,
Argoed Hall,Argoed,Q124670941,12,0,2,"ward or electoral division in Caerphilly County Borough, Wales",,Q589282,,
Argoed Hall,Hall,Q1551523,12,0,2,family name,,Q101352,,Hall (surname)
Argoed Hall,hall,Q240854,12,0,2,large enclosed room,halls,,Q180516|Q18674739,Hall
Argoed Hall,Hallein,Q255684,12,0,2,"town in Salzburg state, Austria",,Q667509|Q13539802,,Hallein
Argoed Hall,Joseph Hall,Q65807765,12,0,2,American photographer (active 1865-1915),Joseph S. Hall Sr.|Hall|Hall N.Y.,Q5,,
Argoed Hall,Halle,Q210003,12,0,2,"city and municipality in Flemish Brabant, Belgium",Hal|Groot-Halle|Belgium Halle,Q493522|Q15273785,,"Halle, Belgium"
Argoed Hall,hall,Q9332842,12,0,2,large room within a domestic building,large hall|large room,,Q1299240|Q180516|Q3305339,
Argoed Hall,Hall in Tirol,Q302745,12,0,2,"municipality in Innsbruck-Land District, Tyrol, Austria",Hal,Q667509|Q13539802|Q515,,Hall in Tirol
Argoed Hall,Halle (Saale),Q2814,12,0,2,city in the German state of Saxony-Anhalt,"Halle/Saale|Halle an der Saale|Halle a. d. Saale|Halle, Saxony-Anhalt|Halle",Q42744322|Q1547289|Q1549591|Q707813|Q61708053|Q1187811,,Halle (Saale)
Argoed Hall,saint,Q43115,12,0,2,"person who has been recognized for having an exceptional degree of holiness, sanctity, and virtue; may or may not be a canonised saint",St.|St|hallow|holy person,Q216353,Q17573152|Q4120621,Saint
Argoed Hall,corridor,Q1135449,12,0,2,passage affording access to the rooms in a building or vessel,hallway|hall|passage,,Q1299240,Hallway
Cal Prim,Cal Prim,Q28712456,13,0,1,"house in Verdú, Spain",,Q3947,,
Cal Prim,Cal Prim,Q61709052,13,0,1,"masia in Gisclareny (Berguedà, Catalonia)",,Q585956,,
Cal Prim,Cal Prim,Q73380877,13,0,1,"building in Torà, Solsonès, Lleida, Catalonia, Spain",,Q585956,,
Cal Prim,Cal Prim,Q105973978,13,0,1,"masia in Castellví de la Marca, Alt Penedès, Barcelona, Catalonia, Spain",,Q585956,,
Cal Prim,Cal Prim,Q107074287,13,0,1,"masia in Sant Feliu de Pallerols, Garrotxa, Girona, Catalonia, Spain",,Q585956,,
Cal Prim,Cal Prim,Q73281635,13,0,1,"building in Argençola, Anoia, Barcelona, Catalonia, Spain",,Q585956,,
