data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sanfweiler,,,0,0,0,,,,,
tginfort,,,1,0,0,,,,,
Clervau{,Clervaux,Q836075,2,0,2,"commune in the canton of Clervaux, Luxembourg",Commune of Clervaux,Q2919801,,Clervaux
Clervau{,Clervaux,Q140591874,2,0,2,cadastral commune of Luxembourg,,Q140754208,,
Clervau{,Clervaux,Q116447819,2,0,2,given name,,Q202444,,
Clervau{,Canton of Clervaux,Q691793,2,0,2,canton of Luxembourg,,Q1146429,,Canton of Clervaux
Clervau{,Clervaux railway station,Q2542828,2,0,2,railway station in Luxembourg,,Q55488,,Clervaux railway station
Clervau{,Clervaux,Q12110443,2,0,2,main settlement in the commune of the same name,,Q3257686|Q15303838,,
Clervau{,Clervaux,Q138647849,2,0,2,painting by Joseph Kutter,,Q3305213,,
Clervau{,Clervaux,Q110712130,2,0,2,"Cosyn guide, 1934, Printed Books Department of the Royal Library of Belgium (KBR), BR 5612 R 45",,Q223638,,
Clervau{,Clervaux Auguste,Q12889003,2,0,2,Haitian artist,,Q5,,
Clervau{,Clervaux Castle,Q5131949,2,0,2,castle in Luxembourg,,Q23413|Q751876,,Clervaux Castle
Goesorf,,,3,0,0,,,,,
