data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
SN#2110ja,,,0,0,0,,,,,
N 201hhl,,,1,0,0,,,,,
UN 2004gu,,,2,0,0,,,,,
SN 2028fa,,,3,0,0,,,,,
SN 2011y,SN 2011Y,Q9331882,4,0,1,supernova,,Q3937,,
NAME AV 2017ijr,,,5,0,0,,,,,
SN 2029eo,,,6,0,0,,,,,
SN 1;71P,SN 1987A,Q584905,7,0,2,supernova,NAME SNR 1987A,Q3937|Q6243|Q67206691|Q2154519|Q71962386|Q72802977|Q207436,,SN 1987A
SN 1;71P,S Andromedae,Q546708,7,0,2,"supernova in the Andromeda Galaxy, spotted by mankind in August 1885",Supernova 1885|S And|SN 1885A|NOVA And 1885|Nova RJC99 Sep-95|HR 182|AAVSO 0037+40|TIC 438234291,Q3937|Q6458|Q2154519|Q207436|Q67206785|Q6243|Q1059564|Q582000,,SN 1885A
SN 1;71P,SN-1,Q54955009,7,0,2,cell line,,Q21014462|Q23058136,,
SN 1;71P,diacylglycerol kinase activity,Q14913817,7,0,2,"Catalysis of the reaction: NTP + 1,2-diacylglycerol = NDP + 1,2-diacylglycerol-3-phosphate.","DGK activity|GO:0004143|arachidonoyl-specific diacylglycerol kinase activity|1,2-diacylglycerol kinase activity|DG kinase activity|sn-1,2-diacylglycerol kinase activity|diglyceride kinase activity|1,2-diacylglycerol kinase (phosphorylating)",Q14860489,Q14863082|Q14863083,
SN 1;71P,SN 1961I,Q9326449,7,0,2,"supernova within the Messier 61 galaxy, discovered in 1961",,Q3937,,SN 1961I
SN 1;71P,sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity,Q30105576,7,0,2,"Catalysis of the reaction: hexadecanedioyl-CoA + sn-glycerol 3-phosphate = coenzyme A + 1-C16:0-alpha,omega-dicarboxyl-2-lysophosphatidate",,Q14860489,Q14912987,
SN 1;71P,"Diacylglycerol kinase, subgroup",Q54444078,7,0,2,InterPro family,"DGK|IPR037607|arachidonoyl-specific diacylglycerol kinase|diglyceride kinase|1,2-diacylglycerol kinase (phosphorylating)|1,2-diacylglycerol kinase|sn-1,2-diacylglycerol kinase|DG kinase",Q417841|Q67015883,Q421851|Q407355|Q106951674,
SN 1;71P,diacylglycerol cholinephosphotransferase activity,Q21106763,7,0,2,"Catalysis of the reaction: CDP-choline + 1,2-diacylglycerol = CMP + a phosphatidylcholine.","cytidine diphosphorylcholine diglyceride transferase activity|CDP-choline:1,2-diacylglycerol cholinephosphotransferase activity|GO:0004142|1-alkyl-2-acetyl-m-glycerol:CDPcholine choline phosphotransferase activity|1-alkyl-2-acetyl-sn-glycerol cholinephosphotransferase activity|alkylacylglycerol cholinephosphotransferase activity|diacylglycerol choline phosphotransferase activity|1-alkyl-2-acetylglycerol cholinephosphotransferase activity|cytidine diphosphocholine glyceride transferase activity|phosphorylcholine--glyceride transferase activity|CDP-choline diglyceride phosphotransferase activity|alkylacylglycerol choline phosphotransferase activity|sn-1,2-diacylglycerol cholinephosphotransferase activity|phosphocholine diacylglyceroltransferase activity",Q14860489,Q22321340,
SN 1;71P,SN-1,Q27088827,7,0,2,chemical compound,,Q113145171,Q11173,
SN 1;71P,SN12C,Q54955018,7,0,2,cell line,SN-12C|SN12 C,Q21014462|Q23058136,,
SN 1;71P,Progress MS-10,Q26698160,7,0,2,cargo resupply mission to the International Space Station,Прогресс МC-10|Progress 71|71P,Q21804540,,Progress MS-10
