data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Crop Protection,Crop Protection,Q2535035,0,0,1,journal,Crop protection,Q5633421|Q737498|Q73364223,,
Crop Protection,plant protection,Q1944497,0,0,1,"encompasses the totality of efforts, damage and yield reductions in crops",protection of plants|protection of crops|crop protection,Q1047113,Q2251595,Crop protection
Crop Protection,Crop protection with chemicals,Q51395191,0,0,1,"Edmonton: Alberta Agriculture, 1992-c1998.",,Q1002697,,
Crop Protection,Crop Protection Association,Q59536384,0,0,1,"organization in Peterborough, United Kingdom",CPA,Q43229,,
Crop Protection,Crop Protection Network,Q106412090,0,0,1,"organization in Washington D.C., United States",CPN,Q43229,,
Crop Protection,Crop Protection,Q58945136,0,0,1,scientific article published in Nature,,Q13442814,,
Crop Protection,Crop protection and environmental health: legacy management and new concepts,Q87010262,0,0,1,scientific article published on 05 January 2016,,Q13442814|Q871232,,
Crop Protection,Crop protection: new strategies for sustainable development,Q52765683,0,0,1,"scientific article published on February 4, 2014",Crop protection: new strategies for sustainable development,Q13442814|Q871232,,
Crop Protection,Crop protection by seed coating.,Q36459275,0,0,1,scientific article,,Q13442814,,
Crop Protection,Crop Protection Discovery: Is Being the First Best?,Q57284367,0,0,1,scientific article published on 26 September 2018,,Q13442814,,
Voluntas,Voluntas,Q7940993,1,0,1,journal,VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Voluntas (Dordrecht)|Voluntas (Manchester),Q5633421|Q737498|Q773668,,Voluntas (journal)
Voluntas,Voluntas Dei Institute,Q99547667,1,0,1,secular institute of pontifical right in the Catholic Church,Voluntas Dei|I.V.D.,Q467356,,
Voluntas,will,Q364340,1,0,1,faculty of the mind which intentionally selects the strongest desire from among the various desires present,volition,Q33104279,Q706622,Will (philosophy)
Voluntas,Kings and Crosses,Q47775967,1,0,1,Graphic novel about the early history of Central Europe.,Voluntas Tua,Q7725634,,
Voluntas,Voluntas necandi,Q16889540,1,0,1,,,,,Voluntas necandi
Voluntas,Voluntas Asti,Q132145153,1,0,1,,,Q15720476,,
Voluntas,Voluntas Symposium: Comments on Salamon and Sokolowski’s Re-conceptualization of the Third Sector,Q37766270,1,0,1,scientific article published on 23 June 2016,,Q13442814,,
Voluntas,Voluntas legis versus voluntas legislatoris,Q129446728,1,0,1,scholarly article,,Q13442814,,
Journal of Cancer,Journal of Cancer,Q6294901,2,0,1,scientific journal,J Cancer,Q16024164|Q737498|Q773668,,Journal of Cancer
Journal of Cancer,Journal of Cancer Research and Clinical Oncology,Q2081599,2,0,1,scientific journal,Zeitschrift für Krebsforschung,Q5633421|Q16024164,,Journal of Cancer Research and Clinical Oncology
Journal of Cancer,Journal of Cancer Research and Therapeutics,Q400140,2,0,1,peer-reviewed scientific journal,,Q5633421|Q773668|Q773668|Q73364223|Q73365499|Q773668|Q737498|Q16024164,,Journal of Cancer Research and Therapeutics
Journal of Cancer,Journal of Cancer Education,Q15763651,2,0,1,journal,,Q5633421,,
Journal of Cancer,Journal of Cancer Survivorship,Q2444309,2,0,1,peer-reviewed scientific journal,,Q1002697|Q5633421,,Journal of Cancer Survivorship
Journal of Cancer,Journal of cancer prevention,Q26841879,2,0,1,journal,,Q5633421,,
