data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sultan Kudarat,Sultan Kudarat,Q212791,0,0,1,municipality of the Philippines in the province of Maguindanao del Norte,Nuling,Q24764,,"Sultan Kudarat, Maguindanao del Norte"
Sultan Kudarat,Sultan Kudarat,Q13885,0,0,1,province of the Philippines,Province of Sultan Kudarat,Q24746,,Sultan Kudarat
Sultan Kudarat,Muhammad Kudarat,Q1668453,0,0,1,7th Sultan of Maguindanao,Muhammad Dipatuan Kudarat|Kudarat|Qudarat|Corralat|Sultan Kudarat|Muhammad di-Pertuan Kudrat|Muhammad Dipatuan Kurlat|Sultan Qudarat,Q5,,Muhammad Kudarat
Sultan Kudarat,Sultan Kudarat's 1st congressional district,Q66771511,0,0,1,House of Representatives of the Philippines legislative district,,Q96020121,,Sultan Kudarat's 1st congressional district
Sultan Kudarat,Sultan Kudarat's 2nd congressional district,Q66771523,0,0,1,House of Representatives of the Philippines legislative district,,Q96020121,,Sultan Kudarat's 2nd congressional district
Sultan Kudarat,Sultan Kudarat State University,Q7636689,0,0,1,"Public university in Sultan Kudarat, Philippines",,Q3918,,Sultan Kudarat State University
Sultan Kudarat,Sultan Kudarat's at-large congressional district,Q106011457,0,0,1,district in the Philippines,,,,Sultan Kudarat's at-large congressional district
Sultan Kudarat,Sultan Kudarat Provincial Board,Q104849846,0,0,1,"legislative body of the province of Sultan Kudarat, Philippines",,,,Sultan Kudarat Provincial Board
Sultan Kudarat,Schools Division Office of Sultan Kudarat,Q130256791,0,0,1,school division in Sultan Kudarat operated by the Department of Education of the Philippines,Schools Division of Sultan Kudarat|Sultan Kudarat Schools Division|SDO Sultan Kudarat,Q130249224,,
Sultan Kudarat,Sultan Kudarat Polytechnic State College,Q12971385,0,0,1,,,,,
Aklan,Aklan,Q13723,1,0,1,province of the Philippines,Province of Aklan,Q24746,,Aklan
Aklan,Aklanon,Q8773,1,0,1,language spoken in the province of Aklan on the island of Panay in the Philippines,Akeanon|Malaynon|Malaynon language|Aklan languages|Aklanon languages|Aklanon language|Inakeanon|Aklan language|Aklan,Q33742|Q1288568,Q2829093,Aklanon language
Aklan,Aklan River,Q4701434,1,0,1,"river in Aklan province, in the Philippines",Aclan River,Q4022,,Aklan River
Aklan,Aklandstjenna,Q34797684,1,0,1,"lake in Risør, Norway",,Q23397,,
Aklan,Åklangselva,Q21601492,1,0,1,river in Norway,,Q4022,,
Aklan,Aklan's 2nd congressional district,Q66771442,1,0,1,House of Representatives of the Philippines legislative district,,Q96020121,,Aklan's 2nd congressional district
Aklan,Aklan's 1st congressional district,Q66771470,1,0,1,House of Representatives of the Philippines legislative district,,Q96020121,,Aklan's 1st congressional district
Aklan,Aklan's at-large congressional district,Q66809392,1,0,1,House of Representatives of the Philippines legislative district,Aklan's lone congressional district,Q105728095|Q96020121,,Aklan's at-large congressional district
Aklan,Aklanon,Q2829093,1,0,1,,Aklanon languages,Q25295,Q3217376,
Aklan,aklanonic acid,Q27114194,1,0,1,chemical compound,"9,10-dioxo-9,10-dihydro-4,5-dihydroxy-3-(1-hydroxy-3-oxo-1-pentenyl)-2-anthraceneacetic acid",Q113145171,Q574302,
