data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Boucherville,Boucherville,Q141924,0,0,1,"city in Montérégie, Quebec, Canada","Boucherville, Quebec|Boucherville, QC",Q27676416|Q104782082|Q27676420|Q27676416|Q28203007|Q19730508,,Boucherville
Boucherville,Boucherville,Q113067725,0,0,1,"post office in Boucherville, Quebec, Canada",,Q35054,,
Boucherville,Adrien de Boucherville,Q41732654,0,0,1,French painter,de boucherville|Boucherville|Adrien De Boucherville,Q5,,
Boucherville,Îles de Boucherville,Q22338730,0,0,1,"archipelago in Boucherville, Québec, Canada",Boucherville Islands,Q33837,,
Boucherville,Boucherville City Council,Q106867431,0,0,1,,,Q3154693,,Boucherville City Council
Boucherville,Seigneurie de Boucherville,Q3477824,0,0,1,"seigneurie of Quebec, Canada",,Q1550557,,
Boucherville,Boucherville,Q2921367,0,0,1,Wikimedia disambiguation page,,Q4167410,,
La Tuque,La Tuque,Q141769,1,0,1,"city in Mauricie, Quebec, Canada","La Tuque, Quebec",Q27676416|Q104782082,,"La Tuque, Quebec"
La Tuque,urban agglomeration of La Tuque,Q2826811,1,0,1,"urban agglomeration in Quebec, Canada",La Tuque,Q3518817|Q2826814|Q18810091|Q486972,,La Tuque (urban agglomeration)
La Tuque,La Tuque railway station,Q3096818,1,0,1,"railway station in La Tuque, Canada",,Q55488,,La Tuque station
La Tuque,La Tuque,Q22585226,1,0,1,"hill in Pontiac, Quebec, Canada",,Q54050,,
La Tuque,La Tuque,Q22585231,1,0,1,"hill in Brébeuf, Quebec, Canada",,Q54050,,
La Tuque,La Tuque,Q22585207,1,0,1,"mountain in Labelle, Canada",,Q8502,,
La Tuque,La Tuque,Q22585242,1,0,1,"hill in Gracefield, Quebec, Canada",,Q54050,,
La Tuque,La Tuque,Q61022319,1,0,1,"Meteorological Service of Canada's station for La Tuque (MSC ID: 707DBD4), Québec, Canada",,Q190107,,
La Tuque,La Tuque,Q113068092,1,0,1,"post office in La Tuque, Quebec, Canada",,Q35054,,
La Tuque,La Tuque,Q61022303,1,0,1,"Meteorological Service of Canada's station for La Tuque (MSC ID: 7074240), Québec, Canada",,Q190107,,
La Tuque,Quebec City,Q2145,1,0,2,"capital city of the province of Quebec, Canada","City of Québec|City of Quebec|Ville de Quebec|Quebec, Quebec|Québec, Québec",Q27676416|Q1549591|Q104782082|Q129268952,,Quebec City
La Tuque,Québec City Jean Lesage International Airport,Q794549,1,0,2,international airport servicing Quebec City,Quebec City Jean Lesage International Airport|YQB|CYQB|Jean Lesage International Airport|Quebec City International Airport|Quebec City Airport,Q644371|Q1248784|Q94993988,,Québec City Jean Lesage International Airport
La Tuque,Quebec City,Q96400665,1,0,2,electoral district in the Province of Canada,,Q24035250,,Quebec City (Province of Canada electoral district)
La Tuque,Québec City–Windsor Corridor,Q5172933,1,0,2,"railway line in Ontario and Quebec, Canada",train line in Canada|Corridor|Via Corridor|Via Rail Corridor|Quebec City–Windsor Corridor,Q728937,,Quebec City–Windsor Corridor (Via Rail)
La Tuque,Fortifications of Québec,Q371553,1,0,2,fortification,Quebec City Fortifications|Fortifications of Quebec City|Fortifications of Quebec|Ramparts of Quebec City,Q57821,,Fortifications of Quebec
La Tuque,Quebec City–Windsor Corridor,Q1419251,1,0,2,area of Canada with Highway 401 and Autoroute 20 as backbones,Windsor-Quebec corridor,Q82794,Q702492,Quebec City–Windsor Corridor
La Tuque,2017 Quebec City mosque shooting,Q28549976,1,0,2,"mass shooting in Quebec, Canada",Quebec City mosque shooting,Q21480300|Q2223653,,Quebec City mosque shooting
La Tuque,Morrin Centre,Q3324394,1,0,2,"cultural, literary, and historical center located at a former anglophone college, which was previously Quebec City’s prison, built on the site of the Royal Redoubt",Édifice du Morrin College|Morrin College Building|L’édifice du Morrin College|Edifice du Morrin College|L’edifice du Morrin College|ancienne prison de Québec|Quebec City historic prison|Quebec City’s historic prison|historic prison of Quebec City|redoute Royale|Royal Redoubt|Morrin Center|Morrin cultural centre|centre culturel Morrin,Q41176|Q2668072,,Morrin Centre
La Tuque,Ottawa–Quebec City train,Q113997349,1,0,2,,Quebec City–Ottawa train,Q91908084,,
La Tuque,Quebec City Council,Q2994129,1,0,2,"City Council of Quebec City, Quebec",Conseil municipal de Quebec,Q3308596|Q15813362,,Quebec City Council
La Tuque,Quebec,Q176,1,0,2,province of Canada,Québec|QC|Province of Quebec|Quebec Province|PQ|P.Q.,Q11828004,,Quebec
La Tuque,Québécois,Q245507,1,0,2,"residents of the province of Quebec, Canada",Quebecers|Quebecois|Québecoises|Québécoises|Quebec residents|Québecois|Quebec Province residents|Quebecoises|Quebeckers,Q33829,Q1196645|Q22947,Québécois people
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Q141977,2,0,1,"city in Mobtérégie, Quebec, Canada","Saint-Jean-sur-Richelieu, Quebec|Saint-Jean-sur-Richelieu, QC",Q27676416,,Saint-Jean-sur-Richelieu
Saint-Jean-sur-Richelieu,Saint-Jean,Q138018255,2,0,1,"administrative sector in Saint-Jean-sur-Richelieu, Quebec, Canada, former town",Saint-Jean-sur-Richelieu,Q27676420|Q27676416|Q27676414|Q27676416|Q19730508|Q28203007,,
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Q113068776,2,0,1,"post office in Saint-Jean-sur-Richelieu, Quebec, Canada",,Q35054,,
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu railway station,Q27318661,2,0,1,"railway station in Saint-Jean-sur-Richelieu, Canada",,Q55488,,
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Q20396516,2,0,1,,,Q486972|Q17362920,,
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu Courthouse,Q111084082,2,0,1,courthouse in Saint-Jean-sur-Richelieu,,Q1137809,,
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu public transit,Q7400678,2,0,1,,,Q10438042,,Saint-Jean-sur-Richelieu public transit
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu Research and Development Centre,Q123951834,2,0,1,"facility in Saint-Jean-sur-Richelieu, Canada",Saint-Jean-sur-Richelieu Research Centre|Saint-Jean-sur-Richelieu RDC,Q13226383,,
Saint-Jean-sur-Richelieu,Saguenay Marquis,Q1251682,2,0,1,ice hockey team,,Q4498974,,Jonquière Marquis
Saint-Jean-sur-Richelieu,Éperviers de Sorel-Tracy,Q1562889,2,0,1,ice hockey team,Sorel-Tracy HC Carvena,Q4498974,,Sorel-Tracy Éperviers
Quebec City,Quebec City,Q2145,3,0,1,"capital city of the province of Quebec, Canada","City of Québec|City of Quebec|Ville de Quebec|Quebec, Quebec|Québec, Québec",Q27676416|Q1549591|Q104782082|Q129268952,,Quebec City
Quebec City,Québec City Jean Lesage International Airport,Q794549,3,0,1,international airport servicing Quebec City,Quebec City Jean Lesage International Airport|YQB|CYQB|Jean Lesage International Airport|Quebec City International Airport|Quebec City Airport,Q644371|Q1248784|Q94993988,,Québec City Jean Lesage International Airport
Quebec City,Quebec City,Q96400665,3,0,1,electoral district in the Province of Canada,,Q24035250,,Quebec City (Province of Canada electoral district)
Quebec City,Québec City–Windsor Corridor,Q5172933,3,0,1,"railway line in Ontario and Quebec, Canada",train line in Canada|Corridor|Via Corridor|Via Rail Corridor|Quebec City–Windsor Corridor,Q728937,,Quebec City–Windsor Corridor (Via Rail)
Quebec City,Fortifications of Québec,Q371553,3,0,1,fortification,Quebec City Fortifications|Fortifications of Quebec City|Fortifications of Quebec|Ramparts of Quebec City,Q57821,,Fortifications of Quebec
Quebec City,Quebec City–Windsor Corridor,Q1419251,3,0,1,area of Canada with Highway 401 and Autoroute 20 as backbones,Windsor-Quebec corridor,Q82794,Q702492,Quebec City–Windsor Corridor
Quebec City,2017 Quebec City mosque shooting,Q28549976,3,0,1,"mass shooting in Quebec, Canada",Quebec City mosque shooting,Q21480300|Q2223653,,Quebec City mosque shooting
