data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Riseup,Riseup,Q21016183,0,0,1,tech collective,riseup.net,Q1273203|Q13473501|Q11371|Q1939471|Q708676,,Riseup
Riseup,RiseUp Summit,Q30590439,0,0,1,"annual event held in Cairo, Egypt",,Q11483816|Q464980,,RiseUp Summit
Riseup,Riseup4Rojava demonstration Berlin 2020-06-20,Q96739687,0,0,1,,,Q175331,,
Riseup,RiseUp SIG VW blockade Berlin 2021-08-19,Q108265848,0,0,1,,,Q14523556,,
Riseup,Rise up 4 the revolution demonstration Berlin 2020-07-19,Q97669292,0,0,1,,,Q175331,,
Global Impact Investing Network,Global Impact Investing Network,Q20001634,1,0,1,national NGO from the United States,,Q163740|Q11371,,Global Impact Investing Network
Hiweb,Hiweb,Q19744239,2,0,1,Iranian telecommunications company,Hiweb Company,Q11371|Q4830453,,
Juno Online Services,Juno Online Services,Q16997963,3,0,1,internet service provider,"Juno|Juno Internet Service|Juno: A United Online Company|Juno Online Services, Inc.",Q1194970|Q4830453|Q11371|Q35127|Q891723,,Juno Online Services
Juno Online Services,Juno,Q125046,3,0,2,ancient Roman goddess,Regina|Iuno|Juno (Giunone),Q11688446|Q205985,,Juno (mythology)
Juno Online Services,Juno,Q16062826,3,0,2,genus of plants,,Q16521,,
Juno Online Services,Juno,Q79503,3,0,2,2007 film by Jason Reitman,,Q11424,,Juno (film)
Juno Online Services,Juno,Q20000505,3,0,2,female given name,,Q11879590|Q3409032|Q22808320,,
Juno Online Services,Juno,Q37460679,3,0,2,family name,,Q101352,,
Juno Online Services,Juno,Q107307294,3,0,2,genus of gastropods,,Q16521,,
Juno Online Services,Junonia,Q967079,3,0,2,genus of insects,buckeyes|pansies|commodores,Q16521,,Junonia
Juno Online Services,Juno,Q20264284,3,0,2,"town in Matías Romero Municipality, State of Oaxaca, Mexico",,Q20202352,,
Juno Online Services,Juno Temple,Q234434,3,0,2,British actress,Juno Violet Temple,Q5,,Juno Temple
Juno Online Services,Juno,Q134994527,3,0,2,video game developed by Synrec,,Q7889,,
Atria Convergence Technologies,Atria Convergence Technologies,Q16826933,4,0,1,Indian company,ACT|ACT Fibernet|Beam Fiber,Q11371,,Atria Convergence Technologies
