data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Jefferson Davis County,Jefferson Davis County,Q491285,0,0,1,"county in Mississippi, United States","Jefferson Davis County, Mississippi|Jefferson Davis County, MS",Q13410508,,"Jefferson Davis County, Mississippi"
Jefferson Davis County,Jefferson Davis County School District,Q6175456,0,0,1,school district in Mississippi,,Q398141,,Jefferson Davis County School District
Jefferson Davis County,"2020 COVID-19 pandemic in Jefferson Davis County, Mississippi",Q94274326,0,0,1,"pandemic in Jefferson Davis County, Mississippi","COVID-19 pandemic in Jefferson Davis County, Mississippi|2020 coronavirus outbreak in Jefferson Davis County, Mississippi|2020 Jefferson Davis County, Mississippi COVID-19 pandemic|Jefferson Davis County, Mississippi COVID-19 pandemic|2020 COVID pandemic in Jefferson Davis County, Mississippi",Q3241045,,
Jefferson Davis County,Jefferson Davis County Mississippi Democrats,Q99756990,0,0,1,political organization in US state of Mississippi,Jefferson Davis County MS Democratic Party|Jefferson Davis County Democratic Party|Jefferson Davis County Mississippi Democratic Party,Q7210356,,
Jefferson Davis County,Jefferson Davis County Courthouse,Q16892882,0,0,1,"historic county courthouse built in 1907 in Prentiss, Mississippi",,Q64037785,,Jefferson Davis County Courthouse
Jefferson Davis County,Jefferson Davis County,Q11270820,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Jefferson Davis County,Jefferson Davis County Courthouse,Q140321570,0,0,1,Wikimedia disambiguation page,,Q4167410,,Jefferson Davis County Courthouse (disambiguation)
Holmes County,Holmes County,Q488879,1,0,1,"county in Florida, United States","Holmes County, Florida|Holmes County, FL",Q13410422,,"Holmes County, Florida"
Holmes County,Holmes County,Q485426,1,0,1,"county in Mississippi, United States","Holmes County, Mississippi|Holmes County, MS",Q13410508,,"Holmes County, Mississippi"
Holmes County,Holmes County,Q485650,1,0,1,"county in Ohio, United States","Holmes County, Ohio|Holmes County, OH",Q13414759,,"Holmes County, Ohio"
Holmes County,Holmes County,Q111453543,1,0,1,Florida historic marker F-252,,Q721747,,
Holmes County,Holmes Community College,Q5883533,1,0,1,"community college in Goodman, Mississippi, U.S.",Holmes County Agricultural High School,Q1336920|Q23002039,,Holmes Community College
Holmes County,Holmes County School District,Q5883549,1,0,1,school district in Mississippi,,Q398141,,Holmes County Consolidated School District
Holmes County,Holmes County routes,Q99638865,1,0,1,"numbered system of highway routes in Holmes County, Ohio, United States","county routes of Holmes County, Ohio|Holmes County roads|county roads of Holmes County, Ohio",Q25631158,,
Holmes County,Holmes County Times Advertiser,Q55665988,1,0,1,newspaper published in Bonifay,,Q11032,,
Holmes County,Holmes County District Public Library,Q69487675,1,0,1,"public library system in Ohio, USA",,Q26271642,,
Holmes County,Holmes County Republican,Q100299353,1,0,1,"newspaper published in Millersburg, Ohio",The Holmes County Republican,Q11032,,
Holmes County,"2020 COVID-19 pandemic in Holmes County, Mississippi",Q94274291,1,0,2,"pandemic in Holmes County, Mississippi","COVID-19 pandemic in Holmes County, Mississippi|2020 coronavirus outbreak in Holmes County, Mississippi|2020 Holmes County, Mississippi COVID-19 pandemic|Holmes County, Mississippi COVID-19 pandemic|2020 COVID pandemic in Holmes County, Mississippi",Q3241045,,
Holmes County,"2020 COVID-19 pandemic in Holmes County, Ohio",Q94165461,1,0,2,"pandemic in Holmes County, Ohio","2020 coronavirus outbreak in Holmes County, Ohio|COVID-19 pandemic in Holmes County, Ohio|2020 Holmes County, Ohio COVID-19 pandemic|Holmes County, Ohio COVID-19 pandemic|2020 COVID pandemic in Holmes County, Ohio",Q3241045,,
