data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Teschendorf,Teschendorf,Q37259807,0,0,1,family name,,Q101352|Q17143070,,
Teschendorf,Teschendorf,Q678887,0,0,1,District of Burg Stargard,,Q253019|Q262166,,Teschendorf
Teschendorf,Teschendorf,Q21039506,0,0,1,"village in Brandenburg state, Germany",,Q253019|Q532|Q19730508,,
Teschendorf,Teschendorf,Q2406144,0,0,1,human settlement in Germany,,Q253019,,
Teschendorf,Teschendorf,Q109802902,0,0,1,"street in Gremersdorf, Schleswig-Holstein, Germany",,Q79007|Q253019,,
Teschendorf,Teschendorf,Q109730330,0,0,1,"street in Fehmarn, Schleswig-Holstein, Germany",,Q79007,,
Teschendorf,Teschendorff,Q83441935,0,0,1,family name,,Q101352|Q17143070,,
Teschendorf,Emil Teschendorff,Q23989267,0,0,1,German painter (1833-1894),Teschendorff|emil teschendorf|emil teschendorff,Q5,,
Teschendorf,Teschendorfer Weg,Q111349760,0,0,1,"street in Reinickendorf district, Berlin, Germany",,Q79007,,
Teschendorf,"Teschendorff, Emil",Q124369092,0,0,1,entry in: Malerwerke des neunzehnten Jahrhunderts,,Q13433827,,
Berlinchen,Barlinek,Q808344,1,0,1,city of Poland,Berlinchen,Q515,,Barlinek
Berlinchen,Berlinchen,Q821362,1,0,1,"village in Ostprignitz-Ruppin district, Brandenburg state, Germany",,Q253019|Q532|Q19730508,,
Berlinchen,Berlinchen,Q107394692,1,0,1,family name,,Q101352,,
Berlinchen,Berlinchen,Q96336956,1,0,1,abandoned village in Brandenburg state,,Q350895,,
Berlinchen,Berlinchen bei Zinnitz,Q821369,1,0,1,human settlement,,Q350895,,
Berlinchen,Berlinchener See,Q31910808,1,0,1,"lake in Brandenburg, Germany",,Q23397,,
Berlinchen,"Berlinchener See, Berlinchener Luch",Q60645436,1,0,1,"protected area in the European Union defined by the habitats directive in Brandenburg, Germany",,Q1191622,,
Berlinchen,Berlinchener Tannen,Q31910813,1,0,1,,,Q4421,,
Berlinchen,Berlinchener Straße,Q101548598,1,0,1,"street in Wittstock/Dosse, Brandenburg, Germany",,Q79007,,
Berlinchen,Berlinchener Dorfplatz,Q101548594,1,0,1,"street in Wittstock/Dosse, Brandenburg, Germany",,Q79007,,
Erfeld,Erfeld,Q111757729,2,0,1,family name,,Q101352,,
Erfeld,Erfeld,Q51735998,2,0,1,human settlement in Germany,,Q14829592|Q19730508|Q1499928|Q105254117|Q15284,,
Erfeld,Erfelden,Q661669,2,0,1,"municipal district of Riedstadt in Kreis Groß-Gerau, Germany",,Q1499928,,
Erfeld,Erfelder Straße,Q101577492,2,0,1,"street in Königheim, Baden-Württemberg, Germany",,Q79007,,
Erfeld,Riedstadt,Q569656,2,0,1,"town in Kreis Groß-Gerau in Hesse, Germany",,Q3957|Q42744322,,Riedstadt
Erfeld,Erfelder Mühle,Q104828677,2,0,1,,,Q4632675|Q185187|Q15911738,,
Erfeld,Erfelder Friedhof,Q110996794,2,0,1,"cemetery in Hardheim, Germany",,Q39614,,
Erfeld,Erfurt,Q1729,2,0,2,capital city of the German federal state of Thuringia,,Q1549591|Q253030|Q1547289|Q707813|Q42744322|Q61747322|Q14784328,,Erfurt
Erfeld,Erfurt,Q37525765,2,0,2,family name,,Q101352|Q17143070,,
Erfeld,Erfurt,Q31997476,2,0,2,"city in Erfurt, Germany",,Q253019,,
