data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Neo Geo,Neo Geo,Q3338075,0,0,1,1987 studio album by Ryuichi Sakamoto,,Q482994,,Neo Geo (album)
Neo Geo,Neo Geo,Q1054350,0,0,1,cartridge-based arcade system board and home video game console developed by SNK,MULTI VIDEO SYSTEM|MVS|Neo Geo MVS|Neo Geo AES,Q115187350,Q17589470|Q631229,Neo Geo
Neo Geo,Colonial Revival architecture,Q5148367,0,0,1,American architectural style,Colonial|Neo-Georgian|Neocolonial|Georgian Revival|Colonial Revival style,Q32880,Q1125300|Q54111,Colonial Revival architecture
Neo Geo,Neo Geo AES,Q64428080,0,0,1,video game console,Advanced Entertainment System|Neo Geo Advanced Entertainment System,Q56682555,Q1054350|Q17589470,
Neo Geo,Neo Geo,Q17042614,0,0,1,family of video game hardware,NeoGeo,Q431289,,
Neo Geo,Neo-geo,Q432026,0,0,1,art movement,neo-geometric conceptualism|neogeo|neo-geo|Neo-Geo,Q968159,,Neogeo (art)
Neo Geo,Neo Geo Heroes: Ultimate Shooting,Q6991873,0,0,1,2010 video game,,Q7889,,Neo Geo Heroes: Ultimate Shooting
Neo Geo,Neo Geo MVS,Q3338058,0,0,1,arcade system board created by SNK,Multi-Video System|Multi Video System|MVS|SNK Neo Geo MVS|Neo-Geo MVS,Q631229,Q1054350,
Neo Geo,Neo Geo Cup '98: The Road to the Victory,Q3338065,0,0,1,1998 video game,,Q7889,,Neo Geo Cup '98: The Road to the Victory
Neo Geo,Neo Geo CD,Q2703883,0,0,1,home video game console,,Q10929058,Q17589470,Neo Geo CD
Playmore,SNK,Q1044563,0,1,1,Japanese video game company,SNK CORPORATION|PLAYMORE|SNK PLAYMORE|SNK Playmore|SNK Playmore USA Corporation|SNK PLAYMORE USA CORPORATION,Q210167|Q4830453,,SNK
Playmore,Playmore,Q140309460,0,1,1,Polish online platform for booking sports facilities,Playmore.pl,Q6881511,,
Playmore,Playmore-Bowery Road Historic District,Q18157469,0,1,1,"historic district in North Carolina, United States",,Q15243209,,Playmore–Bowery Road Historic District
Playmore,Playmore Park,Q49543891,0,1,1,park in the United States of America,,Q22698,,
Alexander McQueen,Alexander McQueen,Q207939,1,0,1,British fashion designer (1969–2010),Lee Alexander McQueen|McQ,Q5,,Alexander McQueen
Alexander McQueen,Alexander McQueen,Q13882231,1,0,1,British luxury fashion house,,Q4830453|Q658255|Q1941779|Q431289,,Alexander McQueen (fashion house)
Alexander McQueen,Alexander McQueen,Q76269808,1,0,1,Peerage person ID=651665,Major Alexander McQueen,Q5,,
Alexander McQueen,Alexander McQueen,Q21014274,1,0,1,British association football player (born 1995),Alexander Luke Nathanial McQueen,Q5,,Alexander McQueen (footballer)
Alexander McQueen,Joan,Q111991484,1,0,1,1998 fashion collection by Alexander McQueen,Alexander McQueen' Joan|Alexander McQueen's Joan,Q5480329,,Joan (collection)
Alexander McQueen,Larry Low Top Sneakers,Q64711057,1,0,1,model of sneakers,alexander mcqueen larry low tops|alexander mcqueen larry low top sneakers,Q100223784,,
Alexander McQueen,Bell dress of Björk,Q112116443,1,0,1,dress in the Who Is It music video by Björk,Björk bell dress|bell dress|Who Is It dress|Alexander McQueen's bell dress|Alexander McQueen bell dress|Alexander McQueen's Björk bell dress|McQueen's bell dress|McQueen bell dress|Björk Medúlla dress|Björk's bell dress,Q200539|Q838948|Q21070598,,
Alexander McQueen,Plato's Atlantis,Q97658680,1,0,1,2010 Spring/Summer fashion collection by Alexander McQueen,Alexander McQueen Spring Summer 2010,Q5480329,,
Alexander McQueen,Alexander McQueen,Q58507107,1,0,1,article by Caroline Ness published January 2016 in Costume,,Q13442814,,
Alexander McQueen,McQueen,Q54026955,1,0,1,2018 documentary about fashion designer Alexander McQueen,,Q11424,,McQueen (film)
Kering,Kering,Q931207,1,1,1,French business (1962-),PPR|Pinault-Printemps-Redoute|Établissements Pinault|Kering SA|Kering S.A.|KERING,Q43229|Q4830453,,Kering
Kering,Kering,Q25990726,1,1,1,"village in Puncak Jaya Regency, Central Papua, Indonesia",,Q12488913,,
