data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Rao,Rao,Q3365064,0,0,1,family name,,Q101352,,Rao (Indian surname)
Rao,Rao,Q18100168,0,0,1,genus of wasp,,Q16521,,Rao (wasp)
Rao,Rao,Q8167467,0,0,1,"district in Pasaman Regency, West Sumatra Province, Indonesia",Raomapattunggul|Kecamatan Raomapattunggul|Rao District,Q3700011,,
Rao,Rao,Q61047366,0,0,1,male given name,,Q12308941,,
Rao,Rao Island,Q2317053,0,0,1,"island in Morotai Island Regency, North Maluku Province, Indonesia",Rau Island|Raoe Island|Pulau Rau|Rao|Rau,Q23442,,
Rao,Raoul,Q11487195,0,0,1,male given name,Raoul (first name)|Raoul (given name),Q12308941,,Raoul
Rao,Rao,Q4178159,0,0,1,Chinese family name (饶/饒),Ráo,Q1093580|Q101352,,Rao (Chinese surname)
Rao,Raoul Dufy,Q45205,0,0,1,French painter (1877–1953),,Q5,,Raoul Dufy
Rao,Raoul De Keyser,Q1342974,0,0,1,Belgian painter (1930-2012),Raoul de Keyser|Raoul De Keijser,Q5,,Raoul De Keyser
Rao,Raoul Walsh,Q72756,0,0,1,American film director and actor (1887–1980),R. A. Walsh,Q5,,Raoul Walsh
Rao,Raja,Q1834465,0,0,2,genus of fishes,,Q16521,,Raja (fish)
Rao,Raja,Q16881822,0,0,2,family name,,Q101352,,Raja (name)
Rao,Raja Ampat,Q26785,0,0,2,"regency in Southwest Papua Province, Indonesia",Kabupaten Raja Ampat|Raja Ampat Regency,Q3191695,,Raja Ampat Regency
Rao,Raja,Q56872239,0,0,2,female given name,,Q11879590,,
Rao,Ilaiyaraaja,Q2720141,0,0,2,Indian film composer & singer,Ilayaraja|Ilaya Raja|Raja,Q5,,Ilaiyaraaja
Rao,Raja,Q14677394,0,0,2,"village in Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia",,Q26211545,,
Rao,Raja,Q12507730,0,0,2,"subdistrict in West Kotawaringin Regency, Central Kalimantan, Indonesia",,Q965568,,
Rao,Raja,Q12489026,0,0,2,"village in Aceh Tamiang Regency, Aceh, Indonesia",Raja Village,Q4285979,,
Rao,Raja,Q24631202,0,0,2,"village in Nagekeo Regency, East Nusa Tenggara, Indonesia",Desa Raja,Q26211545,,
Rao,Raja,Q26086424,0,0,2,"village in Bone Regency, South Sulawesi, Indonesia",,Q26211545,,
Rao,Ravi,Q2133692,0,0,2,male given name,Ravi (given name)|Ravi (first name),Q12308941,,Ravi (name)
Rao,Ravi,Q28737254,0,0,2,family name,,Q101352,,
Rao,Ravi,Q3434911,0,0,2,Norwegian writer and musician,Ivar Christian Johansen,Q5,,Ravi (Ivar Johansen)
Rao,ravine,Q2042028,0,0,2,"very tight valley, narrower than a canyon, which is often the product of streamcutting erosion",,Q12046615,Q631305|Q150784|Q39816|Q1739217,Ravine
Rao,Rabindranath Tagore,Q7241,0,0,2,"Bengali poet, philosopher and polymath (1861–1941)","Rabīndranātha Thākur|Kabiguru|Tagore|Bishwakabi|R. Tagore|Rabindranat Tagor|Bhanu Singha Thakur|Gurudev|Biswakabi|Nyi Wang Gönpo|Tagore, rabindranath|Ravindranath Thakur",Q5,,Rabindranath Tagore
Rao,Ravi Shankar,Q103774,0,0,2,Indian sitar player (1920–2012),Pandit Ravi Shankar|Robindro Shaunkor Chowdhury,Q5,,Ravi Shankar
Rao,Ravi,Q3595650,0,0,2,Indian composer (1926-2012),Ravi Shankar Sharma,Q5,,Ravi (composer)
Rao,Surya,Q204418,0,0,2,solar god in Hinduism,Aditya|Arka|Bhanu|Savitr|Pushan|Ravi|Mitra|Martanda|Vivasvan|Sūrya|Karuna-rasa-sindhu|Asmanabala|Arta-rakshaka|Akhila-gamavedin|Adibhuta|Akhilagya|Ijya|Indriramandirapta|Vandaniya|Suprasanna|Sushila|Suvarchas|Nityananda|Nikhilagamavedya|Diptamurti|Saukhyadayin|Shreyas|Shrimat|Am Suprasanna|Aem Istarthada|Sampatkara|Tejorupa|Paresha|Sakalajagatam Pati|Grahanam Pati|Varenya|Taruna|Ahaskara|Para Jyotish|Antarbahih prakasha|Abjavallabha|Kamaniyakara|Asurari|Uchchasthana samarudha-rathastha|Suriya,Q979507|Q511056,,Surya
Rao,Ravi,Q126599071,0,0,2,badminton player,Ravi Ravi,Q5,,
Rao,Ravi,Q109474616,0,0,2,"Indian businessperson (born 1971, child of Palanisamy)",,Q5,,
Rao,Raj,Q29583032,0,0,2,male given name,,Q12308941,,
Rao,British Raj,Q129286,0,0,2,British colonial rule on the Indian subcontinent (1858–1947),"Indian Empire|Crown rule in India|Direct rule in India|British Indian Empire|the Raj|Hindustan|Hindoostan|Indian Raj|Raj India|India, British|the British Raj",Q133156|Q3024240|Q1351282,,British Raj
Rao,Raj,Q37024276,0,0,2,family name,,Q101352,,
Rao,Raj,Q21615368,0,0,2,"hamlet in Ašmiany district, Belarus",,Q65660829,,
Rao,Raj,Q6529812,0,0,2,"village in Sianno district, Belarus",Ray,Q65661087,,
Rao,Rajhrad,Q1279557,0,0,2,town in the Czech Republic,,Q15978299|Q5153359,,Rajhrad
Rao,Rajidae,Q837104,0,0,2,family of fishes,skate|skates|rajids|rajid,Q16521,,Skate (fish)
Rao,Rajivalochan Subramaniam,Q113815058,0,0,2,physicist,,Q5,,
Rao,Raghav,Q98777141,0,0,2,male given name,,Q12308941,,
Rao,Raghava Varma,Q105427162,0,0,2,physicist at IIT Mumbai,,Q5,,
Rao,Raghav,Q7282930,0,0,2,Canadian singer and songwriter,Raghav Mathur,Q5,,Raghav
Rao,Raghavan,Q37496662,0,0,2,family name,,Q101352,,
Rao,Raghavan Alingkil,Q15223546,0,0,2,Indian actor and director,Raghavan Alingkil,Q5,,Raghavan (actor)
Rao,Raghavendra Upadhya,Q104373448,0,0,2,,,Q5,,
Rao,Raghava S Velagaleti,Q114308524,0,0,2,researcher,Raghava Velagaleti,Q5,,
Rao,Raghava Mutharaju,Q102552081,0,0,2,"researcher, computer science, Ph.D. Wright State University 2016",V. Raghava Mutharaju,Q5,,
Rao,Raghav Govindarajan,Q100304342,0,0,2,member or fellow of the New York Academy of Medicine,,Q5,,
Rao,Raghavendra Hegde,Q106265065,0,0,2,,,Q5,,
Rao,Raghuram Rajan,Q981496,0,0,2,Indian economist and former governor of Reserve Bank of India,Raghuram Govinda Rajan|Raghuram Govind Rajan|Raghuram Govindarajan|Raghuram G. Rajan,Q5,,Raghuram Rajan
Rao,Raghuram,Q15264319,0,0,2,actor (1949-2013),S. Raghuram,Q5,,Raghuram
Rao,Raghuram,Q36903391,0,0,2,family name,,Q101352,,
Rao,Raghuram,Q60789840,0,0,2,village in India,,Q56436498,,
Rao,Raghuraman,Q37180046,0,0,2,family name,,Q101352,,
Rao,Raghuraman Kannan,Q101566198,0,0,2,researcher,,Q5,,
Rao,Raghuram Koganti,Q104072919,0,0,2,researcher,,Q5,,
Rao,Raghuramiah Gompa,Q102170394,0,0,2,Ph.D. University of Toledo 1987,,Q5,,
Rao,Raghuram Srinivasa Tupun,Q102248841,0,0,2,Ph.D. University of Texas at Austin 1999,,Q5,,
Rao,Raghuram D. P.,Q37993290,0,0,2,,,Q5,,
Rao,Raghunath,Q37262357,0,0,2,family name,,Q101352,,
Rao,Raghunath Jhalani,Q108063829,0,0,2,,,Q5,,
Rao,Raghunathganj II community development block,Q7283040,0,0,2,"community development block in West Bengal, India",,Q122987743,,Raghunathganj II
Rao,Raghunathpur II community development block,Q7283044,0,0,2,"community development block in West Bengal, India",,Q122987743,,Raghunathpur II
Rao,Raghunathpur I community development block,Q7283045,0,0,2,"community development block in West Bengal, India",,Q122987743,,Raghunathpur I
Rao,Raghunath Vishnu Pandit,Q31320408,0,0,2,Indian poet (1917–1990),,Q5,,R. V. Pandit
Rao,Raghunathganj I community development block,Q7283034,0,0,2,"community development block in West Bengal, India",,Q122987743,,Raghunathganj I
Rao,Raghunathan Rengasamy,Q102245646,0,0,2,Ph.D. Purdue University 1995,,Q5,,
Rao,Raghunath Raghavan,Q102330403,0,0,2,Ph.D. University of Minnesota-Minneapolis 1982,,Q5,,
Rao,Raghunath Anand Ratabole,Q102409431,0,0,2,Ph.D. Indian Institute of Science 2003,,Q5,,
Rao,Raghupati Singhania,Q106089075,0,0,2,"Indian businessperson (born 1946, child of Lala Lakshmipat Singhania)",,Q5,,
Rao,Raghupati Raghava Raja Ram,Q2031461,0,0,2,Hindu devotional song,,Q105543609,,Raghupati Raghava Raja Ram
Rao,Raghu Dixit,Q7282983,0,0,2,Indian singer-songwriter,Raghupati Dwarakanath Dixit,Q5,,Raghu Dixit
Rao,Firaq Gorakhpuri,Q82071,0,0,2,Urdu author (1896-1982),Raghupati Sahay,Q5,,Firaq Gorakhpuri
Rao,Raghupati Gop,Q121859971,0,0,2,Indian politician,,Q5,,Raghupati Gop
Rao,Raghupathi Venkataratnam Naidu,Q7283053,0,0,2,Indian writer (1862–1939),Raghupati Venkataratnam Naidu,Q5,,Raghupathi Venkataratnam Naidu
Rao,Raghupati Raghav Rajaram,Q37946873,0,0,2,2015 Odia film,,Q11424,,Raghupati Raghav Rajaram
Rao,Raghupati Raghav,Q114717041,0,0,2,,,Q105543609,,
Rao,Raghupati Jute Mills Limited,Q96112666,0,0,2,company in Nepal,,Q891723,,
Rao,Raghupati Raghav (DJ Shiva Remix),Q114717042,0,0,2,,,Q105543609,,
Greg Hildebrandt,Greg Hildebrandt,Q5805441,0,1,1,"American illustrator, half of the sibling duo Brothers Hildebrandt",,Q5,,Greg Hildebrandt
Astra,AstraZeneca,Q731938,1,0,1,British-Swedish pharmaceutical company,AstraZeneca plc.|AZ,Q4830453|Q6881511|Q891723|Q131784011,,AstraZeneca
Astra,Astragalus,Q157184,1,0,1,genus of plants,rattle-pod|locoweed|poison-vetch|kozinec|milk-vetch,Q16521,,Astragalus (plant)
Astra,Astra,Q1137096,1,0,1,Family of Indian beyond-visual-range air-to-air missiles,DRDO Astra|Astra missile,Q18487018,Q243249,Astra (missile)
Astra,Astra,Q12155952,1,0,1,supernatural weapon in Hinduism,,Q124078422,Q54879087,Astra (weapon)
Astra,ASTRA,Q111644635,1,0,1,2021 video game,,Q7889,,
