data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kagoshima Prefecture,Kagoshima Prefecture,Q15701,0,0,1,prefecture of Japan,,Q50337,,Kagoshima Prefecture
Kagoshima Prefecture,history of Kagoshima Prefecture,Q11707787,0,0,1,"prefecture in Kyushu, Japan",Kagoshima Prefecture history,Q17524420,Q130436,History of Kagoshima Prefecture
Kagoshima Prefecture,flag of Kagoshima Prefecture,Q8980339,0,0,1,Japanese prefectural flag,Kagoshima Prefecture flag|Kagoshima prefectural flag,Q22807280,,Flag of Kagoshima Prefecture
Kagoshima Prefecture,Kagoshima Gokoku Shrine,Q11676849,0,0,1,"Shinto shrine in Sōmura, Japan",Kagoshima Gokoku Shrine|Kagoshima Prefecture Gokoku Shrine,Q1534477|Q845945,,
Kagoshima Prefecture,COVID-19 pandemic in Kagoshima Prefecture,Q104719959,0,0,1,,"Kagoshima Prefecture COVID-19 pandemic|2020 Kagoshima Prefecture COVID-19 pandemic|COVID pandemic in Kagoshima Prefecture|COVID-19 pandemic in Kagoshima Prefecture, Japan",Q3241045,,
Kagoshima Prefecture,Kagoshima Prefecture Ordinance on Access to Information,Q107376342,0,0,1,,,Q679847|Q207892,,
Kagoshima Prefecture,Kagoshima Prefecture Museum Association,Q123548153,0,0,1,Japanese museum association,,Q112341050,,
Kagoshima Prefecture,Kagoshima Prefecture and 150th Years of the Meiji Restoration : Focusing on Memory of Saigo Takamori,Q113065771,0,0,1,scientific article published on 15 January 2019,,Q13442814,,
Tokyo,Tokyo,Q1490,1,0,1,capital and largest city of Japan,"Tôkyô|Tokyo-to|Tokyo Metropolitan prefecture|Tōkyō-to|Tôkyô-to|Tokyo Metropolis|Tokio|Tokyo Prefecture|Tokyo, Japan|Tokei|Tokyo (Japan)|Edo|Jedo|Yedo",Q124313007|Q1025961|Q1200957|Q200250|Q208511|Q174844|Q51929311|Q1549591|Q50337|Q200250|Q1066984,,Tokyo
Tokyo,Tokyo,Q7473516,1,0,1,"special wards in the eastern part of Tokyo Metropolis in Japan, that used to form a single city",City of Tokyo|Eastern Tokyo|Tōkyō,Q129319205|Q515,,Tokyo Proper
Tokyo,Sony Group,Q41187,1,0,1,Japanese multinational conglomerate corporation,Totsuko|Tokyo Telecommunications Engineering Corporation,Q219577|Q778575|Q891723|Q11294827|Q161726|Q4830453,,Sony
