data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Aufklärungsprojekt München e.V,Aufklärungsprojekt München e.V.,Q112776336,0,0,1,Association from Munich that offers educational events on sexual orientation and gender identity,Aufklärungsprojekt München,Q988108|Q64606659,,
Munich,Munich,Q1726,0,1,1,"capital and most populous city of Bavaria, Germany","Muenchen|Monachium|Münich|Munich, Germany",Q1187811|Q1549591|Q1180262|Q200250|Q1066984|Q42744322|Q85631896|Q1418640|Q134626,,Munich
Munich,FC Bayern Munich,Q15789,0,1,1,"association football club in Munich, Germany",Bayern Munich|Bayern Muenchen|Bayern Munchen|FC Bayern Muenchen|FC Bayern Munchen|Bayern|Bayern München|FC Bayern München|FCBM|Munich|FCBM 1900|FCB Munich|Bayern of Munich|F.C. Bayern Munich|Die Bayernf|FC Hollywood|FC Bavaria Munich|Bavaria Munich,Q847017|Q476028,,FC Bayern Munich
Munich,Munich Central Collecting Point,Q1053735,0,1,1,"depot used by the Monuments, Fine Arts, and Archives program after the end of the Second World War to process, photograph and redistribute artwork and cultural artefacts that had been confiscated by the Nazis and hidden throughout Germany and Austria","Central Collecting Point, Munich|MCCP",Q181623|Q43229|Q7328910,,Munich Central Collecting Point
Munich,1972 Summer Olympics,Q8438,0,1,1,"Games of the XX Olympiad, in Munich, West Germany",Games of the XX Olympiad|Munich 1972,Q135976384|Q14547231,,1972 Summer Olympics
Munich,Alte Pinakothek,Q154568,0,1,1,"art museum in Munich, Germany",Munich Alte Pinakothek|Alte Pinakothek Bayerische Staatsgemäldesammlungen|Alte Pinakothek München|Ältere Pinakothek,Q207694|Q17431399,,Alte Pinakothek
Munich,Landeshauptstadt München,Q1361384,0,1,1,"municipal self-government of Munich, state capital of Bavaria, Germany",Stadtverwaltung München|Stadt München|München|Munich|City of Munich,Q6501447|Q327333|Q15734684|Q6621940,,
Munich,Munich District,Q10544,0,1,1,"rural district of Upper Bavaria in Bavaria, Germany",District of Munich|Munich (district),Q85482556|Q106517174,,Munich (district)
Munich,Munich,Q152456,0,1,1,2005 film directed by Steven Spielberg,,Q11424,,Munich (2005 film)
Munich,"Academy of Fine Arts, Munich",Q414052,0,1,1,"art school in Munich, Germany",Munich Academy|Akademie der Bildenden Künste München|AdBK München|Munich Academy of Arts|Munich Academy of Fine Arts|Academy of Fine Arts,Q2822241,,"Academy of Fine Arts, Munich"
Munich,Munich Olympic Stadium,Q131610,0,1,1,"stadium located in Munich, Germany",Olympiastadion|Olympic Stadium in Munich,Q589481|Q1154710|Q2310214|Q483110,,Olympiastadion (Munich)
Munich,Aufklärungsprojekt München e.V.,Q112776336,0,1,2,Association from Munich that offers educational events on sexual orientation and gender identity,Aufklärungsprojekt München,Q988108|Q64606659,,
Cricket Writers' Club,Cricket Writers' Club,Q21008574,1,0,1,"British association for cricket journalists working in print, television or radio",CWC,Q988108|Q829080,,Cricket Media Club
Cricket Writers' Club,Cricket Writers' Club Young Cricketer of the Year,Q5184991,1,0,1,cricket award,,,,Cricket Writers' Club Young Cricketer of the Year
Cricket Writers' Club,Cricket Writers' Club County Championship Player of the Year,Q97798741,1,0,1,cricket award,,,,Cricket Writers' Club County Championship Player of the Year
Nouveau Cercle de l'Union,Nouveau Cercle de l'Union,Q24930874,2,0,1,Parisian Gentlemen's club,,Q988108,,
Nouveau Cercle de l'Union,Cercle de l'Union,Q19951975,2,0,2,Lyon private club,The Cercle de l’Union,Q43229,,
Nouveau Cercle de l'Union,Cercle de l'Union interalliée,Q2946489,2,0,2,Parisian social and dining club founded in 1917,,Q5278332|Q1236680,,Cercle de l'Union interalliée
Nouveau Cercle de l'Union,Cercle de l'Union artistique,Q51629180,2,0,2,"club in Paris, France",cercle des Mirlitons,Q988108,,
Nouveau Cercle de l'Union,cercle de l'Union,Q120219798,2,0,2,,,Q1076486,,
Nouveau Cercle de l'Union,cercle de l'Union Interalliees,Q118552778,2,0,2,,,Q1076486,,
Nouveau Cercle de l'Union,Oddfellow Cemetery,Q117575284,2,0,2,"cemetery in St. Tammany Parish, Louisiana, United States",Union Circle Cemetery|UUC Cemetery,Q39614,,
Verein für Volkskunde in Wien,Verein für Volkskunde (Wien),Q2514809,3,0,1,Austrian association and the legal entity behind the Austrian Museum of Folk Life and Folk Art (1919–),,Q1474001,,
Verein für Volkskunde in Wien,Verein für Volkskunde (Berlin),Q138685464,3,0,2,first German folklore society in Berlin (1890–19xx),,Q1474001,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales","Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Q102402183,4,0,1,registered association and the state foundation of the nationwide Heinrich Böll Foundation for the federal state of Brandenburg,,Q988108|Q113805953,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich Böll Foundation,Q651061,4,0,2,"German, legally independent political foundation affiliated with the Green Party",Heinrich-Böll-Stiftung e. V.|HBS,Q1695502|Q2385804|Q155271|Q2085381|Q43229,,Heinrich Böll Foundation
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich Böll Stiftung Baden-Württemberg,Q102423439,4,0,2,,,Q988108,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich-Böll-Stiftung Ukraine,Q127699475,4,0,2,,,Q43229,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich Böll Stiftung Foundation,Q118946887,4,0,2,,,,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich-Böll-Stiftung Sachsen-Anhalt,Q104031265,4,0,2,German foundation,,Q157031,,
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Heinrich Böll Stiftung Rheinland-Pfalz,Q104029211,4,0,2,,,Q157031,,
