data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Pobeda,Pobeda,Q18398469,0,0,1,Russian airline,Aviakompaniya Pobeda OOO|Pobeda Airlines|Pobeda Airlines Limited Liability Company,Q46970|Q4830453,,Pobeda (airline)
Pobeda,Pobeda,Q2384070,0,0,1,1900 Peresvet-class battleship,,Q1051067|Q1410980,,Russian battleship Pobeda
Pobeda,Pobeda,Q16686588,0,0,1,Russian 44-gun fregate,,Q161705,,
Pobeda,POBEDA,Q124069791,0,0,1,2017 video game,,Q7889,,
Pobeda,Pobeda,Q1979375,0,0,1,"human settlement in Roschinskoe GP, Vyborgsky District, Leningrad Oblast, Russia","Pobeda, Leningrad Oblast",Q2514025|Q17468533,,"Pobeda, Leningrad Oblast"
Pobeda,GAZ-M20 Pobeda,Q694025,0,0,1,Soviet car model,GAZ-M20|Pobeda,Q3231690,,GAZ-M20 Pobeda
Pobeda,1908 Pobeda,Q145695,0,0,1,asteroid,Pobeda,Q3863,,1908 Pobeda
Pobeda,Pobeda,Q2100063,0,0,1,Russian brand of wrist-watches,,Q167270,,Pobeda (watch)
Pobeda,Pobeda,Q4366153,0,0,1,"village in Dobrich-selska municipality, Dobrich oblast, Bulgaria",,Q15630849|Q4224624,,"Pobeda, Dobrich Province"
Pobeda,Pobeda,Q1065530,0,0,1,"village in Bačka Topola, Serbia",,Q532,,Pobeda (Bačka Topola)
Pobeda,HMS Victory,Q213958,0,0,2,1765 first-rate ship of the line,Victory,Q892367|Q575727|Q130326199,,HMS Victory
Pobeda,Victory,Q979890,0,0,2,1984 studio album by The Jacksons,,Q482994,,Victory (The Jacksons album)
Pobeda,Victory,Q4011316,0,0,2,2011 studio album by Jedward,,Q482994,,Victory (Jedward album)
Pobeda,victory,Q50000,0,0,2,beating an opponent,win|triumph|winning,,Q7632586|Q123057055,Victory
Pobeda,Fatah,Q178888,0,0,2,Palestinian nationalist political party,Fataḥ|فتح|Fateh|Victory|Palestinian National Liberation Movement,Q7278,,Fatah
Pobeda,Victoria,Q308902,0,0,2,Roman goddess of victory,Winged Victory|Victory|Diva Victoria|Winged Nike,Q11688446|Q205985|Q122966226,,Victoria (mythology)
Pobeda,Victory,Q123047493,0,0,2,1982 video game,,Q7889,,Victory (video game)
Pobeda,Victory,Q25461275,0,0,2,1569 galleon of the English fleet,,Q181469,,
Pobeda,Victory,Q123047477,0,0,2,1983 video game,,Q7889,,
Pobeda,Victory,Q123047456,0,0,2,1989 video game,,Q7889,,
Pobeda,Triumph,Q1849053,0,0,2,Canadian musical group; rock band,,Q215380,,Triumph (band)
Pobeda,Triumph,Q5378665,0,0,2,1562 galleon of the English fleet,English ship Triumph,Q11446,,English ship Triumph (1562)
Pobeda,Roman triumph,Q657438,0,0,2,Ancient Roman ceremony,triumph,Q2627975|Q618779,Q1413045,Roman triumph
Pobeda,Triumph,Q1140388,0,0,2,defunct British car and motor manufacturing company,Triumph Motor Company,Q786820|Q15081030,,Triumph Motor Company
Pobeda,Triumph,Q2454383,0,0,2,,,Q11446,,
Pobeda,Triumph,Q140879050,0,0,2,2006 album by Godsplague,,Q482994,,
Pobeda,Triumph,Q84258513,0,0,2,ship built in 2007,,Q11446,,
Pobeda,Triumph,Q4463232,0,0,2,non-governmental award in Russia in literature and arts,Triumph award,Q5257307,,
Pobeda,Triumph Studios,Q616651,0,0,2,Dutch video game developer,,Q210167|Q1137109,,Triumph Studios
"Luckett, Cornwall",Cornwall Council,Q3774189,1,0,2,British administrative body,Cornwall County Council,Q21561328|Q110417190,,Cornwall Council
"Luckett, Cornwall",Cornwall Council election,Q5172025,1,0,2,"local government elections in Cornwall, England",,Q107359024,Q107637253,Cornwall Council elections
"Luckett, Cornwall",Cornwall County Council Act 1984,Q110283913,1,0,2,Local Act of Parliament of the United Kingdom,"1984 c. xix|1984 c xix|Cornwall County Council Act, 1984",Q100165600,,
"Luckett, Cornwall",Cornwall County Council Act 1971,Q110283437,1,0,2,Local Act of Parliament of the United Kingdom,"1971 c. liv|1971 c liv|Cornwall County Council Act, 1971",Q100165600,,
"Luckett, Cornwall",Cornwall County Council Act 1960,Q110282805,1,0,2,Local Act of Parliament of the United Kingdom,"8 & 9 Eliz. 2. c. xii|8&9 Eliz 2 c xii|Cornwall County Council Act, 1960",Q100165600,,
"Luckett, Cornwall",Cornwall County Council election,Q116210387,1,0,2,class of election,,Q107359024,Q116209903,Cornwall County Council elections
"Luckett, Cornwall","Cornwall County Council Refuse Tip, Carharrack II",Q119399502,1,0,2,"painting by Ray Atkins (b.1937), Arts Council Collection, Southbank Centre",,Q3305213,,
