data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Suigō-Tsukuba Quasi-National Park,Suigō-Tsukuba Quasi-National Park,Q1017124,0,0,1,"quasi-National Park in Kantō, Japan",Suigo-Tsukuba Quasi-National Park,Q11832860,,Suigō-Tsukuba Quasi-National Park
Ibaraki Prefecture,Ibaraki Prefecture,Q83273,0,1,1,prefecture of Japan,Ibaraki,Q50337,,Ibaraki Prefecture
Ibaraki Prefecture,flag of Ibaraki prefecture,Q10371999,0,1,1,"flag used by Ibaraki prefecture, Japan",Ibaraki prefecture flag,Q22807280,,
Ibaraki Prefecture,Ibaraki Teacher Training Center,Q17193506,0,1,1,"education organization in Kasama, Japan",Ibaraki Prefecture Education Training Center,Q2385804,,
Ibaraki Prefecture,Ibaraki Prefecture Joso City Sugawara Elementary School,Q30266125,0,1,1,"education organization in Mitsukaidō, Japan",,Q5358913,,
Ibaraki Prefecture,Ibaraki Prefecture Ordinance on Access to Information,Q107042333,0,1,1,,,Q679847,,
Ibaraki Prefecture,COVID-19 pandemic in Ibaraki Prefecture,Q104719932,0,1,1,,"Ibaraki Prefecture COVID-19 pandemic|2020 Ibaraki Prefecture COVID-19 pandemic|COVID pandemic in Ibaraki Prefecture|COVID-19 pandemic in Ibaraki Prefecture, Japan",Q3241045,,
Ibaraki Prefecture,Suigō-Tsukuba Quasi-National Park,Q1017124,0,1,2,"quasi-National Park in Kantō, Japan",Suigo-Tsukuba Quasi-National Park,Q11832860,,Suigō-Tsukuba Quasi-National Park
Hiba-Dōgo-Taishaku Quasi-National Park,Hiba-Dōgo-Taishaku Quasi-National Park,Q1072908,1,0,1,"quasi-national park in Hiroshima, Shimane, Tottori prefecture, Japan",,Q11832860,,Hiba-Dogo-Taishaku Quasi-National Park
Hiroshima Prefecture,Hiroshima Prefecture,Q617375,1,1,1,prefecture of Japan,,Q50337,,Hiroshima Prefecture
Hiroshima Prefecture,flag of Hiroshima prefecture,Q11061970,1,1,1,Japanese prefectural flag,Hiroshima prefecture flag|Hiroshima prefectural flag,Q22807280,,Flag of Hiroshima Prefecture
Hiroshima Prefecture,Hiroshima Prefectural Information Plaza,Q11484746,1,1,1,,Hiroshima Prefecture Information Plaza,Q294422,,
Hiroshima Prefecture,COVID-19 pandemic in Hiroshima Prefecture,Q104719948,1,1,1,,"Hiroshima Prefecture COVID-19 pandemic|2020 Hiroshima Prefecture COVID-19 pandemic|COVID pandemic in Hiroshima Prefecture|COVID-19 pandemic in Hiroshima Prefecture, Japan",Q3241045,,
Hiroshima Prefecture,Hiroshima Prefecture Tree Planting Center,Q11484893,1,1,1,,,Q167346,,
Hiroshima Prefecture,Hiroshima Prefecture Ordinance on Access to Information,Q107323593,1,1,1,,,Q679847,,
Hiroshima Prefecture,Hiba-Dōgo-Taishaku Quasi-National Park,Q1072908,1,1,2,"quasi-national park in Hiroshima, Shimane, Tottori prefecture, Japan",,Q11832860,,Hiba-Dogo-Taishaku Quasi-National Park
Echizen-Kaga Kaigan Quasi-National Park,Echizen-Kaga Kaigan Quasi-National Park,Q1069254,2,0,1,"Quasi-National Park on the coast of Fukui and Ishikawa Prefectures, Japan",,Q11832860,,Echizen-Kaga Kaigan Quasi-National Park
