data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Apple,Apple Inc.,Q312,0,0,1,"American multinational technology company based in Cupertino, California",Apple (company),Q6881511|Q4830453|Q891723|Q167037|Q18388277,,Apple Inc.
Apple,Apple Records,Q213710,0,0,1,UK international record label; imprint of Apple Corps Ltd.,Apple|Apple (label),Q18127|Q6881511|Q167270,,Apple Records
Apple,apple,Q89,0,0,1,edible fruit of the apple tree,apple fruit,Q140646522,Q41274|Q145150|Q3314483,Apple
Apple,Apple Music,Q20056642,0,0,1,Internet online music service by Apple,,Q19307174|Q15590336,,Apple Music
Apple,Apple,Q26944931,0,0,1,unisex given name,,Q3409032,,
Apple,Apple,Q111046003,0,0,1,registered trademark owned by Apple,Apple®,Q111048186,,
Apple,Apple,Q1754545,0,0,1,1990 studio album by Mother Love Bone,,Q482994,,Apple (Mother Love Bone album)
Apple,Malus,Q104819,0,0,1,flowering genus in the rose family Rosaceae,crabapple|apples|apple,Q16521,Q157957|Q10884,Malus
Apple,iTunes,Q9589,0,0,1,media player and library software,Apple iTunes,Q166142|Q210337|Q24657198|Q240795|Q24579448|Q19307174,,ITunes
Apple,Malus pumila,Q158657,0,0,1,species of apple tree,apple|domestic apple,Q16521,,Malus pumila
Apple,Apple media event,Q62033032,0,0,2,type of periodical livestreamed special event held by Apple Inc.,Apple spring conference|Apple Special Event|Apple spring new conference|Apple Special Events|Apple event|Apple product launch|Apple product reveal|Apple Inc. media event|Apple events,Q15275719|Q124326999,Q1457237|Q112627928|Q1900995,
Apple,history of Apple Inc.,Q1048090,0,0,2,aspect of history,"history of Apple|history of Apple Computer, Inc.|history of Apple Computer Inc.|history of Apple Computer|Apple Inc. history",Q140395760,,History of Apple Inc.
Apple,Apple Inc. litigation,Q4781184,0,0,2,overview about the litigation of Apple Inc.,Apple litigation|litigation of Apple Inc.|litigation of Apple|litigation (Apple Inc.)|litigation (Apple)|Apple Inc.'s litigation|Apple's litigation,,,Apple litigation
Apple,Apple Inc. advertising,Q2935440,0,0,2,overview about the advertising of Apple,,,,Apple Inc. advertising
Apple,Apple Inc. co-founder Steve Jobs dies aged 56,Q17601502,0,0,2,Wikinews article,,Q17633526,,
Apple,criticism of Apple Inc.,Q3592722,0,0,2,overview of criticism related to Apple Inc.,criticism of Apple|Apple Inc. criticism|Apple criticism,Q72044830,,Criticism of Apple Inc.
Apple,Apple Inc. v. Samsung Electronics Co.,Q487819,0,0,2,2016 United States Supreme Court case,,Q697327,,Apple Inc. v. Samsung Electronics Co.
Apple,Apple Inc. CEO Steve Jobs on medical leave,Q17712957,0,0,2,Wikinews article,,Q17633526,,
Apple,Apple Inc. stickers,Q135916340,0,0,2,sticker sheet of Apple Inc. logos,Apple sticker sheet|Apple logo stickers|Apple stickers,Q811701,Q184303|Q112965678,
Apple,Malus domestica,Q18674606,0,0,2,species of genus apple (malus),apple tree|Malus x domestica Borkh.|Malus domestica Borkhausen|Malus x domestica Borkhausen,Q16521,Q904653,Malus domestica
Apple,apple tree,Q60458657,0,0,2,fruit-bearing tree,,Q502895|Q55983715,Q904653|Q104819|Q235352,
Apple,Apple tree,Q18608095,0,0,2,painting by Henri Frédéric Boot,,Q3305213,,
Apple,Apple Tree,Q18889365,0,0,2,painting by Edvard Munch,,Q3305213,,
Apple,Apple tree,Q104625056,0,0,2,painting by Stanisław Jan Podgórski,,Q3305213,,
Apple,Apple Tree,Q25172062,0,0,2,race horse,,Q726,,Apple Tree (horse)
Apple,Apple Tree,Q28036110,0,0,2,painting by Mark Tansey,,Q3305213,,
Apple,Apple Tree,Q77466986,0,0,2,painting by Donald E. McAdoo,,Q3305213,,
Apple,apple tree,Q110735217,0,0,2,,,Q21286738,,
Apple,Apple Tree,Q27894731,0,0,2,painting by Gustave Baumann,,Q3305213,,
Joseph Cornell,Joseph Cornell,Q694774,0,1,1,American artist and filmmaker (1903-1972),,Q5,,Joseph Cornell
Joseph Cornell,Joseph Cornell,Q126598857,0,1,1,publisher of B & G Magazine,,Q5,,
Joseph Cornell,Joseph Howland Cornell,Q107107739,0,1,1,"politician in Massachusetts, US (b.1818)",Joseph H. Cornell|J. H. Cornell|Joseph Cornell,Q5,,
