data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Pen Pals,Pen Pals,Q124050099,0,0,1,2023 video game,,Q7889,,
Pen Pals,Pen Pals,Q7162099,0,0,1,15th episode of the second season of Star Trek: The Next Generation,pp,Q61220733,,Pen Pals (Star Trek: The Next Generation)
Pen Pals,Pen Pals,Q114545806,0,0,1,episode of One Day at a Time (S5 E25),,Q21191270,,
Pen Pals,Pen Pals,Q114517176,0,0,1,episode of The Patty Duke Show (S1 E28),,Q21191270,,
Pen Pals,Pen Pals,Q48700397,0,0,1,indie folk band from the United States,,Q215380,,Pen Pals (band)
Pen Pals,Pen Pals,Q131986040,0,0,1,,,Q21191270,,Pen Pals (The Ren & Stimpy Show)
Pen Pals,Pen Pals,Q125054302,0,0,1,collage by Ray Johnson,,Q22669857,,
Pen Pals,Pen Pals,Q126899877,0,0,1,episode of Boy Girl Dog Cat Mouse Cheese (S1 E2),,Q21191270,,
Pen Pals,Pen Pals / Study Abroad,Q125685888,0,0,1,episode of Big City Greens (S3 E17),,Q21191270,,
Pen Pals,Pen Pals,Q54548816,0,0,1,"scientific article published on March 1, 2016",,Q13442814,,
Hawks,Hawks,Q16870601,1,0,1,family name,,Q101352,,Hawks (surname)
Hawks,Chicago Blackhawks,Q209636,1,0,1,hockey team of the National Hockey League,Chicago Black Hawks|Hawks|Chicago Stadium Corporation,Q4498974,,Chicago Blackhawks
Hawks,Hawthorn Football Club,Q1034556,1,0,1,Australian rules football club,Hawthorn Hawks|Hawks,Q17374546,,Hawthorn Football Club
Hawks,Fukuoka SoftBank Hawks,Q129164,1,0,1,Japanese baseball team,Fukuoka Hawks|SoftBank Hawks|Hawks|Nankai|Kinki Nippon|Great Ring|Nankai Hawks|Fukuoka Daiei Hawks|Daiei Hawks|Taka,Q13027888,,Fukuoka SoftBank Hawks
Hawks,Hartwick College,Q2653975,1,0,1,"private college in Oneonta, New York, United States",Hartwick Seminary|Hawks,Q23002054,,Hartwick College
Hawks,Hawks,Q134388801,1,0,1,badminton player,,Q5,,
Hawks,Hawkshead,Q691544,1,0,1,"village and civil parish in Cumbria, England, UK","Hawkshead, Cumbria",Q532|Q1115575,,Hawkshead
Hawks,Hawksley Workman,Q584016,1,0,1,Canadian musician,Ryan Corrigan,Q5,,Hawksley Workman
