data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lucius Fox,Lucius Fox,Q159202,0,0,1,fictional character throughout the DC Universe,,Q1114461|Q15632617|Q15773347|Q15711870|Q15773317,,Lucius Fox
Lucius Fox,Lucius Fox,Q105704004,0,0,1,Bahamian baseball player,,Q5,,Lucius Fox (baseball)
Charlie Chan,Charlie Chan,Q389624,1,0,1,fictional character,,Q15632617,,Charlie Chan
Charlie Chan,Charlie Chandsawangbhuwana,Q102121823,1,0,1,researcher,,Q5,,
Charlie Chan,Charlie Chan,Q5084663,1,0,1,Australian composer,,Q5,,Charlie Chan (composer)
Charlie Chan,Charlie Chan Carries On,Q3821967,1,0,1,fifth novel in the Charlie Chan series,,Q7725634,,Charlie Chan Carries On
Charlie Chan,Charlie Chan,Q55719567,1,0,1,Hong Kong model,,Q5,,
Charlie Chan,Charlie Xue,Q37839010,1,0,1,Chinese medicine practitioner and academic,Changli Xue|Charlie Changli Xue|Charlie C. Xue,Q5,,
Charlie Chan,Charlie Chandra,Q12478593,1,0,1,"Indonesian actor, singer",,Q5,,
Charlie Chan,Charlie Chan,Q27860112,1,0,1,Chinese swimmer,,Q5,,Charlie Chan (swimmer)
Charlie Chan,Charlie Chan Dagelet,Q2600405,1,0,1,Dutch actress,,Q5,,
Charlie Chan,Charlie Chan and the Curse of the Dragon Queen,Q1066864,1,0,1,1981 film by Clive Donner,Charlie Chan & the Curse of the Dragon Queen,Q11424,,Charlie Chan and the Curse of the Dragon Queen
Robin Hood,Robin Hood,Q50100143,2,0,1,1983 video game,,Q7889,,
Robin Hood,Robin Hood,Q66436623,2,0,1,1988 ; Systems Editoriale s.r.l./Commodore (Software) Club ; Shoot'em Up - SEUCK,,Q7889,,
Robin Hood,Robin Hood,Q122634,2,0,1,"heroic outlaw in English folklore, a highly skilled archer and swordsman",Robyn Hode|Robyn Hod|Robin of Sherwood|Robin of Loxley|Robin of Locksley|Robert Fitzooth|Robin de Courtenay|Robert Hode|Robert Huntingdon,Q12334344|Q15632617|Q15773347|Q80447738,,Robin Hood
Robin Hood,Robin Hood,Q19090,2,0,1,1973 animated film directed by Wolfgang Reitherman,1973 Robin Hood,Q202866,,Robin Hood (1973 film)
Robin Hood,Robin Hood,Q132798385,2,0,1,television series,Robin Hood (2025 TV series),Q5398426,,Robin Hood (2025 TV series)
Robin Hood,Robin Hood,Q40028,2,0,1,British television programme (2006–2009),,Q5398426,,Robin Hood (2006 TV series)
Robin Hood,Robin Hood,Q113860629,2,0,1,New Zealand diver and diving administrator,Robin Michael Newton Hood,Q5,,
Robin Hood,Robin Hood,Q223559,2,0,1,2010 film by Ridley Scott,,Q11424,,Robin Hood (2010 film)
Robin Hood,Robin Hood: Prince of Thieves,Q486822,2,0,1,1991 film directed by Kevin Reynolds,1991 Robin Hood,Q11424,,Robin Hood: Prince of Thieves
Robin Hood,Robin Hood,Q27266011,2,0,1,legend of Robin Hood,,Q7832362|Q42109240,,
Robin Hood,Robin of Locksley,Q26741249,2,0,2,character from Princess of Thieves,Robin Hood,Q15632617|Q15773347,,
Robin Hood,Robin of Locksley,Q3939273,2,0,2,1996 American film,,Q506240,,Robin of Locksley (film)
Paul Driscol,Paul Driscol,Q60199559,3,0,1,American radio host,,Q5,,
Paul Driscol,Paul Driscol,Q61974468,3,0,1,fictional radio DJ from the 2008 video game Saints Row 2,,Q15632617|Q1569167,,
Paul Driscol,Paul C. Driscoll,Q30502295,3,0,1,researcher,Paul Driscoll,Q5,,
89.0 Generation X,89.0 Generation X,Q60199514,3,1,1,fictional radio station from the Saints Row video game series,GenX 89|89.0 Ultor FM,Q60153785,,
Hip,Hipparcos Catalogue,Q537199,4,0,1,catalogue of stars and their positions,Hipparcos Catalog|HIP,Q605175,,Hipparcos Catalogue
Hip,Hippocampus,Q5768411,4,0,1,scientific journal,,Q5633421,,Hippocampus (journal)
