data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Transparence,Transparence,Q111592339,0,0,1,jewelry exhibition in in Galerie Noel Guyomarc'h,,Q464980|Q2352616,,
Transparence,Transparence,Q7834763,0,0,1,album by Markize,,Q482994,,Transparence (album)
Transparence,transparency,Q487623,0,0,1,property of an object or substance to transmit light with minimal scattering,pellucidity|diaphaneity|transparent,Q2643571,,Transparency and translucency
Transparence,Transparences,Q3537755,0,0,1,novel by Ayerdhal,,Q7725634,,
Transparence,"Transparence XII. ( from the  ""Belle Isle"" period )",Q50935129,0,0,1,painting by Victor Vasarely,,Q3305213,,
Transparence,"Transparence XIII. (from the ""Black-white line"" period )",Q50972976,0,0,1,painting by Victor Vasarely,,Q3305213,,
Transparence,transparency,Q535347,0,0,1,"general social and ethical principle of openness, clear communication, and accountability in the behavior and actions of individuals or social groups",behavioral transparency|behavioural transparency|social transparency|openness in behavior,Q137210792,Q1207505,Transparency (behavior)
Transparence,Transparence-Santé,Q63413161,0,0,1,,,Q8513,,
Transparence,Transparence vagabonde,Q117325224,0,0,1,painting by Marcel Barbeau,,Q3305213,,
Transparence,Transparence (Blue),Q119578275,0,0,1,"painting by Michael Craig-Martin (b.1941), Hiscox Collection",,Q3305213,,
Transparence,Transparency International,Q174240,0,0,2,"international, non-governmental umbrella organization",TI|Transparency International Secretariat,Q1194093|Q163740,,Transparency International
Transparence,overhead transparency,Q1751645,0,0,2,thin sheet of transparent flexible material to place on overhead projectors,viewfoil|foil|transparency (projection)|transparency|transparency sheet|transparency film|transparency paper|projection transparency|overhead projector transparency|overhead projector sheet|overhead projector paper,,Q3827429|Q16829513|Q3327760|Q875696,Transparency (projection)
Transparence,transparency,Q568753,0,0,2,economic concept,,Q64513524,,Transparency (market)
Transparence,Transparency International Deutschland,Q56683618,0,0,2,German NGO,Transparency International Deutschland e. V.|Transparency Deutschland,Q79913|Q163740,,
Transparence,Transparency,Q19884959,0,0,2,painting by James Edward Davis,,Q3305213,,
Transparence,transparency,Q944865,0,0,2,quality of lossily compressed data being perceptually indistinguishable from the original,percepually lossless|perceptual losslessness|visually lossless,Q1207505,Q54988221,Transparency (data compression)
Transparence,transparency,Q2449569,0,0,2,term in computer graphics,,,,Transparency (graphic)
Transparence,Transparency,Q18164553,0,0,2,album by Herb Robertson,,Q482994,,Transparency (album)
Canada,Canada,Q16,0,1,1,country in North America,CA|CAN,Q223832|Q202686|Q3624078|Q6256|Q43702,,Canada
Canada,Canada,Q14624136,0,1,1,moth genus of Pteromalidae,,Q16521,,
Canada,Canada,Q13265725,0,1,1,family name,,Q101352,,Canada (surname)
Canada,Canada,Q54856571,0,1,1,unisex given name,,Q3409032,,
Canada,Newfoundland and Labrador,Q2003,0,1,1,province of Canada,NL|New Foundland and Labrador|N.L.|Newfoundland|Nfld.|NFLD|CA-NL|Canada's Happy Province,Q11828004,,Newfoundland and Labrador
Canada,Nova Scotia,Q1952,0,1,1,province of Canada,NS|Province of Nova Scotia|CA-NS|Canada's Ocean Playground|New Scotland,Q11828004|Q3750285,,Nova Scotia
Canada,Saskatchewan,Q1989,0,1,1,province of Canada,Province of Saskatchewan|CA-SK|Canada's Breadbasket|The Land of the Living Skies,Q11828004,,Saskatchewan
Canada,Province of Canada,Q1121436,0,1,1,1841–1867 UK possession in North America,United Province of Canada|United Canadas|Canada|British Canada,Q1351282|Q19953632,,Province of Canada
Canada,Cañada,Q41660719,0,1,1,family name,,Q101352,,
Canada,Canada's Walk of Fame,Q857933,0,1,1,"street in Toronto, Ontario, Canada",,Q79007|Q47502370,,Canada's Walk of Fame
Canada,Government of Canada,Q422404,0,1,2,federal government of Canada,federal government of Canada|Her Majesty's Government|Gouvernement de Sa Majesté|His Majesty's Government|Canada government|Canadian government|Canadian federal government,Q1006644|Q35798,,Government of Canada
Canada,Canadian Government Railways,Q1032142,0,1,2,transport company,,Q740752,,Canadian Government Railways
Canada,Canadian Government Ship Stanley,Q16955282,0,1,2,Canadian icebreaker,,Q11446,,CGS Stanley
Canada,Canadian government aircraft fleet,Q56650980,0,1,2,fleet of aircraft used by Canada's government,Aircraft in Canadian government service,Q1875630,,
Canada,Canadian Government Merchant Marine,Q115141217,0,1,2,business,,Q4830453,,
Canada,Canadian government threatens to ignore law respecting Kyoto Protocol,Q17612689,0,1,2,Wikinews article,,Q17633526,,
Canada,Canadian government falls in non-confidence vote,Q17615500,0,1,2,Wikinews article,,Q17633526,,
Canada,Canadian government 'will respect' Kyoto law,Q17612691,0,1,2,Wikinews article,,Q17633526,,
Canada,Canadian Government Ship Minto,Q16955276,0,1,2,Canadian icebreaker vessel,,Q11446,,CGS Minto
Canada,Canadian Government Motion Picture Bureau,Q17513994,0,1,2,Canadian government photographic agency,Motion Picture Bureau,Q327333|Q104649845,,Canadian Government Motion Picture Bureau
Canada,Government of Canada Core Subject Thesaurus,Q106065339,0,1,2,bilingual thesaurus consisting of terminology which represents all the fields treated in information resources of the Government of Canada,Canada Core Subject Thesaurus|Core Subject Thesaurus|CST,Q17152639|Q35127,,
Canada,Government of Canada Building,Q55206257,0,1,2,"government building in Woodstock, New Brunswick",,Q1220959,,
Canada,Government of Canada Building,Q55206232,0,1,2,"government building in Fredericton, New Brunswick, Canada",,Q1220959,,
Canada,Canada Open Data portal,Q97285880,0,1,2,Government of Canada Open Data,Canada Open Data initiative|Open Data in Canada|Government of Canada Open Data Portal|GC Open Data,Q27031827,,
Canada,"Government of Canada Building, Montague",Q30575045,0,1,2,"government building in Montague, Prince Edward Island, Canada",,Q1220959,,
Canada,Government of Canada Building,Q55206249,0,1,2,"government building in Edmundston, New Brunswick",,Q1220959,,
Canada,Government of Canada Building,Q55206255,0,1,2,"government building in Grand Falls, New Brunswick, Canada",,Q1220959,,
Canada,Government of Canada Building,Q5589191,0,1,2,"government building in North York, Toronto",Joseph Shepard Federal Building|Joseph Shepard Building,Q1220959,,Government of Canada Building (North York)
Canada,"Government of Canada Building, Kensington",Q47037257,0,1,2,"government building in Kensington, Prince Edward Island, Canada",,Q1220959,,
Johannes Vermeer,Johannes Vermeer,Q41264,1,0,1,Dutch painter (1632–1675),"Jan Reyniersz Vermeer van Delft|Jan van Der Meer|Jan Van der Meer|Jan van der Meer|Jan Vermeer de Delft|Johannes van Delft Vermeer|Jan Van der Meer van Delft|Ĭokhannes Vermer|Ĭokhannes Vermer Delftskiĭ|Jan Vermeer Delft|Johannes Schwartz|vander Meer van Delft|Vermeer van van Delft|jan vermeer of haarlem|Delfsche van der Meer|of Delft Van der Meer|Vandermeer de Delft|J. vander Meer van Delft|V. D. Meer|Der Delftsche v. d. Neer|de Delft Vander Méer|de Delfet Vander-Meer|jan van der meer der altere|de Delfze van der Meer|J. Vermeer of Delft|Delftsche Vermeer|van der Meer|jan der meer|of Delft V. der Meer|Vermeer van Delft|De Delfsche van der Meer|vermeer of haarlem|De Meere|de Delftsche van der Meer|Van der Meer de Delft|Jan Vermeer of Delft|ver meer|Delfter Vermeer|de Delfsche vander Meer|Vander Meer de Delft|Van der, of Delft Meer",Q5,,Johannes Vermeer
Johannes Vermeer,Johannes Vermeer,Q102229722,1,0,1,Ph.D. Vrije Universiteit Amsterdam 1983,,Q5,,
Johannes Vermeer,Jan Vermeer van Haarlem the Elder,Q3159680,1,0,1,"painter from the Northern Netherlands and father of Barend, Isaac, and Jan Vermeer or van der Meer II (1628-1691)","Jan van der Meer I|Jan van Haarlem, II Vermeer|Jan van der, II Meer van Haarlem|Jan Vermeer Meer Van Haarlem|Jan II Vermeer|Jan, the elder Vermeer van Haarlem|Jan van der Meer II|Jan, II Vandemeer|Jan van der, the elder Meer|Jan Van Der Meer Van Haarlem II|Jan, II Vermeer van Haarlem|Jan Vermeer II|Jan van Haarlem, the Younger Vermeer|Jan ver, II Meer van Haarlem|Jan Vermeer|Jan Vermeer van Haarlem II|Johannes, II Vermeer van Haarlem|Johannes Vermeer|Jan, II Vander Meer|Jan Van Der, II Meer Van Haarlem|Johannis, II Vermeer van Haarlem|Jan, II Vandermer|Jan Vermeer van Haarlem (I)|Jan Vermeer van Haarlem|Jan van der Meer|Jan van der Meer (I)|Jan van der Meer van Haarlem|Jan van der Meer van Haarlem (I)|Jan Vermeer (I)|Johan Vermeer van Haarlem|Johan Vermeer van Haarlem (I)|Johannes Vermeer van Haarlem|Johannes Vermeer van Haarlem (I)|Johannis Vermeer van Haarlem|Johannis Vermeer van Haarlem (I)|de ouwe van der meer|Vander Meer|J Vermeer|Vander Miere|Van der Meer le vieux|H. V. der Meer|Vandemeer|Van Meeren|Vermeer de Oude|J.V. der Meer|Vandemere|Vander-Meer|dit le Vieux Vander Meer|Giovanni Vandermer|jan vermeer van haarlem|le vieux J. Vander Meer|Giovanni Venermeer [o Vandermeer]|V. de Mere|van der Meer Jean|jan vermeer van harlem|Jan van der Meer the younger|jan. v. d. meer van haarlem|Vandermer|J. Vermeer|van der Meer d'ouden|Van Dermer|Vermeer|H. Vander Meer|V. der Mere|jan vermeer van delft|H. Van der Meer|de oude Vermeer|J. Vander-Meer|Jan van Haarlem Vermeer|Demeer|Jan vander Meer|van der Meer|J. Werneer|van Haarlem Jan Vermer|jan van der meer van haarlem|vermeer van harlem|Soon van Vermersch|V. der. Meer|der Aeltere J. van der Meer|Jan Vermer Van Delft|Jan, van der Meer|vermeer van haarlem|V. der Meer|Vermeir|J. V. der Meer|Mr. Demeer|Vermeere|Van de Meer|J. Vander Meer|jan vermeer van haarlem d. aelt.|Jan van der, the younger Meer|J. Vr. Meer|Johannes Vermeer el Viejo",Q5,,Jan Vermeer van Haarlem the Elder
Johannes Vermeer,Johannes Vermeer,Q124100835,1,0,1,civil servant in the Dutch East Indies,,Q5,,
Johannes Vermeer,Johannes Vermeer,Q15283995,1,0,1,"art exhibition 1995-1996 National Gallery of Art, Washington D. C., Mauritshuis, The Hague",,Q464980,,
Johannes Vermeer,Johannes Vermeer (exhibition catalogue),Q15284018,1,0,1,"catalogue of the Johannes Vermeer exhibition at the National Gallery of Art, 1995-1996",,Q3331189|Q2352616,,
Johannes Vermeer,"Johannes Vermeer catalog raisonné, 1908",Q26235177,1,0,1,catalog raisonné of Vermeer works by Cornelis Hofstede de Groot,Vermeer 1908,Q1050259|Q47114558,,
Johannes Vermeer,Johannes Vermeer,Q2164464,1,0,1,international train between Amsterdam and Cologne,,Q15141321,,
Johannes Vermeer,Johannes Vermeer,Q19280548,1,0,1,"street in Ouderkerk aan de Amstel, the Netherlands",,Q79007,,
Johannes Vermeer,Johannes Vermeer Award,Q2141982,1,0,1,Dutch art award,,Q1792571,,
Kawahara Keiga,Kawahara Keiga,Q11477866,2,0,1,Japanese painter,Toyosuke|Taguchi Takumi|Keiga Kawahara,Q5,,Kawahara Keiga
Kawahara Keiga,Kawahara Keiga,Q100342019,2,0,1,exhibition in 1987,,Q464980|Q29023906,,
Kawahara Keiga,Kawahara Keiga - Fotograaf zonder camera,Q100341685,2,0,1,exhibition in 2014,,Q464980|Q29023906,,
Netherlands,Netherlands,Q55,2,1,1,one of the four autonomous countries of the Kingdom of the Netherlands; with territories in the Caribbean,Holland|the Netherlands|Nederland|Nederlanden|de Nederlanden|NL|NLD,Q15304003|Q6256,,Netherlands
