data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Break Every Rule,Break Every Rule,Q1754115,0,0,1,1986 studio album by Tina Turner,,Q482994,,Break Every Rule
Break Every Rule,Break Every Rule,Q4959261,0,0,1,1987 single by Tina Turner,,Q134556,,Break Every Rule (song)
Break Every Rule,Break Every Rule,Q16179458,0,0,1,1987 live video album by Tina Turner,,Q10590726,,
Break Every Rule,Break Every Rule,Q116382201,0,0,1,2022 studio album reissue by Tina Turner,,Q482994,,
Break Every Rule,Break Every Rule Tour,Q4353202,0,0,1,concert tour of Tina Turner,,Q1573906,,Break Every Rule World Tour
Break Every Rule,Break Every Rule,Q20751140,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Break Every Rule,Tina Turner,Q131814,0,0,2,American-born Swiss singer and songwriter (1939–2023),Tina Turner-Bullock|Martha Nell Bullock,Q5,,Tina Turner
Break Every Rule,Tina Turner,Q121079170,0,0,2,,,Q5,,
Break Every Rule,Make No Sense,Q100949053,0,0,2,original song co-written and performed by YoungBoy Never Broke Again,Tina Turner|Make No Sense by YoungBoy Never Broke Again|Make No Sense by NBA YoungBoy,Q105543609,,Make No Sense
Break Every Rule,Tina Turner,Q20491485,0,0,2,painting by Eric Calvin McDonald,,Q3305213,,
Break Every Rule,Rosa 'Tina Turner',Q83670757,0,0,2,rose cultivar,Tina Turner,Q26817508,,
Break Every Rule,Tina Turner discography,Q1134153,0,0,2,Wikimedia artist discography,discography of Tina Turner|discography from Tina Turner,Q104635718,,Tina Turner discography
Break Every Rule,Tina Turner's albums in chronological order,Q82957632,0,0,2,Wikimedia albums discography,Tina Turner albums discography|Tina Turner discography - albums,Q59191021,,
Break Every Rule,Tina Turner singles discography,Q102351853,0,0,2,Wikimedia singles discography,Tina Turner discography - singles|discography of Tina Turner singles|discography from Tina Turner singles,Q59248059,,
Break Every Rule,Tina Turner video albums discography,Q82958123,0,0,2,Wikimedia video albums discography,Tina Turner discography - video albums|discography of Tina Turner video albums|discography from Tina Turner video albums,Q61914117,,
Break Every Rule,Tina Turner filmography,Q19392548,0,0,2,filmography,filmography of Tina Turner|filmography from Tina Turner,Q1371849,,
Tina Turner,Tina Turner,Q131814,0,1,1,American-born Swiss singer and songwriter (1939–2023),Tina Turner-Bullock|Martha Nell Bullock,Q5,,Tina Turner
Tina Turner,Tina Turner,Q121079170,0,1,1,,,Q5,,
Tina Turner,Make No Sense,Q100949053,0,1,1,original song co-written and performed by YoungBoy Never Broke Again,Tina Turner|Make No Sense by YoungBoy Never Broke Again|Make No Sense by NBA YoungBoy,Q105543609,,Make No Sense
Tina Turner,Tina Turner,Q20491485,0,1,1,painting by Eric Calvin McDonald,,Q3305213,,
Tina Turner,Rosa 'Tina Turner',Q83670757,0,1,1,rose cultivar,Tina Turner,Q26817508,,
Tina Turner,Tina Turner discography,Q1134153,0,1,1,Wikimedia artist discography,discography of Tina Turner|discography from Tina Turner,Q104635718,,Tina Turner discography
Tina Turner,Tina Turner's albums in chronological order,Q82957632,0,1,1,Wikimedia albums discography,Tina Turner albums discography|Tina Turner discography - albums,Q59191021,,
Tina Turner,Tina Turner singles discography,Q102351853,0,1,1,Wikimedia singles discography,Tina Turner discography - singles|discography of Tina Turner singles|discography from Tina Turner singles,Q59248059,,
Tina Turner,Tina Turner video albums discography,Q82958123,0,1,1,Wikimedia video albums discography,Tina Turner discography - video albums|discography of Tina Turner video albums|discography from Tina Turner video albums,Q61914117,,
Tina Turner,Tina Turner filmography,Q19392548,0,1,1,filmography,filmography of Tina Turner|filmography from Tina Turner,Q1371849,,
Here Are the Young Men,Here Are the Young Men,Q56276425,1,0,1,2020 film directed by Eoin Macken,,Q11424,,Here Are the Young Men
Here Are the Young Men,Here Are the Young Men,Q10295037,1,0,1,video album by Joy Division,,Q10590726,,
Here Are the Young Men,Here Are the Young Men,Q97328258,1,0,1,Wikimedia disambiguation page,,Q4167410,,
Here Are the Young Men,Joy Division,Q172763,1,0,2,British post-punk band,"Ian Curtis, Peter Hook, Bernard Sumner, Stephen Morris",Q215380,,Joy Division
Here Are the Young Men,Joy Division,Q12125275,1,0,2,2006 film by Reg Traviss,,Q11424,,Joy Division (2006 film)
Here Are the Young Men,Joy Division,Q112193354,1,0,2,episode of Goliath,,Q21191270,,
Here Are the Young Men,Joy Division,Q6297094,1,0,2,2007 British documentary film about Joy Division directed by Grant Gee,,Q11424,,Joy Division (2007 film)
Here Are the Young Men,Joy Division discography,Q6297099,1,0,2,Wikimedia band discography,Joy Divisions discography|discography from Joy Division|discography of Joy Division,Q104635718,,Joy Division discography
Here Are the Young Men,Joy Division's albums in chronological order,Q95111043,1,0,2,Wikimedia albums discography,Joy Division albums discography|Joy Division discography - albums,Q59191021,,
Here Are the Young Men,Joy Division singles discography,Q95111289,1,0,2,Wikimedia singles discography,Joy Division discography - singles|discography of Joy Division singles|discography from Joy Division singles,Q59248059,,
Here Are the Young Men,Joy Division tribute albums,Q111239617,1,0,2,Wikimedia albums discography,,Q59191021,,
Here Are the Young Men,Joy Division Oven Gloves,Q84442458,1,0,2,song by Half Man Half Biscuit,,Q105543609,,
Here Are the Young Men,The Complete BBC Recordings,Q9015048,1,0,2,album by Joy Division,,Q482994,,The Complete BBC Recordings (Joy Division album)
Joy Division,Joy Division,Q172763,1,1,1,British post-punk band,"Ian Curtis, Peter Hook, Bernard Sumner, Stephen Morris",Q215380,,Joy Division
Joy Division,Joy Division,Q12125275,1,1,1,2006 film by Reg Traviss,,Q11424,,Joy Division (2006 film)
Joy Division,Joy Division,Q112193354,1,1,1,episode of Goliath,,Q21191270,,
Joy Division,Joy Division,Q6297094,1,1,1,2007 British documentary film about Joy Division directed by Grant Gee,,Q11424,,Joy Division (2007 film)
Joy Division,Joy Division discography,Q6297099,1,1,1,Wikimedia band discography,Joy Divisions discography|discography from Joy Division|discography of Joy Division,Q104635718,,Joy Division discography
Joy Division,Joy Division's albums in chronological order,Q95111043,1,1,1,Wikimedia albums discography,Joy Division albums discography|Joy Division discography - albums,Q59191021,,
Joy Division,Joy Division singles discography,Q95111289,1,1,1,Wikimedia singles discography,Joy Division discography - singles|discography of Joy Division singles|discography from Joy Division singles,Q59248059,,
Joy Division,Joy Division tribute albums,Q111239617,1,1,1,Wikimedia albums discography,,Q59191021,,
Joy Division,Joy Division Oven Gloves,Q84442458,1,1,1,song by Half Man Half Biscuit,,Q105543609,,
Joy Division,The Complete BBC Recordings,Q9015048,1,1,1,album by Joy Division,,Q482994,,The Complete BBC Recordings (Joy Division album)
Joy Division,The Young Men,Q16239940,1,1,2,Hong Kong folk/rock band,,Q215380,,The Young Men
Joy Division,The Young Men and the Sea,Q51234308,1,1,2,episode of Melrose Place (S2 E19),,Q21191270,,
