data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Dehesa de la Cepeda,Dehesa de la Cepeda,Q5252238,0,0,1,enclave of the Community of Madrid in Castilla y León disputed by the province of Segovia,,Q171441|Q15239622,,Dehesa de la Cepeda
Dehesa de la Cepeda,Cepeda,Q16865462,0,0,2,family name,,Q101352|Q17143070,,Cepeda (surname)
Dehesa de la Cepeda,Cepeda,Q24014150,0,0,2,"capital of Cepeda Municipality, Spain",,Q121289819,,
Dehesa de la Cepeda,Cepeda,Q1640738,0,0,2,"municipality in Salamanca, Spain",,Q2074737,,"Cepeda, Salamanca"
Dehesa de la Cepeda,Cepeda,Q47528199,0,0,2,Spanish singer and songwriter,Luis Cepeda Fernández,Q5,,Luis Cepeda
Dehesa de la Cepeda,Cepeda,Q3664943,0,0,2,human settlement in Argentina,,Q15284,,
Dehesa de la Cepeda,Cépeda,Q134097844,0,0,2,family name,,Q101352,,
Dehesa de la Cepeda,Cepedak,Q4268029,0,0,2,"village in Purworejo Regency, Central Java, Indonesia",Desa Cepedak,Q26211545,,
Dehesa de la Cepeda,Cepeda la Mora,Q16978368,0,0,2,"capital of Cepeda la Mora Municipality, Spain",,Q486972|Q121289819,,
Dehesa de la Cepeda,Cempedak Island,Q26761262,0,0,2,"island in Bintan Regency, Riau Islands Province, Indonesia",Cepedak|Cepedak Island,Q207524,,
Dehesa de la Cepeda,"Cepeda, Pazos de Borbén",Q12385953,0,0,2,,,Q12397176,,
Dehesa de la Cepeda,Dehesa,Q37559539,0,0,2,family name,,Q101352,,
Dehesa de la Cepeda,Dehesa de Cuéllar,Q5696090,0,0,2,"human settlement in Cuéllar, Segovia Province, Castile and León, Spain",,Q3055118,,Dehesa de Cuéllar
Dehesa de la Cepeda,dehesa,Q1182952,0,0,2,multifunctional agro-sylvo-pastoral system,,,Q4421|Q37813,Dehesa
Dehesa de la Cepeda,Dehesa,Q5252234,0,0,2,"human settlement in California, United States of America",,Q486972,,"Dehesa, California"
Dehesa de la Cepeda,Dehesa,Q20222342,0,0,2,"town in Acayucan Municipality, State of Veracruz, Mexico",,Q20202352,,
Dehesa de la Cepeda,Dehesa Mayor,Q5801451,0,0,2,"human settlement in Cuéllar, Segovia Province, Castile and León, Spain",,Q3055118,,
Dehesa de la Cepeda,Dehesa,Q111308835,0,0,2,repository http://dehesa.unex.es/xmlui,,Q1235234,,
Dehesa de la Cepeda,Dehesa,Q115502716,0,0,2,"triangulation station in Valle de la Serena, Spain",,Q131862,,
Dehesa de la Cepeda,Dehesas de Guadix,Q24011382,0,0,2,"capital of Dehesas de Guadix Municipality, Spain",,Q486972|Q121289819|Q3055118,,
Dehesa de la Cepeda,Dehesa de Montejo,Q24012201,0,0,2,"capital of Dehesa de Montejo Municipality, Spain",,Q121289819,,
Dehesa de la Cepeda,La Cepeda,Q1074101,0,0,2,"historical region of northwestern Spain, in the province of Leon",,,,La Cepeda
Dehesa de la Cepeda,Lacépède,Q738315,0,0,2,"commune in Lot-et-Garonne, France",,Q484170,,"Lacépède, Lot-et-Garonne"
Dehesa de la Cepeda,Carolina Casanova de Cepeda,Q16029473,0,0,2,Spanish singer (1847-1910),Carolina de cepeda,Q5,,Carolina Casanova de Cepeda
Aishalton,Aishalton,Q4699163,1,0,1,town controlled by Guyana and claimed by Venezuela,,Q486972|Q15239622,,Aishalton
Aishalton,Aishalton Airport,Q11824190,1,0,1,"airport serving Aishalton, Guyana",SYAH|AHL,Q62447,,Aishalton Airport
Guerguerat,Guerguerat,Q3118919,2,0,1,a small village in the far south west of Western Sahara,,Q486972|Q15239622,,Guerguerat
Guerguerat,Guerguerat,Q23937441,2,0,1,,,Q54050,,
Guerguerat,Western Saharan clashes (2020–present),Q101559356,2,0,1,armed conflict between Morocco and self-proclaimed Sahrawi Arab Democratic Republic and Polisario Front,Moroccan military intervention in Guerguerat|Guerguerat crisis,Q350604,,Western Saharan clashes (2020–present)
Agounit,Agounit,Q2260996,3,0,1,"town in the Río de Oro, Western Sahara",Aguanit|Agüenit|Agwanit|Agwenit|Agueinit|Aghoueinit|Aghounit,Q486972|Q15239622,,Agounit
Agounit,Agounit Tirknit,Q27509943,3,0,1,mountain in Morocco,,Q8502,,
Brazilian Island,Brazilian Island,Q2093778,4,0,1,island in the Brazil-Uruguay border,Isla Brasilera|Isla Brasileña,Q162602|Q23442|Q15239622,,Brazilian Island
