data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Steinfort,Steinfort,Q985478,0,0,1,"commune in the canton of Capellen, Luxembourg",Commune of Steinfort,Q2919801,,Steinfort
Steinfort,Steinfort,Q140605196,0,0,1,cadastral commune of Luxembourg,,Q140754208,,
Steinfort,Steinfort,Q3917008,0,0,1,human settlement in Luxembourg,Stengefort,Q486972|Q15303838,,
Steinfort,Steinfort,Q36855775,0,0,1,family name,,Q101352,,
Steinfort,Steinforth,Q130562558,0,0,1,"street in Korschenbroich, North Rhine-Westphalia, Germany",,Q79007,,
Steinfort,Steinfortsee,Q2340659,0,0,1,lake in Germany,,Q23397,,Steinfortsee
Steinfort,Steinforth-Rubbelrath,Q2340651,0,0,1,human settlement in Germany,,Q253019,,
Steinfort,Steinförthsbach,Q61991709,0,0,1,"protected landscape in Lower Saxony, Germany",,Q21503788|Q473972,,
Steinfort,Steinfort,Q60852877,0,0,1,railway station in Luxembourg,,Q55488,,
Steinfort,Steinforter Stauweier,Q56241627,0,0,1,lake in Luxembourg,,Q23397,,
Habscht,Habscht,Q958682,0,2,1,"commune in the canton of Capellen, Luxembourg",Commune of Habscht,Q2919801,,Habscht
Habscht,Hobscheid,Q13102943,0,2,1,human settlement in Luxembourg,,Q2919801|Q3257686,,Hobscheid
Habscht,Hobscheid,Q140599981,0,2,1,cadastral commune of Luxembourg,,Q140754208,,
Habscht,Habschter Tunnel,Q16763661,0,2,1,,,Q1311958,,
Habscht,Steinfort,Q985478,0,2,2,"commune in the canton of Capellen, Luxembourg",Commune of Steinfort,Q2919801,,Steinfort
Habscht,Steinfort,Q140605196,0,2,2,cadastral commune of Luxembourg,,Q140754208,,
Habscht,Steinfort,Q3917008,0,2,2,human settlement in Luxembourg,Stengefort,Q486972|Q15303838,,
Habscht,Steinfort,Q36855775,0,2,2,family name,,Q101352,,
Habscht,Steinforth,Q130562558,0,2,2,"street in Korschenbroich, North Rhine-Westphalia, Germany",,Q79007,,
Habscht,Steinfortsee,Q2340659,0,2,2,lake in Germany,,Q23397,,Steinfortsee
Habscht,Steinforth-Rubbelrath,Q2340651,0,2,2,human settlement in Germany,,Q253019,,
Habscht,Steinförthsbach,Q61991709,0,2,2,"protected landscape in Lower Saxony, Germany",,Q21503788|Q473972,,
Habscht,Steinfort,Q60852877,0,2,2,railway station in Luxembourg,,Q55488,,
Habscht,Steinforter Stauweier,Q56241627,0,2,2,lake in Luxembourg,,Q23397,,
Habscht,Luxembourg,Q32,0,2,2,country in Western Europe,Grand Duchy of Luxembourg,Q3624078|Q179164|Q165116|Q123480|Q6256|Q113136497,,Luxembourg
Habscht,Luxembourg,Q1842,0,2,2,capital and largest city of Luxembourg,Luxembourg City|City of Luxembourg|Luxemburg,Q2919801|Q515|Q1549591|Q51929311|Q5119,,Luxembourg City
Habscht,Luxembourg,Q83370535,0,2,2,family name,Luxembourg (family name)|Luxembourg (surname),Q101352,,
Habscht,Luxembourg railway station,Q801140,0,2,2,railway station,,Q55488,,Luxembourg railway station
Habscht,province of Luxembourg,Q1126,0,2,2,"province in Wallonia, Belgium","Luxembourg, Belgium|Luxembourg Province|Luxemburg|Luxemburg, Belgium|Luxemburg Province|Luxembourg (Belgium)|BE-WLX|Luxembourg",Q83116,,Luxembourg (Belgium)
Habscht,Luxembourgish,Q9051,0,2,2,Germanic language or language variety spoken in Luxembourg,Luxembourgish language|Lëtzebuergesch|Luxembourg language|Luxemburgish|Luxemburgish language,Q34770|Q1288568,Q98843053,Luxembourgish
Habscht,Luxembourgish Wikipedia,Q950058,0,2,2,Luxembourgish-language edition of Wikipedia,luxwiki|lbwiki|lbwp|lbwikipedia|lb.wikipedia.org,Q10876391,,
Habscht,Luxembourg,Q140604829,0,2,2,cadastral commune of Luxembourg,,Q140754208,,
