data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Oued el Kahla,Oued el Kahla,Q23809486,0,0,1,,,Q8514,,
Oued el Kahla,Oued el Kahla,Q23830104,0,0,1,,,Q39816,,
Oued el Kahla,Oued el Kahla,Q29426714,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Oued el Kahla,Adrar Province,Q188166,0,0,2,province of Algeria,,Q240601,,Adrar Province
Oued el Kahla,wadi,Q187971,0,0,2,"river valley, especially a dry (ephemeral) riverbed that contains water only during times of heavy rain",jawra|wady,,Q4022|Q39816|Q16465938,Wadi
Oued el Kahla,El Oued,Q1642636,0,0,2,"city and capital of El Oued Province, Algeria","Oued Souf|El Oued, Algeria",Q515|Q2989398|Q43742,,El Oued
Oued el Kahla,Oued Laou,Q3099183,0,0,2,city in Morocco,,Q515|Q3327862,,Oued Laou
Oued el Kahla,Ouedraogo,Q37281042,0,0,2,family name,,Q101352,,Ouedraogo (surname)
Oued el Kahla,Oued Malha,Q7110282,0,0,2,rural commune in Morocco,,Q17318027,,Oued Malha
Oued el Kahla,Ouedia,Q14651379,0,0,2,genus of arachnids,,Q310890,,Ouedia
Oued el Kahla,Oued Rheraya,Q86685807,0,0,2,,,Q187971,,
Oued el Kahla,Oued Tafassasset,Q23788420,0,0,2,watercourse in Algeria,,Q187971,,
Oued el Kahla,Ouédec,Q104592833,0,0,2,family name,Ouédec (family name)|Ouédec (surname),Q101352,,
Oued el Kahla,Oued Ed-Dahab Province,Q2410368,0,0,2,province of Morocco,Oued Ed Dahab Province,Q15629582,,Oued Ed-Dahab Province
Oued el Kahla,Kahla,Q550808,0,0,2,"municipality of Saale-Holzland-Kreis, Thuringia, Germany",,Q42744322,,Kahla
Oued el Kahla,Kahla railway stop,Q26462131,0,0,2,railway stop in Germany,Bahnhof Kahla|Kahla (Thuringia) station|Kahla (Thür) railway stop,Q27996460,,
Oued el Kahla,Kahla,Q32063586,0,0,2,human settlement in Germany,,Q486972,,
Oued el Kahla,Kahla,Q36898044,0,0,2,family name,,Q101352,,
Oued el Kahla,Kahlau,Q101542074,0,0,2,family name,,Q101352,,
Oued el Kahla,Kahla,Q5956999,0,0,2,village in Iran,,Q532,,"Kahla, Iran"
Oued el Kahla,Kahlaoui,Q18086452,0,0,2,family name,,Q101352,,
Oued el Kahla,Kahlal,Q63760334,0,0,2,family name,,Q101352,,
Oued el Kahla,Kahalabad,Q5843751,0,0,2,village in Iran,Kahalābād|Kahlā,Q532,,Kahalabad
