data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr","Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Q20569787,0,0,1,book by Siân Lewis,,Q47461344,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr","Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Q67949554,0,0,1,book; published in 2010,,Q3331189,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Sam,Q12800694,0,0,2,unisex given name,Sam (first name)|Sam (given name),Q3409032|Q1130279,,Sam (given name)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",scheduled monument,Q219538,0,0,2,"nationally important archaeological site or historic building in the United Kingdom, given protection against unauthorised change",SAM|scheduled ancient monument,Q30634609,Q96211371,Scheduled monument
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Samoa,Q683,0,0,2,sovereign state made up of six islands in the Pacific Ocean,Western Samoa|Independent State of Samoa|ws|SAM,Q3624078|Q112099|Q6256,,Samoa
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Samuel,Q629347,0,0,2,male given name,,Q12308941,,Samuel (name)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Sam,Q20812281,0,0,2,family name,岑|森|沈,Q101352,,Sam (surname)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Shen,Q911493,0,0,2,Chinese family name (沈),沈|Shum|Sung|Sum|Sam|Sim|Shim|Sheem|Tham|Shěn,Q1093580|Q101352,,Shěn
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Seattle Art Museum,Q1816301,0,0,2,"art museum in Seattle, Washington",SAM|SMoA|Seattle Museum,Q207694|Q3196771|Q163740,,Seattle Art Museum
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Samwise Gamgee,Q219473,0,0,2,Hobbit from the Tolkien universe,Sam|Sam Gamgee|Samwise,Q74359|Q3658341|Q15773347,,Samwise Gamgee
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Samian Research,Q90412636,0,0,2,Samian Research Database,,Q3133368|Q170584|Q4501235,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Samantha,Q6774,0,0,2,female given name,Samantha (given name)|Samantha (first name),Q11879590,,Samantha
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q19100,0,0,2,military rank (OF-2),Cpt.|Capt.|CPT|captain,Q56019,Q1156796|Q189290,Captain (armed forces)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q715772,0,0,2,team captain of an association football team,skipper|association football captain,Q4611891,Q584540|Q937857,Captain (association football)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q5036514,0,0,2,senior officer rank of the Royal Navy,captain RN|Capt|Capt.|advanced to post-rank,Q56019,Q10669499|Q163500,Captain (Royal Navy)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q163500,0,0,2,naval officer rank,Capt.|Capt,Q4226220,Q10669499,Captain (naval)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q5036510,0,0,2,military rank of the British Army and Royal Marines,Capt|captain (British Army)|captain (Royal Marines),Q56019,Q19100,Captain (British Army and Royal Marines)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Capten Lambros,Q77698383,0,0,2,"theatrical character in the play ""Lord Byron""",,Q3375722|Q15632617,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",captain,Q584540,0,0,2,"leading member of a sports team, often only a honorary title",team captain|skipper|team skipper,Q480319|Q1781513,Q2066131,Captain (sports)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Capten Cymru,Q20562357,0,0,2,book by Androw Bennett,,Q7725634,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Capten Harriet : comedi mewn tair act,Q76472057,0,0,2,edition; published in 1957,,Q3331189,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Capten Harriet : comedi mewn tair act,Q77198106,0,0,2,book (work),,Q47461344,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",shark,Q7372,0,0,2,clade of predatory cartilaginous fish (Chondrichthyes),sharks|Selachian|Selachians,Q16521,Q152|Q600396,Shark
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr","Siarczyński, Franz (BLKÖ)",Q89827893,0,0,2,"entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 34, p. 199)",,Q19389637,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarcza Łąka,Q2654679,0,0,2,"village in Masovian, Poland",,Q3558970,,Siarcza Łąka
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarczana Street in Warsaw,Q107820043,0,0,2,street,,Q79007,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarčystaja,Q55191019,0,0,2,river in Belarus,Siarnistaja|Syarchystaya|Syarnistaya,Q4022,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarczyński,Q111695734,0,0,2,family name,,Q101352,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarczyce,Q7506837,0,0,2,"village in Kuyavian-Pomeranian, Poland",,Q3558970,,Siarczyce
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Siarcod,Q77268629,0,0,2,edition; published in 2013,,Q3331189,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",charcoal,Q1424515,0,0,2,form of dry art medium,artists' charcoal|charcoal (material)|charcoal painting|art charcoals,,Q177463|Q21161963,Charcoal (art)
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",magnesium sulfate,Q288266,0,0,2,chemical compound,magnesium sulfate anhydrous|magnesium sulphate|epsom salt|english salt,Q113145171,Q11173,Magnesium sulfate
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odesa,Q1874,0,0,2,"city in southwestern Ukraine, administrative center of Odesa Oblast and Odesa Raion","Odesa, Ukraine|Odessa",Q2264924|Q1549591|Q12131624|Q200250,,Odesa
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",drug overdose,Q3505252,0,0,2,ingestion or application of a drug or other substance in quantities greater than recommended amount,overdose|OD,,Q114953|Q4134457|Q3505170,Drug overdose
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odisha,Q22048,0,0,2,state in Eastern India,Orissa|Kalinga|Utkal|IN-OD|OD,Q12443800,,Odisha
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odonata,Q25375,0,0,2,order of insects,dragonflies and damselflies,Q16521,,Odonata
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",open data,Q309901,0,0,2,data that is openly accessible and usable to others,od|open source data,Q595523|Q151885|Q627436|Q268592,Q494756,Open data
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odense,Q25331,0,0,2,"main city of the island of Funen, Denmark",,Q1549591,,Odense
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",ODIS,Q3956431,0,0,2,Belgian foundation,"Onderzoekssteunpunt en databank intermediaire structuren in Vlaanderen, 19e-20e eeuw|odis.be",Q7094076|Q43229,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",poem,Q5185279,0,0,2,"form of literature, work of poetry, often composed of verses",poems|poetry|ode|lay|song|verse|lyric|hymn|metre|ballad|psalm|epic|metrical work|work in metre|work in meter|chant,Q4263830|Q89522629,Q7725634|Q482,Poem
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odoardo Beccari,Q361037,0,0,2,Italian botanist and naturalist (1843-1920),Becc.|Dr. Odoardo Beccari|O. Beccari,Q5,,Odoardo Beccari
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Odocoileus virginianus,Q215887,0,0,2,species of mammal,Dama virginiana|Odocoileus spelaeus|white tail deer|white tail|white-tail|whitetail|white-tail deer|whitetail deer|Virginia deer|white-tailed deer,Q16521,,White-tailed deer
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Anturan,Q13547058,0,0,2,"village in Buleleng Regency, Bali, Indonesia",Desa Anturan,Q26211545,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Anturina,Q22917458,0,0,2,genus of amoeboid protists,,Q16521,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Antura,Q98057942,0,0,2,,,Q16521,,
"Sam, y Capten a'r siarc od : antur Diwrnod y Llyfr",Antur,Q117080768,0,0,2,general cargo vessel built in 1994,IMO 9084140,Q105999,,
