data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Portrait of Stepan Shahumyan,Portrait of Stepan Shahumyan,Q32824147,0,0,1,painting by Gevorg Grigoryan (Giotto),,Q3305213,,
Portrait of Stepan Shahumyan,Portrait of Stepan Shahumyan,Q56543491,0,0,1,From the works of Hakob Kojoyan (Machine Graphics),,Q1027879,,
Portrait of Stepan Shahumyan,Stepan Shahumyan,Q466144,0,0,2,Armenian Bolshevik revolutionary (1878–1918),Stepan Shaumian|Stepan Georgevich Shaumian,Q5,,Stepan Shaumian
Portrait of Stepan Shahumyan,school #1 named after Stepan Shahumyan,Q21703511,0,0,2,school in Yerevan,school named after Stepan Shahumyan|school #1 named after Shahumyan|school Stepan Shahumyan|school #1 named after St. Shahumyan|school #1 named after S. Shahumyan|Stepan Shahumyan school|Shahumyan school|school #1,Q3914,,
Portrait of Stepan Shahumyan,Stepan Shahumyan's bust,Q20509197,0,0,2,cultural heritage monument of Armenia,,Q2065736|Q241045,,
Portrait of Stepan Shahumyan,Stepan Shahumyan House-Museum,Q20516131,0,0,2,cultural heritage monument of Armenia,,Q10624527|Q2065736,,
Portrait of Stepan Shahumyan,Stepan Shahumyan monument in Malatia-Sebastia,Q20509205,0,0,2,cultural heritage monument of Armenia,,Q2065736|Q4989906,,
Portrait of Stepan Shahumyan,Stepan Shahumyan bust,Q21212899,0,0,2,cultural heritage monument of Armenia,,Q860861,,
Portrait of Stepan Shahumyan,Stepan Shahumyan Monument,Q16400128,0,0,2,cultural heritage monument of Armenia,,Q4989906|Q179700,,
Portrait of Stepan Shahumyan,Stepan Shahumyan's bust,Q20509218,0,0,2,"monument and cultural property in Sisian, Armenia, from 1970",,Q4989906|Q2065736,,
Portrait of Stepan Shahumyan,Stepan Shahumyan's Monument,Q42883087,0,0,2,cultural heritage monument of Armenia,,Q4989906|Q2065736,,
Portrait of Stepan Shahumyan,Shahumyan Park in Gyumri,Q43063710,0,0,2,cultural heritage monument of Armenia,Stepan Shahumyan park,Q2065736|Q54114,,
Cavalcade,Cavalcade,Q3663866,1,0,1,album by The Flatliners,,Q482994,,Cavalcade (The Flatliners album)
Cavalcade,Cavalcade,Q106609841,1,0,1,2021 studio album by Black Midi,,Q482994,,Cavalcade (Black Midi album)
Cavalcade,Cavalcade,Q753107,1,0,1,1933 film by Frank Lloyd,,Q11424,,Cavalcade (1933 film)
Cavalcade,cavalcade,Q1737226,1,0,1,"procession on horseback, or a mass trail ride by a company of riders",,,Q898830,Cavalcade
Cavalcade,Cavalcade,Q2943202,1,0,1,2005 film by Steve Suissa,,Q11424,,
Cavalcade,Cavalcade,Q16974246,1,0,1,"light rail station on the Red Line of METRORail in Houston, Texas, United States",Cavalcade station,Q2175765,,Cavalcade station
Cavalcade,Cavalcade,Q5054742,1,0,1,American-bred Thoroughbred racehorse,,Q726,,Cavalcade (horse)
Cavalcade,Cavalcade,Q52261827,1,0,1,episode of The 20th Century Fox Hour (S1 E1),,Q21191270,,
Cavalcade,cavalcade,Q13103474,1,0,1,"type of carnaval parade, procession",,,Q1734134,
Cavalcade,Cavalcade,Q5054740,1,0,1,1960 film,,Q11424,,Cavalcade (1960 film)
Cavalcade,Parade,Q3895002,1,0,2,1984 studio album by Spandau Ballet,,Q482994,,Parade (Spandau Ballet album)
Cavalcade,Parade,Q95572553,1,0,2,vocal track by Nouvelle Vague; 2009 studio recording; cover version,,Q55850593,,
Cavalcade,Parade,Q95612711,1,0,2,vocal track by Magazine; 1978 studio recording,,Q55850593,,
Cavalcade,parade,Q657449,1,0,2,"celebratory procession of people, at least partially on foot",march|marchpast,Q108586636,Q1656682|Q3533467|Q898830,Parade
Cavalcade,Paradelphomyia,Q7134110,1,0,2,genus of insects,,Q16521,,Paradelphomyia
Cavalcade,Parade,Q7134092,1,0,2,musical with a book by Alfred Uhry and music and lyrics by Jason Robert Brown,,Q58483083,,Parade (musical)
Cavalcade,Paradexamine,Q18092310,1,0,2,genus of amphipods,,Q16521,,
Cavalcade,dress uniform,Q317931,1,0,2,"most formal military uniform, used for parades and other formal occasions",ceremonial uniform|ceremonials|full dress|full dress uniform|parade dress|parade dress uniform,,Q1196123|Q5064153,Full dress uniform
Cavalcade,Paradelia,Q14670278,1,0,2,genus of insects,,Q16521,,
Cavalcade,Parade,Q2051330,1,0,2,"ballet on music by Satie, scenario by Cocteau, set designs & costumes by Picasso","Satie, Erik, 1866-1925. Parada|Satie, Erik, 1866-1925. Parad",Q15079786,,Parade (ballet)
Cavalcade,procession,Q898830,1,0,2,group of people walking publicly with symbolic significance along a route,walking procession|processional parade|organized procession,Q108586636,Q1656682,
Cavalcade,processional cross,Q255956,1,0,2,cross or crucifix held during a Christian procession,,,Q21818579|Q21550515,Processional cross
Cavalcade,Procession,Q5491735,1,0,2,Doom Metal band,,Q215380,,
Cavalcade,Procession,Q668482,1,0,2,1983 album by Weather Report,,Q482994,,Procession (album)
Cavalcade,Procession,Q2409915,1,0,2,"song written and composed by Gillian Gilbert, Peter Hook, Stephen Morris and Bernard Sumner, originally recorded by New Order and released in 1981",,Q105543609,,Procession (New Order song)
Cavalcade,processional pole,Q15059831,1,0,2,,,,Q21818579|Q1347864,
Cavalcade,processional banner,Q2882852,1,0,2,banner used in religious processions,,,Q806880|Q21818579|Q19912730,
Cavalcade,Procession,Q6087260,1,0,2,Queen song,,Q105543609,,
Cavalcade,Procession,Q3922364,1,0,2,,,Q215380,,
Cavalcade,Procession,Q115919405,1,0,2,"video installation by Aino Aksenja, 2016",,Q20742776,,
