data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Despicable Me,Despicable Me,Q5264979,0,0,1,media franchise,,Q196600,,Despicable Me
Despicable Me,Despicable Me,Q4447,0,0,1,2010 film directed by Pierre Coffin and Chris Renaud,,Q202866,,Despicable Me (film)
Despicable Me,Despicable Me,Q98114628,0,0,1,film series,,Q56884562,,
Despicable Me,Despicable Me: Minion Rush,Q30091348,0,0,1,2013 video game,,Q7889,,Despicable Me: Minion Rush
Despicable Me,Despicable Me: The Game,Q63195599,0,0,1,2010 video game,,Q7889,,Despicable Me: The Game
Despicable Me,Despicable Me 2,Q637212,0,0,1,2013 3D computer-animated film by Pierre Coffin and Chris Renaud,,Q202866,,Despicable Me 2
Despicable Me,Despicable Me 3,Q22997984,0,0,1,2017 American 3D computer-animated comedy film directed by Pierre Coffin,Despicable Me Three|Despicable M3,Q202866,,Despicable Me 3
Despicable Me,Despicable Me,Q122811052,0,0,1,video game series,,Q7058673,,
Despicable Me,Despicable Me: Minion Mayhem,Q125168044,0,0,1,2010 video game for Nintendo DS,,Q7889,,
Despicable Me,Despicable Me Minion Mayhem,Q15535185,0,0,1,"2012 simulator ride attraction at Universal Studios theme parks based on the ""Despicable Me"" films",Despicable Me: Minion Mayhem,Q1144661,,Despicable Me Minion Mayhem
Despicable Me,Minions,Q13220122,0,0,2,2008 video game,,Q7889,,Minions (video game)
Despicable Me,henchperson,Q247297,0,0,2,"stock character, expendable adherents of villain",partner in crime|minion|henchman|henchwoman|henchboy|henchgirl|henchpeople|henchpersons|henchmen|minions|partners in crime|henchwomen|henchboys|henchgirls,Q109682310|Q636497,Q245204|Q17305127|Q23835475,Henchman
Despicable Me,Minions,Q13619743,0,0,2,2015 animated film by Pierre Coffin and Kyle Balda,,Q11424|Q202866,,Minions (film)
Despicable Me,Minions,Q15736052,0,0,2,fictional characters,,Q21192438|Q14514600,Q15711870|Q27921916,Minions (Despicable Me)
Despicable Me,Minions,Q11781466,0,0,2,village in Cornwall,"Minions, Cornwall",Q532,,"Minions, Cornwall"
Despicable Me,Minions Paradise,Q19795250,0,0,2,2015 mobile game,,Q7889,,Minions Paradise
Despicable Me,Minions of Mirth,Q1783084,0,0,2,2005 video game,,Q7889,,Minions of Mirth
Despicable Me,Minions: The Rise of Gru,Q60997779,0,0,2,2022 animated film directed by Kyle Balda,Minions 2,Q11424|Q202866,,Minions: The Rise of Gru
Despicable Me,Minions,Q22937083,0,0,2,Belgian comic book series,,Q14406742,,
Despicable Me,Minions,Q113505041,0,0,2,2015 soundtrack album by Heitor Pereira,,Q482994,,Minions (soundtrack)
Despicable Me,Illumination,Q1189512,0,0,2,American animation film production company,,Q1762059,,Illumination (company)
Satellite Award for Best Animated or Mixed Media Feature,Satellite Award for Best Animated or Mixed Media Feature,Q2620855,0,2,1,annual award,,Q38033430|Q40024,Q97597386,Satellite Award for Best Animated or Mixed Media Feature
Persepolis,Persepolis F.C.,Q242260,1,0,1,Iranian professional football club,Persepolis FC|Persepolis Football Club|Persepolis|PersepolisFC|FC Persepolis,Q476028,,Persepolis F.C.
Persepolis,Persepolis,Q23864459,1,0,1,article in Otto's encyclopedia,,Q13433827,,
Persepolis,Persepolis,Q129072,1,0,1,"ancient city in Marvdasht County, Iranian national heritage site and World heritage site",Takht-e Jamshid|Takht-e-Jamshid|Chilminar|Chihil Minar|Chil Minar|Chehel Menar|Chelmenar|Chel Menar|Mint of Persepolis,Q15661340|Q839954|Q2065736|Q2319498,,Persepolis
Persepolis,Persepolis,Q477965,1,0,1,2007 animated film by Marjane Satrapi and Vincent Paronnaud,,Q202866,,Persepolis (film)
Persepolis,Persepolis,Q756604,1,0,1,2000–2003 French-language graphic novel series by Marjane Satrapi,,Q14406742|Q725377,,Persepolis (comics)
Persepolis,Persepolis,Q1540948,1,0,1,mythological figure,Perseptolis,Q22988604,,Persepolis (mythology)
Persepolis,Persepolis,Q5953805,1,0,1,Iranian naval vessel,,Q104843,,Iranian vessel Persepolis
Persepolis,Persepolis,Q28810635,1,0,1,"artwork by Charles Heaphy (Auckland War Memorial Museum, PD-1952-2-1-28 )",,Q93184,,
Persepolis,Rosa 'Persepolis',Q83674529,1,0,1,rose cultivar,Persepolis,Q26817508,,
Persepolis,Persepolis,Q84255591,1,0,1,ship built in 2018,,Q11446,,
Persepolis,The Color of Paradise,Q80608,1,0,2,1999 film by Majid Majidi,Color of Paradise,Q11424,,The Color of Paradise
European Film Award for Best Film,European Film Award for Best Film,Q777921,1,2,1,award,,Q223740|Q96474687,,European Film Award for Best Film
European Film Award for Best Film,European Film Awards,Q223740,1,2,2,annual film award presented by the European Film Academy in several categories (1988–),europeanfilmawards.eu|Felix Awards,Q23719064|Q107655869|Q4220917,Q4220917,European Film Awards
European Film Award for Best Film,europeanfilmawards.eu,Q101244563,1,2,2,website of the European Film Awards,European Film Awards website|EFA website,Q35127,,
European Film Award for Best Film,European Film Award – People's Choice Award for Best European Film,Q628637,1,2,2,award,European Film Academy People's Choice Award for Best Film|European Film Award - People's Choice Award for Best European Film,Q223740|Q1914332|Q38033430,,European Film Academy Lux Award
European Film Award for Best Film,European Film Award for Best Short Film,Q1377756,1,2,2,film award category,,Q96474696|Q38033430,,European Film Award for Best Short Film
European Film Award for Best Film,European Film Award for European Discovery of the Year,Q1377763,1,2,2,annual European film award,European Film Award for Best Young Film|Fassbinder Award|Prix FIPRESCI|European Discovery|Discovery of the Year,Q96474686|Q223740|Q38033430,,European Film Award for European Discovery of the Year
European Film Award for Best Film,European Film Award for Best Documentary,Q1377752,1,2,2,award,,Q96474688|Q223740,Q96474688,European Film Award for Best Documentary
European Film Award for Best Film,32nd European Film Awards,Q60034785,1,2,2,European Film Awards,European Film Awards 2019,Q4504495,,32nd European Film Awards
