data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Retreat,The Retreat,Q2146269,0,0,1,"former mental institution in York, North Yorkshire, England, UK",The Retreat York|The Retreat Hospital,Q210999|Q708676|Q39364723,,The Retreat
The Retreat,The Retreat,Q110993960,0,0,1,2021 film directed by Pat Mills,,Q11424,,The Retreat (2021 film)
The Retreat,The Retreat,Q26397990,0,0,1,"house in Exeter, Devon, England, UK",,Q3947,,
The Retreat,The Retreat,Q17570349,0,0,1,"architectural structure in Scottish Borders, Scotland, UK","The Retreat, Sundial",Q811979,,
The Retreat,The Retreat,Q111856149,0,0,1,episode of Grace and Frankie,,Q21191270,,
The Retreat,The Retreat,Q114303172,0,0,1,episode of She-Hulk: Attorney at Law,,Q21191270,,The Retreat (She-Hulk: Attorney at Law)
The Retreat,Return to the Fold,Q52259562,0,0,1,painting by Carlo Pittara,the Retreat,Q3305213,,Return to the Sheepfold
The Retreat,The Retreat,Q28541372,0,0,1,painting by Alphonse Legros,,Q3305213,,
The Retreat,The Retreat,Q29152102,0,0,1,"tapestry and national heritage monument (PM29001567) in the manoir de Keriolet à Beuzec-Conq, Concarneau, France",,Q184296|Q44740228,,
The Retreat,Silent Scream,Q7514664,0,0,1,2005 film,The Retreat,Q11424,,Silent Scream (2005 film)
The Retreat,The Retreat Hotel & Convention Centre,Q111402366,0,0,2,"hotel in Mumbai, India",,Q27686,,
The Retreat,The retreat restaurant and lounge,Q136918153,0,0,2,"restaurant in Akwa Ibom, Nigeria",,Q11707,,
The Harbour,The Harbour,Q27955658,1,0,1,painting by Sir William Gillies,,Q3305213,,
The Harbour,The Harbour,Q55635276,1,0,1,"hospital in Blackpool, England",The Harbour (hospital),Q210999,,The Harbour (hospital)
The Harbour,the harbour,Q112241560,1,0,1,painting by P. Signac 1906,,Q3305213,,
The Harbour,The harbour,Q50666147,1,0,1,painting by James Gleeson,,Q3305213,,
The Harbour,The Harbour,Q17861406,1,0,1,"pier in Donaghadee, County Down, Northern Ireland",,Q863454,,
The Harbour,The harbour,Q28475015,1,0,1,painting by Ray Crooke,,Q3305213,,
The Harbour,North Berwick Harbour,Q7054177,1,0,1,"harbor in East Lothian, Scotland, UK","North Berwick, Harbour|The Harbour",Q283202,,North Berwick Harbour
The Harbour,The Harbour,Q28134303,1,0,1,painting by Samuel Rosenberg,,Q3305213,,
The Harbour,The Harbour,Q80855446,1,0,1,"pub in Kinmel Bay, Wales","Harbour|The Harbour, Rhyl",Q212198,,
The Harbour,The Harbour,Q136483555,1,0,1,"pub in Wirral, Merseyside, England, UK",The Commercial,Q212198,,
The Harbour,harbor,Q283202,1,0,2,"sheltered body of water where ships, boats, and barges can be docked",wharves|harbour|wharf,,Q39594,Harbor
The Harbour,Harbour,Q36908063,1,0,2,family name,,Q101352,,
The Harbour,Sydney,Q3130,1,0,2,"capital city of New South Wales, Australia","Sydney, Australia|Sydney, New South Wales, Australia|Sydney, New South Wales|Sydney, NSW, Australia|Sydney, NSW|Emerald City|Harbour City|Port Jackson|Greater Sydney|Sydney, N.S.W.|Gadi|Eora|Sydney, N. S. W.|Gadigal|Warrane",Q515|Q200250|Q1549591|Q51929311|Q11271835|Q208511|Q1066984,,Sydney
The Harbour,HarbourFront station,Q3272355,1,0,2,MRT station in Singapore,NE1/CC29|HarbourFront MRT station,Q928830|Q22808403|Q20202072,,HarbourFront MRT station
The Harbour,Phoca vitulina,Q26913,1,0,2,species of mammal,common seal|harbor seal|Harbour Seal|Harbor Seal|harbour seal|Common Seal,Q16521,,Harbor seal
The Harbour,Harbour Breton,Q3127311,1,0,2,"town in Newfoundland and Labrador, Canada",,Q44529188,,Harbour Breton
The Harbour,Phocoena phocoena,Q27027,1,0,2,species of marine mammal,Harbour porpoise|Harbor porpoise,Q16521,,Harbour porpoise
The Harbour,port city,Q2264924,1,0,2,city or town which has a port,harbor city|harbour city|port town|harbor town|harbour town,,Q132967635|Q515,
The Harbour,Harbour,Q4353366,1,0,2,2008 novel by John Ajvide Lindqvist,,Q7725634,,Harbour (novel)
