data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Divar,Divar,Q98873294,0,0,1,family name,,Q101352,,
Divar,wall,Q42948,0,0,1,"vertical structure, usually solid, that defines and sometimes protects an area",walls,,Q811979|Q1058733|Q66098993|Q27627826,Wall
Divar,Divaricella,Q3799897,0,0,1,genus of molluscs,,Q16521,,Divaricella
Divar,Divarilima,Q5283835,0,0,1,genus of molluscs,,Q16521,,Divarilima
Divar,Divariscintilla,Q3802277,0,0,1,genus of molluscs,,Q16521,,
Divar,Divar,Q5283830,0,0,1,"island in Goa, India",,Q162602,,Divar
Divar,Divar,Q56359770,0,0,1,Iranian Clasified ads platform,,Q35127|Q4830453,,Divar (website)
Divar,Divarilima albicoma,Q5283833,0,0,1,species of mollusc,,Q16521,,Divarilima albicoma
Divar,Divaricobothrium,Q61493560,0,0,1,genus of worms,,Q16521,,
Divar,Divariscintilla toyohiwakensis,Q13592781,0,0,1,species of mollusc,,Q16521,,
Divar,Divar Island,Q31860163,0,0,2,island in India,,Q23442,,
Mandovi River,Mandovi River,Q2587169,0,1,1,river in India,,Q4022,,Mandovi River
Mandovi River,Divar,Q98873294,0,1,2,family name,,Q101352,,
Mandovi River,wall,Q42948,0,1,2,"vertical structure, usually solid, that defines and sometimes protects an area",walls,,Q811979|Q1058733|Q66098993|Q27627826,Wall
Mandovi River,Divaricella,Q3799897,0,1,2,genus of molluscs,,Q16521,,Divaricella
Mandovi River,Divarilima,Q5283835,0,1,2,genus of molluscs,,Q16521,,Divarilima
Mandovi River,Divariscintilla,Q3802277,0,1,2,genus of molluscs,,Q16521,,
Mandovi River,Divar,Q5283830,0,1,2,"island in Goa, India",,Q162602,,Divar
Mandovi River,Divar,Q56359770,0,1,2,Iranian Clasified ads platform,,Q35127|Q4830453,,Divar (website)
Mandovi River,Divarilima albicoma,Q5283833,0,1,2,species of mollusc,,Q16521,,Divarilima albicoma
Mandovi River,Divaricobothrium,Q61493560,0,1,2,genus of worms,,Q16521,,
Mandovi River,Divariscintilla toyohiwakensis,Q13592781,0,1,2,species of mollusc,,Q16521,,
Bushes Island,Bushes Island,Q5001489,1,0,1,"duplicate of Q31520299. island in Summers County, West Virginia",,Q162602,,Bushes Island
Bushes Island,Bushes Island,Q31520299,1,0,1,"island in Summers County, West Virginia, United States of America",,Q23442,,
Bushes Island,Bushes Island,Q34689884,1,0,1,"island in Merrick County, Nebraska, United States",,Q23442,,
New River,New River,Q91530837,1,1,1,"river in Maricopa and Yavapai counties in Arizona, United States",Skunk Creek,Q4022,,
New River,New River,Q952823,1,1,1,"river in Virginia, West Virginia, and North Carolina in the United States",,Q4022,,New River (Kanawha River tributary)
New River,New River,Q430344,1,1,1,river in northern Belize,Rio Nuevo,Q4022,,New River (Belize)
New River,New River,Q1757496,1,1,1,"census-designated place in Maricopa County, Arizona, United States","New River, Arizona|New River, AZ",Q498162|Q17343829,,"New River, Arizona"
New River,New River,Q598479,1,1,1,river that flows from Mexico to the United States,Río Nuevo,Q4022,,New River (Mexico–United States)
New River,Nouvelle River,Q3433769,1,1,1,"watercourse in Nouvelle, Quebec, Canada",Rivière Nouvelle|New River,Q4022,,
New River,Ogden River,Q7079950,1,1,1,"river in Weber County, Utah, United States",New River,Q4022,,Ogden River
New River,New River,Q7011215,1,1,1,"census-designated place in Pulaski County, Virginia, United States","New River, Virginia|New River, VA",Q498162|Q17343829,,"New River, Virginia"
New River,New River,Q13652911,1,1,1,"river in South America on the border of Brazil, Suriname and Guyana",,Q4022,,New River (South America)
