data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
hypermobility syndrome,hypermobility syndrome,Q1641042,0,0,1,human disease: joints that stretch farther than normal,benign joint hypermobility|hypermobility syndrome (disorder)|Hypermobility,Q112193867,Q708176|Q29647501,Hypermobility (joints)
hypermobility syndrome,hypermobility syndrome,Q1110590,0,0,1,disease,Hypermobility syndrome,Q112193867,Q1641042,Hypermobility spectrum disorder
hypermobility syndrome,Hypermobility syndrome,Q77893953,0,0,1,scientific article published on 01 June 1999,,Q13442814,,
hypermobility syndrome,Hypermobility Syndrome,Q74474730,0,0,1,scientific article published on 01 April 1998,,Q13442814,,
hypermobility syndrome,Hypermobility Syndromes Association,Q140666357,0,0,1,"organization in Plymouth, England",HMSA,Q43229,,
hypermobility syndrome,Hypermobility syndrome,Q51035663,0,0,1,scientific article published in August 2014,,Q13442814,,
hypermobility syndrome,Hypermobility syndrome,Q83885302,0,0,1,scientific article published on 01 December 1967,,Q13442814,,
hypermobility syndrome,Hypermobility syndrome,Q43414944,0,0,1,scientific article published in December 1989,,Q13442814,,
hypermobility syndrome,Hypermobility syndrome,Q43119481,0,0,1,scientific article published on 5 December 2008,,Q13442814,,
hypermobility syndrome,Hypermobility syndrome increases the risk for low bone mass,Q81538422,0,0,1,scientific article published on 26 November 2005,,Q13442814,,
hypermobility syndrome,Ehlers-Danlos syndrome,Q1141499,0,0,2,group of genetic connective tissue disorders,Cutis hyperelastica|Ehlers-Danlos Syndrome|EDS|Ehlers-Danlos syndromes,Q42303753|Q112193867|Q112965645,Q1446169,Ehlers–Danlos syndrome
hypermobility syndrome,Collagen type III alpha 1 chain,Q5145885,0,0,2,mammalian protein found in Homo sapiens,"alpha-1 type III collagen|uniprot:P02461|collagen, fetal|collagen, type III, alpha 1|COL3A1|Ehlers-Danlos syndrome type IV, autosomal dominant|collagen alpha-1(III) chain|alpha1 (III) collagen",Q8054,,"Collagen, type III, alpha 1"
hypermobility syndrome,brittle cornea syndrome,Q3508598,0,0,2,Human disease,Kyphoscoliosis type|brittle cornea syndrome 2|type VIB Ehlers-Danlos syndrome|EDS VIB (formerly)|BCS1|Brittle Cornea Syndrome type 1|BRITTLE CORNEA SYNDROME 1|Ehlers-Danlos syndrome type 6B (formerly),Q929833|Q112193867,Q1141499|Q10526382|Q10267817,
hypermobility syndrome,Ehlers-Danlos syndrome progeroid type,Q18553484,0,0,2,Human disease,"EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 2|defective biosynthesis of proteodermatan sulfate|xylosylprotein 4-beta-galactosyltransferase deficiency|XGPT deficiency|Ehlers-Danlos syndrome, progeroid type|Galactosyltransferase 1 Deficiency|EDS, progeroid type|Galactosyltransferase I deficiency|B4GALT7-CDG|Proteodermatan Sulfate, Defective Biosynthesis of|EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 1|Pds, Defective Biosynthesis of|EDSP1|Dermatan Sulfate Proteoglycan|EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 1; EDSP1|PDS|Ehlers-Danlos syndrome spondylodysplastic type 2",Q929833|Q112193867,Q1141499|Q10267817,
