data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Ceredig,Ceredigion,Q217829,0,0,1,"principal area in mid-Wales, corresponding to the historic county of Cardiganshire",Cardiganshire|County of Ceredigion|Ceredigion County,Q15979307|Q28575,,Ceredigion
Ceredig,Ceredig,Q24027359,0,0,1,merchant ship,,Q848944|Q202539,,
Ceredig,Ceredig Ceredigion,Q2641763,0,0,1,Welsh king,Ceredig ap Cunedda,Q5,,Ceredig
Ceredig,Ceredig,Q77956749,0,0,1,illumination from History of the Kings (Peniarth ms 23C),,Q8362,,
Ceredig,Ceredigion,Q1077398,0,0,1,"Parliamentary constituency in the United Kingdom, 1997-2024",Cardiganshire|Cardigan,Q27971968,,Ceredigion (UK Parliament constituency)
Ceredig,Ceredigion County Council,Q5064127,0,0,1,"Local government of Ceredigion, Wales",Cyngor Sir Ceredigion,Q110416322,,Ceredigion County Council
Ceredig,Kingdom of Ceredigion,Q2578706,0,0,1,kingdom in Wales,Ceredigion,Q3024240|Q3624078,,Kingdom of Ceredigion
Ceredig,Cardiganshire,Q101170463,0,0,1,"Parliamentary constituency in the United Kingdom, 1801-1983",Cardigan|Ceredigion,Q27971968,,
Ceredig,Ceredigion,Q5064122,0,0,1,constituency of the Senedd,,Q44710774,,Ceredigion (Senedd constituency)
Ceredig,Ceredigion Social Services Department,Q108586675,0,0,1,organization,Ceredigion (Wales). Social Services Department|Ceredigion Adran Gwasanaethau Cymdeithasol|Ceredigion County Council. Social Services Department|Ceredigion Social Services Dept.,Q43229,,
Ceredig,Cardiganshire,Q60595404,0,0,2,Parliamentary constituency in the Parliament of England (to 1707),Ceredigion,Q27990982,,
Ceredig,Ceredigion,Q5064126,0,0,2,journal,Journal of the Cardiganshire Antiquarian Society,Q1002697|Q49850,,Ceredigion (journal)
Ceredig,Ceredigion,Q76547161,0,0,2,book (work),,Q47461344,,
