data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
La Crncorde,,,0,0,0,,,,,
St John' Church,"Church of Saint John the Evangelist, Kilkenny",Q5117043,1,0,2,"church in Kilkenny, County Kilkenny, Ireland",St John's Church,Q16970,,"Church of Saint John the Evangelist, Kilkenny"
St John' Church,St John's Church,Q1778619,1,0,2,"church in Bergen, Norway",Johanneskirken,Q2065736|Q16970,,"St John's Church, Bergen"
St John' Church,St John's Church,Q55030028,1,0,2,"church in County Wicklow, Ireland",,Q16970,,
St John' Church,St John's Church,Q55028413,1,0,2,"church in Tralee, County Kerry, Ireland",,Q16970,,
St John' Church,St John's Church,Q24636868,1,0,2,"former church in Dowlais, Merthyr Tydfil County Borough, Wales","St John's Church, Dowlais",Q19899465,,"St John's Church, Dowlais"
St John' Church,St John's Church,Q55045111,1,0,2,"church in Cloverhill, County Cavan, Ireland",,Q16970,,
St John' Church,St John's Church,Q55047685,1,0,2,"church in County Monaghan, County Monaghan, Ireland",,Q16970,,
St John' Church,St John's Church,Q55028705,1,0,2,"church in Drumshanbo, County Leitrim, Ireland",,Q16970,,
St John' Church,St John's Church,Q55029007,1,0,2,"church in Ballycastle, County Mayo, Ireland",,Q16970,,
St John' Church,St John's Church,Q55045848,1,0,2,"church in Killowen, County Cork, Ireland",,Q16970,,
St John' Church,St. John's Church,Q1698949,1,0,2,"church building in Tartu, Estonia","Parish Church of Saint John the Baptist, Tartu",Q16970,,"St. John's Church, Tartu"
St John' Church,St. John's Church,Q3051967,1,0,2,"church in Kolkata, India",St. John's,Q16970,,"St. John's Church, Kolkata"
St John' Church,St. John's Church,Q2568547,1,0,2,Lutheran church in Riga,"st. John's Church, Riga",Q16970,,"St. John's Church, Riga"
St John' Church,Tampere Cathedral,Q1236638,1,0,2,"cathedral in Tampere, Finland",Church of St. John's|St. John's Church,Q56242235|Q2977|Q16970,,Tampere Cathedral
St John' Church,St. John's Episcopal Church,Q7588667,1,0,2,"church building in Washington, D.C., United States of America","St. John's Episcopal Church, Lafayette Square|Church of the Presidents|St. John's Church, Lafayette Square, Washington, D.C.|Saint John's Church, Lafayette Square, Washington, D.C.|St. John's Parish, Lafayette Square, Washington, D.C.|St. John's Episcopal Church, Lafayette Square, Washington, D.C.|St. John's Church, Washington, D.C.|Saint John's Church|St. John's Church",Q56242063|Q2135977|Q1729207,,St. John's Episcopal Church (Lafayette Square)
St John' Church,St. John's Church,Q319037,1,0,2,"Lutheran church in Lüneburg, Germany",St. Johannis|Johanniskirche,Q16970,,"St. John's Church, Lüneburg"
St John' Church,St. John's Church,Q7588612,1,0,2,"church building in Copenhagen Municipality, Denmark",,Q16970,,"St. John's Church, Copenhagen"
St John' Church,St. John the Evangelist Catholic Church,Q60894785,1,0,2,"Catholic church in Frederick, Maryland",St. John the Evangelist Church|St. John's Church,Q1088552|Q317557|Q17143723,,"St. John the Evangelist Catholic Church (Frederick, Maryland)"
St John' Church,St. John's Church,Q873562,1,0,2,"Catholic church in Bremen, Germany","St. John's Church, Bremen",Q317557,,"St. John's Church, Bremen"
St John' Church,St. John's Church,Q58685657,1,0,2,church in Medinipur,"St. John's Church, Midnapore",Q16970,,"St. John's Church, Midnapore"
St John' Church,St John church,Q138528398,1,0,2,Former Armenian church in Jakarta,,Q16970,,
St John' Church,"St John Church, Glenelg",Q131193575,1,0,2,"catholic church in Glenelg, Ontario","St. John Church (Glenelg)|Church of St John, Glenelg|St. John the Evangelist Church|Church of St John|Church of St. John|St John the Evangelist Church|Church of St John the Evangelist|Church of St. John the Evangelist|Saint John's Church|St. John Church|St John Church",Q16970,,
St John' Church,"St John church, Lang Lang",Q106738363,1,0,2,,,,,
St John' Church,San Giovanni church,Q98418733,1,0,2,church in Spinete (CB),St John church in Spinete,Q16970,,
St John' Church,Church of St John,Q26587856,1,0,2,"church building in North Wraxall, Wiltshire, England, UK","St John Church, Ford, North Wraxall",Q16970,,
St John' Church,Church of St John In Grounds Of Whittingham Hospital,Q26458678,1,0,2,"church building in Whittingham, Preston, Lancashire, England, UK","St John Church, Whittingham Hospital",Q16970,,
St John' Church,Church of St John the Evangelist,Q26328635,1,0,2,"church in Accrington, Lancashire, England, UK","St John Church, Accrington",Q16970,,
St John' Church,St John the Evangelist,Q105090992,1,0,2,"church in Highbridge, Somerset","St John Church, Burnham-on-Sea and Highbridge",Q16970,,
St John' Church,St John Church of England Voluntary Controlled Primary School Danbury,Q66224321,1,0,2,"school in Essex, UK",,Q7940973|Q9842,,
St John' Church,St. John Church,Q87068880,1,0,2,,,Q16970,,
St John' Church,St. John Church,Q12293187,1,0,2,"church building in Kruševo, North Macedonia",,Q16970,,
St John' Church,St. John Church,Q42418906,1,0,2,,,Q16970,,
St John' Church,St. John Church,Q7588897,1,0,2,"church building in Connecticut, United States of America",,Q16970,,"St. John Church (Darien, Connecticut)"
St John' Church,St. John church,Q137909301,1,0,2,Armenian church in Nor Geghi,,Q16970,,
St John' Church,St. John Catholic Church,Q137995486,1,0,2,"Catholic church building in Naches, Washington, United States","St. John Catholic Church (Naches, Washington)|Saint John Catholic Church|St. John Church|Saint John Church",Q16970,,
St John' Church,St. John Church,Q131193619,1,0,2,"catholic church in Kitchener, Ontario","St. John Church, Kitchener, Ontario",Q16970,,
St John' Church,St. John church,Q130717912,1,0,2,Armenian church in Sochi,,Q16970,,
St John' Church,St. John Church,Q55591677,1,0,2,"church building in Chernivtsi Oblast, Ukraine",Tserkva sviatoho Ivana,Q16970,,
