data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Adventure of the Clapham Cook,The Adventure of the Clapham Cook,Q17174468,0,0,1,short story by Agatha Christie,,Q7725634,,The Adventure of the Clapham Cook (short story)
The Adventure of the Clapham Cook,The Adventure of the Clapham Cook,Q3208019,0,0,1,1989 television film directed by Edward Bennett,,Q506240|Q21191270,,
The Adventure of the Clapham Cook,The Adventure of the Clapham Cook,Q3519703,0,0,1,Wikimedia disambiguation page,,Q4167410,,The Adventure of the Clapham Cook
The Adventure of the Clapham Cook,Agatha Christie,Q35064,0,0,2,English mystery and detective writer (1890–1976),Agatha Mary Clarissa Miller|Dame Agatha Mary Clarissa Christie|Agatha Christie Mallowan|Lady Mallowan|Queen of Crime|Mary Westmacott,Q5,,Agatha Christie
The Adventure of the Clapham Cook,Agatha Christie,Q391042,0,0,2,Russian punk/synth rock band,Agata Kristi,Q215380,,Agatha Christie (band)
The Adventure of the Clapham Cook,Agatha Christie: The ABC Murders,Q22683400,0,0,2,2016 video game,,Q7889,,Agatha Christie: The ABC Murders (2016 video game)
The Adventure of the Clapham Cook,Agatha Christie: Evil Under the Sun,Q1167453,0,0,2,2007 video game,,Q7889,,Agatha Christie: Evil Under the Sun
The Adventure of the Clapham Cook,Agatha Christie,Q2826457,0,0,2,video game series,,Q7058673,,Agatha Christie (video game series)
The Adventure of the Clapham Cook,Agatha Christie: And Then There Were None,Q2533543,0,0,2,2005 adventure video game,And Then There Were None,Q7889,,Agatha Christie: And Then There Were None
The Adventure of the Clapham Cook,Agatha Christie: Murder on the Orient Express,Q2352386,0,0,2,2006 video game,Agatha Christie: Murder on Orient Express|Murder on the Orient Express|Murder on Orient Express,Q7889,,Agatha Christie: Murder on the Orient Express
The Adventure of the Clapham Cook,Agatha Christie: The ABC Murders,Q4691493,0,0,2,2009 video game for Nintendo DS,,Q7889,,Agatha Christie: The ABC Murders (2009 video game)
The Adventure of the Clapham Cook,Agatha Christie - Hercule Poirot: The First Cases,Q111966896,0,0,2,2021 video game,Agatha Christie:Hercule Poirot: The First Cases|Agatha Christie Hercule Poirot: The First Cases,Q7889,,
The Adventure of the Clapham Cook,Agatha Christie: Death on the Nile,Q17332965,0,0,2,2009 video game,Agatha Christie's: Death on the Nile|Agatha Christie's Death on the Nile|Death on the Nile|Death on Nile,Q7889,,
The Adventure of the Clapham Cook,Agatha Christie's Poirot,Q391101,0,0,2,British television detective series (1989–2013),Poirot,Q5398426,,Agatha Christie's Poirot
The Adventure of the Clapham Cook,Poirot,Q36918949,0,0,2,family name,,Q101352,,Poirot (surname)
The Adventure of the Clapham Cook,Pierre Achille Poirot,Q3383633,0,0,2,French painter (1797-1852),Pierre-Achille Poirot|Poirot,Q5,,
The Adventure of the Clapham Cook,Parcas Dmel_CG7761,Q29810124,0,0,2,protein found in Drosophila melanogaster,poirot|pcs-PB|parcas|parkas|CG7761-PB|pcs|CG7761 gene product from transcript CG7761-RB,Q8054,,
The Adventure of the Clapham Cook,Poirot Investigates,Q1418731,0,0,2,short story collection,,Q7725634,,Poirot Investigates
The Adventure of the Clapham Cook,Poirot,Q123680943,0,0,2,episode of Lessons in Chemistry (S1 E6),,Q21191270,,
The Adventure of the Clapham Cook,Dumb Witness,Q337944,0,0,2,1937 novel by Agatha Christie,Poirot Loses a Client|Mystery At Littlegreen House|Murder At Littlegreen House,Q7725634,,Dumb Witness
The Adventure of the Clapham Cook,Poirot's Early Cases,Q1507576,0,0,2,Short story collection,,Q7725634,,Poirot's Early Cases
The Adventure of the Clapham Cook,Hercule Poirot,Q170534,0,0,2,fictional Belgian detective by Agatha Christie,,Q15632617|Q3658341|Q15773317|Q15773347,,Hercule Poirot
The Adventure of the Clapham Cook,Poirot-Delpech,Q84699027,0,0,2,family name,Poirot-Delpech (family name)|Poirot-Delpech (surname),Q101352|Q29042997,,
The Adventure of the Clapham Cook,Clive Exton,Q2979430,0,0,2,British writer (1930–2007),,Q5,,Clive Exton
Agatha Christie's Poirot,Agatha Christie's Poirot,Q391101,0,1,1,British television detective series (1989–2013),Poirot,Q5398426,,Agatha Christie's Poirot
Agatha Christie's Poirot,"Agatha Christie's Poirot, season 10",Q3729527,0,1,1,season of television series,,Q3464665,,
