data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Comic Relief,Comic Relief,Q1114459,0,0,1,British charity,Charity Projects|Charity Projects Ltd (Comic Relief),Q708676|Q15416|Q163740,,Comic Relief
Comic Relief,comic relief,Q1114403,0,0,1,"Inclusion of a humorous character, scene, or witty dialogue in an otherwise serious work",,Q182545,,Comic relief
Comic Relief,Comic Relief,Q2606099,0,0,1,"episode of Beverly Hills, 90210 (S8 E13)",,Q21191270,,
Comic Relief,Comic Relief,Q5151767,0,0,1,former American non-profit charity organization,Comic Relief USA,Q43229,,Comic Relief USA
Comic Relief,Comic Relief,Q103959422,0,0,1,libre font by Jeff Davis,,Q21777259|Q864011,,
Comic Relief,Comic Relief,Q11680816,0,0,1,Zamboanga musical group,,Q215380,,
Comic Relief,Comic Relief,Q140685185,0,0,1,1986 television special,,Q15416,,
Comic Relief,Comic Relief,Q121143615,0,0,1,production company,,Q11396960,,
Comic Relief,"Comic Relief, Inc.",Q20857880,0,0,1,American sister organization of British charity,Comic Relief Inc.,Q163740,,"Comic Relief, Inc."
Comic Relief,Comic Relief Does Fame Academy contestants,Q5151765,0,0,1,,,,,Comic Relief Does Fame Academy contestants
Comic Relief,SIL Open Font License,Q1150837,0,0,2,free license,OFL|SIL Open Font License (OFL)|Open Font Licence,Q196294,,SIL Open Font License
Comic Relief,SIL Open Font License 1.1,Q113507844,0,0,2,free license,"SIL Open Font License, Version 1.1|OFL-1.1|SIL Open Font License v1.1|OFL-1.1 license|OFL 1.1",Q196294|Q55155149,,SIL Open Font License 1.1
Comic Relief,SIL Open Font License 1.0,Q113507861,0,0,2,free license,"OFL 1.0|SIL Open Font License, Version 1.0",Q196294,,
SIL Open Font License,SIL Open Font License,Q1150837,0,1,1,free license,OFL|SIL Open Font License (OFL)|Open Font Licence,Q196294,,SIL Open Font License
SIL Open Font License,SIL Open Font License 1.1,Q113507844,0,1,1,free license,"SIL Open Font License, Version 1.1|OFL-1.1|SIL Open Font License v1.1|OFL-1.1 license|OFL 1.1",Q196294|Q55155149,,SIL Open Font License 1.1
SIL Open Font License,SIL Open Font License 1.0,Q113507861,0,1,1,free license,"OFL 1.0|SIL Open Font License, Version 1.0",Q196294,,
SIL Open Font License,OSI-approved license,Q1156659,0,1,2,software license certified by the Open Source Initiative (OSI) as complying with the Open Source Definition,Open Source License|Open source licenses|Open Source Licenses|Open-source licence|Open source licence|Open source software license|Open-source license|Open Source Initiative-approved license,Q138846055,Q207621|Q196294|Q97044024|Q63032908,List of OSI approved software licenses
SIL Open Font License,open-source license,Q97044024,0,1,2,"license for computer software and other products that allows the source code, blueprint or design to be used, modified and/or shared under defined terms and conditions",open source licenses|open source software license|open source license|open-source licence|OSS license|OSS licence,Q138846055,Q207621|Q196294,Open-source license
SIL Open Font License,Open source license litigation,Q96397532,0,1,2,lawsuits around open-source software,,,,Open source license litigation
SIL Open Font License,Open Source License Compliance-Why and How?,Q114988152,0,1,2,scientific article published in 2019,,Q13442814,,
SIL Open Font License,Open Source License Inconsistencies on GitHub,Q119957716,0,1,2,scientific article published in 2022,,Q13442814,,
Braggadocio,Braggadocio,Q3471704,1,0,1,"unincorporated community in Pemiscot County, Missouri, United States","Braggadocio, Missouri|Braggadocio, MO",Q17343829,,"Braggadocio, Missouri"
Braggadocio,Braggadocio,Q4955415,1,0,1,geometric sans-serif stencil typeface,Stagg,Q424598|Q864011|Q123783896,,Braggadocio (typeface)
Braggadocio,Braggadocio,Q4955418,1,0,1,Self-aggrandizing lyrical content,,Q1053916,,Braggadocio (rap)
Braggadocio,Braggadocio Township,Q9036808,1,0,1,township in Missouri,"Braggadocio Township, Pemiscot County, Missouri",Q6270791,,"Braggadocio Township, Pemiscot County, Missouri"
Braggadocio,Braggadocio Baptist Church Cemetery,Q117628507,1,0,1,"cemetery in Pemiscot County, Missouri, United States",,Q39614,,
Braggadocio,Braggadocio,Q4955412,1,0,1,Wikimedia disambiguation page,,Q4167410,,Braggadocio
