data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Light for the World,Light for the World,Q873136,0,0,1,organization,Light for the World International,Q163740,,Light for the World
Light for the World,Light for the World,Q106074097,0,0,1,2020 studio album / Recorded by Poor Clares of Arundel,,Q482994,,Light for the World (album)
Light for the World,Light for the World,Q66311338,0,0,1,national NGO from Belgium,Light For The World Belgium,Q163740,,
Light for the World,Light for the World - Light for the World e.V.,Q136533459,0,0,1,,,Q163740,,
Light for the World,Light for the world,Q12057745,0,0,1,,,Q163740,,
Light for the World,Light of the World,Q1008557,0,0,2,phrase used by Jesus to describe himself and his disciples,,Q1969448|Q1969448,,Light of the World
Light for the World,Light of the World,Q3838391,0,0,2,interview-book by Benedict XVI,,Q7725634,,
Light for the World,I am the light of the world,Q34212494,0,0,2,phrase used by Jesus to describe himself,John 8:12|Light of the World,Q1969448,,
Light for the World,The Light of the World,Q7747295,0,0,2,2003 film,Light of the World,Q11424,,The Light of the World (film)
Light for the World,Light of the World,Q6546214,0,0,2,light of the World were a British jazz-funk band,,Q215380,,Light of the World (band)
Light for the World,Light of the World,Q48800826,0,0,2,album by Kamasi Washington,,Q482994,,Light of the World (album)
Light for the World,Christ of Lewis Street,Q33122380,0,0,2,sculpture by Vassano Clementi,Light of the World,Q860861,,
Light for the World,Light of the World,Q64510680,0,0,2,painting by Peter Blume,,Q3305213,,
Light for the World,Light of the World,Q135967774,0,0,2,2025 animated film directed Tom Bancroft and John J. Schafer,,Q202866,,Light of the World (film)
Light for the World,Light of the World,Q104861621,0,0,2,2021 single by Kim Appleby,,Q105543609,,Light of the World (song)
WorldFish,WorldFish,Q1486149,1,0,1,organization,,Q43229,,WorldFish
WorldFish,WorldFish,Q50376946,1,0,1,"nonprofit organization in Honiara, Solomon Islands",,Q163740,,
WorldFish,WorldFish,Q50376948,1,0,1,"nonprofit organization in Los Baños, Philippines",,Q163740,,
WorldFish,WorldFish,Q50376947,1,0,1,"nonprofit organization in Zomba, Malawi",,Q163740,,
Raise,farmer,Q131512,2,0,1,"person engaged in agriculture, raising living organisms for food or raw materials",agriculturist|grower|raiser|cultivator|agriculturer,Q12737077|Q778000,Q19261760|Q108290536|Q126838368,Farmer
Raise,Raise,Q99911238,2,0,1,family name,Raise (family name)|Raise (surname),Q101352,,
Raise,raised bog,Q3240227,2,0,1,bog exclusively fed by precipitation and poor in mineral salts,ombrotrophic bog|moor,,Q271669|Q1681353|Q170321,Raised bog
Raise,blind shaft,Q884353,2,0,1,connects 2 or more levels of a mine without reaching the surface,staple|inside shaft|staple shaft|raise|staple pit|szybik,,Q556186,
Raise,Raise,Q134964847,2,0,1,video game developed by Engrave Studios,,Q7889,,
Raise,intracranial hypertension,Q18558125,2,0,1,Human disease,elevated intracranial pressure|raised intracranial pressure,Q63345803|Q112193867,Q576349|Q95566669,
Raise,Raisen district,Q1815223,2,0,1,"district of Madhya Pradesh, India",,Q1149652,,Raisen district
Raise,Raiser Games,Q111342152,2,0,1,Spanish video game publisher,,Q1137109,,
Raise,Aufhauen,Q759725,2,0,1,German term: a term used in mining technology,Raise,Q151885|Q1914636|Q1550194,,Raise (mining)
Raise,Raised on Rock / For Ol' Times Sake,Q1754412,2,0,1,1973 studio album by Elvis Presley,,Q482994,,Raised on Rock / For Ol' Times Sake
Raise,Clara Gaymard,Q2975487,2,0,2,French businessperson,Clara Lejeunne,Q5,,Clara Gaymard
Raise,Raise the Bar,Q105806112,2,0,2,2021 film directed by Guðjón Ragnarsson,Hækkum rána,Q11424,,Raise the Bar (film)
Raise,Raise the Bar,Q17037308,2,0,2,book by Jon Taffer,,Q7725634,,Raise the Bar
Raise,Raise the Bar,Q86288241,2,0,2,scientific article published on 01 October 2015,,Q13442814,,
Raise,Raise the Bar and Lower the Dose: Current and Future Strategies for Radiation Dose Reduction in Head and Neck Imaging,Q38085535,2,0,2,"scientific article published on February 28, 2013",,Q13442814,,
Raise,"Raise the Bar to Help Pregnant Smokers, Rather Than Lower It",Q88429848,2,0,2,scientific article published on 01 May 2018,,Q13442814,,
Raise,Raise the bar for stroke care certification program,Q80313414,2,0,2,scientific article published on 01 July 2004,,Q13442814,,
Raise,Raise the bar rather than retire significance,Q92564962,2,0,2,scientific article published on 01 March 2019,,Q13442814,,
Raise,"Raise the bar for safe sedation, not barriers for access to care",Q89363570,2,0,2,scientific article published on 01 March 2017,,Q13442814|Q871232,,
Raise,Raise the Bar Even Higher for Primary Prevention Interventions,Q87370223,2,0,2,"scientific article published on September 24, 2012",,Q13442814,,
Raise,Raise the Bar Even Higher for Primary Prevention Interventions—Reply,Q57765906,2,0,2,,,Q13442814,,
Raise,Raise Your Voice,Q258847,2,0,2,2004 film by Sean McNamara,,Q11424,,Raise Your Voice
Raise,Raise Your Voice!,Q2432156,2,0,2,single by Bad Religion,,Q134556,,
Raise,Raise your voice! Über den Zusammenhang zwischen Lautstärkemerkmalen in literarischen Prosatexten und der Emanzipation der Frau von 1848 bis 1920,Q128033184,2,0,2,paper presented at DHd 2020,,Q23927052|Q113649847,,
Raise,Raise your voice,Q75837124,2,0,2,scientific article published on 01 October 1951,,Q13442814,,
Raise,Raise Your Voice for Pharmacy,Q125659640,2,0,2,scientific article published in 1980,,Q13442814,,
Raise,Raise Your Voice for Meningitis Prevention This Back-to-School Season,Q51751043,2,0,2,"scientific article published on September 1, 2010",,Q13442814,,
Clara Gaymard,Clara Gaymard,Q2975487,2,1,1,French businessperson,Clara Lejeunne,Q5,,Clara Gaymard
Saurer,Saurer,Q37570451,3,0,1,family name,,Q101352,,
Saurer,Saurer,Q365515,3,0,1,organization,"Aktiengesellschaft Adolph Saurer|AG Adolph Saurer (Arbon)|Saurer AG, Adolph|Oesterreichische Saurer-Werke AG.",Q43229|Q2005696|Q20058198|Q4830453,,Saurer
Saurer,Saurerpetontidae,Q21216066,3,0,1,family of amphibians (fossil),,Q16521,,
Saurer,Saurer 4K 4FA,Q694742,3,0,1,1961 armored personnel carrier family,4K 4FA,Q100709275,Q4407246,Saurer 4K 4FA
Saurer,Saurer Schlafhorst (Czech Republic),Q30258963,3,0,1,"company in Náchod, Czech Republic",Saurer (Czechia),Q4830453|Q6881511,,
Saurer,Saurer Tartaruga,Q2227737,3,0,1,type of armored personnel carrier,,Q100710213,Q4407246,Saurer Tartaruga
Saurer,Saurerbach,Q136687122,3,0,1,Creek and tributary stream of the Grötschbach between Großwöllmiß and Gößnitzgraben in Styria,,Q47521,,
