data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
eckez,,,0,0,0,,,,,
ewfae,,,1,0,0,,,,,
Montevano,,,2,0,0,,,,,
Kcnab,KCNAB1,Q18032654,3,0,1,protein-coding gene in the species Homo sapiens,AKR6A3|KCNA1B|KV-BETA-1|Kvb1.3|hKvBeta3|hKvb3|potassium voltage-gated channel subfamily A member regulatory beta subunit 1|potassium voltage-gated channel subfamily A regulatory beta subunit 1,Q7187,Q20747295,KCNAB1
Kcnab,KCNAB2,Q18033049,3,0,1,protein-coding gene in the species Homo sapiens,AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2|potassium voltage-gated channel subfamily A regulatory beta subunit 2,Q7187,Q20747295,KCNAB2
Kcnab,kcnab1a,Q29771958,3,0,1,protein-coding gene in the species Danio rerio,"potassium voltage-gated channel, shaker-related subfamily, beta member 1 a|zgc:113627|kcnab1",Q20747295,,
Kcnab,Potassium voltage-gated channel subfamily A regulatory beta subunit 2,Q21113517,3,0,1,mammalian protein found in Homo sapiens,"potassium voltage-gated channel, shaker-related subfamily, beta member 2|voltage-gated potassium channel subunit beta-2|Kv-beta-2|potassium channel, voltage gated subfamily A regulatory beta subunit 2|hKvbeta2|KCNAB2|K(+) channel subunit beta-2",Q8054,,
Kcnab,Kcnab1,Q18251780,3,0,1,protein-coding gene in the species Mus musculus,"Akr8a8|Kvbeta1.1|mKv(beta)1|potassium voltage-gated channel, shaker-related subfamily, beta member 1",Q7187,Q20747295,
Kcnab,KCNAB3,Q18033905,3,0,1,protein-coding gene in the species Homo sapiens,AKR6A9|KCNA3.1B|KCNA3B|KV-BETA-3|potassium voltage-gated channel subfamily A regulatory beta subunit 3,Q7187,Q20747295,KCNAB3
Kcnab,Potassium voltage-gated channel subfamily A member regulatory beta subunit 1,Q21107840,3,0,1,mammalian protein found in Homo sapiens,"potassium channel, voltage gated subfamily A regulatory beta subunit 1|K(+) channel subunit beta-1|potassium voltage-gated channel, shaker-related subfamily, beta member 1|potassium channel beta 3 chain|Kv-beta-1|KCNAB1|voltage-gated potassium channel subunit beta-1|potassium channel beta3 subunit|potassium channel shaker chain beta 1a|K+ channel Beta1a chain",Q8054,,
Kcnab,Kcnab2,Q18251781,3,0,1,protein-coding gene in the species Mus musculus,"F5|I2rf5|Kcnb3|kv-beta-2|potassium voltage-gated channel, shaker-related subfamily, beta member 2",Q7187,Q20747295,
Kcnab,"Potassium voltage-gated channel, shaker-related subfamily, beta member 2",Q21494633,3,0,1,mammalian protein found in Mus musculus,Kcnab2|K(+) channel subunit beta-2|neuroimmune protein F5|voltage-gated potassium channel subunit beta-2|Kv-beta-2,Q8054,,
Kcnab,Kcnab3,Q18251782,3,0,1,protein-coding gene in the species Mus musculus,"C330022D06Rik|Kcnab4|mKv(beta)4|potassium voltage-gated channel, shaker-related subfamily, beta member 3",Q7187,Q20747295,
Kcnab,Kcnab1,Q24383318,3,0,2,protein-coding gene in the species Rattus norvegicus,KvBeta3|potassium voltage-gated channel subfamily A member regulatory beta subunit 1|potassium voltage-gated channel subfamily A regulatory beta subunit 1,Q7187,Q20747295,
Kcnab,"Potassium voltage-gated channel, shaker-related subfamily, beta member 1",Q21494634,3,0,2,mammalian protein found in Mus musculus,Kcnab1|kv-beta-1|K(+) channel subunit beta-1|voltage-gated potassium channel subunit beta-1,Q8054,,
Kcnab,Potassium voltage-gated channel subfamily A regulatory beta subunit 1,Q28556584,3,0,2,mammalian protein found in Rattus norvegicus,"voltage-gated potassium channel subunit beta-1|Kvbeta1.1|Kcnab1|kv-beta-1|Kvbeta1.2|Kvbeta1.3|potassium voltage-gated channel, shaker-related subfamily, beta member 1|potassium channel, voltage gated subfamily A regulatory beta subunit 1|voltage-gated potassium channel beta subunit|K(+) channel subunit beta-1|potassium voltage-gated channel subfamily A member regulatory beta subunit 1|potassium channel, voltage-gated shaker related subfamily A regulatory beta subunit 1",Q8054,,
Kcnab,KCNAB1,Q24612531,3,0,2,gene of the species Macaca nemestrina,,,Q7187|Q20747295,
Kcnab,kcnab1b,Q29776052,3,0,2,protein-coding gene in the species Danio rerio,"potassium voltage-gated channel, shaker-related subfamily, beta member 1 b|si:dkeyp-94h10.1",Q20747295,,
Kcnab,KCNAB1-AS2,Q18072510,3,0,2,non-coding RNA in the species Homo sapiens,KCNAB1 antisense RNA 2,Q427087|Q7187,Q427087,
Kcnab,Kcnab2,Q24395633,3,0,2,protein-coding gene in the species Rattus norvegicus,potassium voltage-gated channel subfamily A regulatory beta subunit 2,Q7187,Q20747295,
Kcnab,kcnab2a,Q29770400,3,0,2,protein-coding gene in the species Danio rerio,"potassium voltage-gated channel, shaker-related subfamily, beta member 2 a|kcnab2|potassium voltage-gated channel subfamily A regulatory beta subunit 2a",Q7187,,
Kcnab,Potassium voltage-gated channel subfamily A regulatory beta subunit 2,Q28561951,3,0,2,mammalian protein found in Rattus norvegicus,"potassium channel, voltage gated subfamily A regulatory beta subunit 2|voltage-gated potassium channel subunit beta-2|potassium channel, voltage gated shaker-related subfamily A regulatory beta subunit 2|Kcnab2|K(+) channel subunit beta-2|potassium voltage-gated channel, shaker-related subfamily, beta member 2|kv-beta-2",Q8054,,
Kcnab,KCNAB2,Q24616333,3,0,2,gene of the species Macaca nemestrina,,,Q7187|Q20747295,
Kcnab,kcnab2b,Q29752355,3,0,2,protein-coding gene in the species Danio rerio,"potassium voltage-gated channel, shaker-related subfamily, beta member 2 b|zgc:171453",Q20747295,,
Kcnab,Kcnab3,Q24423242,3,0,2,protein-coding gene in the species Rattus norvegicus,potassium voltage-gated channel subfamily A regulatory beta subunit 3,Q7187,Q20747295,
Kcnab,Potassium voltage-gated channel subfamily A regulatory beta subunit 3,Q21113502,3,0,2,mammalian protein found in Homo sapiens,"potassium channel, voltage gated subfamily A regulatory beta subunit 3|K(+) channel subunit beta-3|potassium voltage-gated channel, shaker-related subfamily, beta member 3|KCNAB3|Kv-beta-3|voltage-gated potassium channel subunit beta-3|potassium channel, voltage-dependent, beta-3 subunit",Q8054,,
Kcnab,Potassium voltage-gated channel subfamily A regulatory beta subunit 3,Q28556188,3,0,2,mammalian protein found in Rattus norvegicus,"voltage-gated potassium channel subunit beta-3|kv-beta-3|potassium channel, voltage gated subfamily A regulatory beta subunit 3|RCK beta3|K(+) channel subunit beta-3|potassium channel, voltage gated shaker-related subfamily A regulatory beta subunit 3|Kcnab3|potassium voltage gated channel, shaker related subfamily, beta member 3",Q8054,,
Kcnab,KCNAB3,Q24590128,3,0,2,protein-coding gene in the species Macaca nemestrina,potassium voltage-gated channel subfamily A regulatory beta subunit 3,Q7187,Q7187|Q20747295,
La Erosse,La Grosse Équipe,Q20971339,4,0,2,,,Q10689397,,
La Erosse,La Grosse Décharge Ouest,Q90898284,4,0,2,"creek in Quebec, Canada",,Q355304,,La Grosse Décharge Ouest
La Erosse,Grosse Isle,Q3117068,4,0,2,"island in Saint-Antoine-de-l'Isle-aux-Grues, Quebec, Canada","Grosse Isle, Quebec|La Grosse Île",Q23442,,Grosse Isle
La Erosse,La Grosse-Roche,Q112871333,4,0,2,"lieu-dit in Audet, Quebec, Canada",,Q181307,,
La Erosse,LA GROSSESSE À L’ADOLESCENCE,Q139957826,4,0,2,,,Q1980247,,
La Erosse,LA GROSSESSE À L’ADOLESCENCE,Q139959500,4,0,2,,,Q1980247,,
La Erosse,La Grosse Bertha,Q3209616,4,0,2,"""Big Bertha"", a French satirical magazine",,Q11032,,La Grosse Bertha
La Erosse,New York City,Q60,4,0,2,most populous city in the United States,"the five boroughs|City of New York|NY City|New York City, New York|New York, NY|New York City, NY|Capital of the World|New York City (NYC)|New York (city)|city of New York|Center of the Universe|New York City, USA|New York City, United States of America|New York, New York, USA|New York (NY)|New York, N.Y.|NY, NY|New York City, United States|N. Y., N. Y.|New York City, New York, United States|Empire City",Q208511|Q2264924|Q1093829|Q515|Q1549591|Q51929311|Q15063611|Q200250|Q174844,,New York City
La Erosse,La Grosse Boule,Q22700550,4,0,2,"island in Quebec, Canada",,Q23442,,
La Erosse,La Grosse Bite à Dudule,Q3209614,4,0,2,lascivious French song,,Q2544997|Q105543609,,
La Erosse,La Grossa (Calders),Q17608137,4,0,2,"masia in Calders (Moianès, Catalonia)",,Q585956,,
La Erosse,La Grossa de Queralt,Q11930543,4,0,2,mountain in Spain,,Q8502,,
La Erosse,La grossa de Nadal,Q105732321,4,0,2,,,Q3331189,,
La Erosse,Nuts to You,Q114465933,4,0,2,episode of The Penguins of Madagascar (S3 E17),,Q21191270,,
La Erosse,Grossa de Cap d'Any,Q15128016,4,0,2,Catalan Christmas Lotery,,Q189409,,
Millet,Millet,Q16877024,5,0,1,family name,,Q101352,,Millet (surname)
Millet,Jean-François Millet,Q148458,5,0,1,French painter (1814–1875),Jean François Millet|Jean-Francois Millet|Jean Francois Millet|Mile|Zhan Fransua Mille|Mi-yeh|François genannt Francisque Millet|Jan Francois Millet|jean-francois millet|millet j. f.|millet jean francois|François Millet|Millet|millet j.f.|Jean François Millet.|J. F. Millet|franqois millet|j.f. millet,Q5,,Jean-François Millet
Millet,Millet,Q104459845,5,0,1,newspaper in Simferopol,ملت,Q1002697|Q11032,,
Millet,Millet,Q113453755,5,0,1,male given name,,Q12308941,,
Millet,millet,Q259438,5,0,1,group of small-seeded grasses,millets|minor cereals,,Q12117,Millet
Millet,Millettia,Q2628493,5,0,1,genus of plants,,Q16521,,Millettia
Millet,Millettia pinnata,Q1973585,5,0,1,synonym of Pongamia pinnata,Pongamia|Indian beech|Pongame oiltree,Q16521,,Millettia pinnata
Millet,Francisque Millet,Q3751077,5,0,1,French painter and engraver (1642–1679),"Jean François Millet|Jean Francois I Miley|Jean Francois I Milet|Francesco Mile|Francesco Mille|François Millé|Jean François, I Millet|François Milè|Francisco Mille|François Mille|Jean François Millee|Francesque Millet|Jean Francois, I Millet|Jean-François Millet the Elder|Jean-François Millet|Jean-François, the elder Millet|Jean Francois I Millet|Francisque Miley|Francisque Milet|François Millie|François Milee|François Millet|Jean Francois I Mille|Jean Francois, I Mille|Francisco Mile|François Millee|Francisque, the elder Millet|François Mile|Jean François Mille|Jean François Mile|Francisque Millé|Jean-Francois Millet|Jean Francois Millet|Jean Francois, I Milet|Jean Francois, I Miley|Francisque Mille|Francesco Millé|Jean-François (I (Francisque Millet)) Millet|J. F. Millet Francisque|Jean-François I, see Francisque For Millet|Jean François (I) (Francisque Millet) Millet|Jean-François I For Millet see Francisque|Francesco Milé|F. Meli|Fr. Millé|jean francois millet I|Millê|Millé|Millè|F. Millè|F. Millé|F. Mile|F. Mili|Fra. Milé|Francisque Mile|Fra. Mille|pere Francisque|Francis Milé|François Millet gen. Francisque|Francesco Myleet|Mile|Called, Francisque Francesco Mille|J.-F. Millet|dit Francisque J. Millet|Francisque|Fr. Mille|Fran Mille|Millo|F. Mille|Fr. Milet|Fr. Millet|Mille|Fran. Milet|Jean Milé|Francisque-Milet|F. Milé|F. Milè|Francisque-Millet|Mielé|F. Miellie|Francisque Milé ou Millet|Francisco Melé|F. Meili|Francisque Milé|17. jahrh. jean francois millet|Frans Millé|Frantz Millé|called Françisque Fr. Mile|Francesque|F. Millet|Frans Milet|Francis Mile|Franciso Milé|F. Millee|Milé|genannt Francisque Francois Millet|Francisco Miele|le Milé|Jean François I Millet|François Milet|Johann Franciscus Millet|F. Milee|Fran. Mielle|Milet|F. Milet|Francis Mille|F. Miley|Fran. Mille|Fracisque|gen. francisque francois millet|Fran. Mele|Jean Millet|Francisco Milleé|Melé|Mellie|Fra. Milet|E Mille|Francisco|or Mile, Called, Francisque Francesco Mille|Francisco Milet|gen. francisque j. f. millet|Fran Miele|Frans Millet|Fra. Mile|Jan François Millet genannt Francisque|Francis Millé|Francisco Mele|Melée|Francisque Millft|F. Millie|gen. Francisque Jean François Millet|Millet|Frantz Mille|Franc. Mille|Millee|Jean François Millet I",Q5,,Francisque Millet
Millet,Millet,Q109384183,5,0,1,"mahalle (administrative quarter) in Yıldırım, Bursa, northwestern Turkey",,Q17051044,,
Millet,Millet,Q108909435,5,0,1,"mahalle (administrative quarter) in Konak, İzmir, western Turkey","Millet, Konak",Q17051044,,
Millet,Sorghum,Q12111,5,0,2,genus of plants,,Q16521,,Sorghum (genus)
Millet,Sorghum bicolor,Q332062,5,0,2,species of plant,Jowar|Sudan Grass|milo,Q16521,Q11992872|Q157957,Sorghum
Millet,Sorghum halepense,Q858360,5,0,2,species of plant,Johnsongrass|Johnson grass|great millet,Q16521,,Johnson grass
Millet,Sorghum propinquum,Q11077524,5,0,2,species of plant,,Q16521,,Sorghum propinquum
Millet,Sorghum ×drummondii,Q747719,5,0,2,"nothospecies of plant, Sudan grass",Sorghum drummondii,Q16521,Q11992872,Sorghum × drummondii
Millet,Sorghum arundinaceum,Q11704010,5,0,2,species of plant,,Q16521,,Sorghum arundinaceum
Millet,Sorghum plumosum,Q15522806,5,0,2,species of plant,,Q16521,,
Millet,Sorghum durra,Q9339670,5,0,2,species of plant,,Q16521,,
Millet,Sorghum bicolor subsp. bicolor,Q15637225,5,0,2,subspecies of plant,Broom-corn,Q16521,,
Millet,Sorghum nitidum,Q10890838,5,0,2,species of plant,,Q16521,,
Millet,Pennisetum glaucum,Q654332,5,0,2,species of plant,bulrush millet|candle millet|dark millet|cattail millet|Bajra|Pearl millet,Q16521,,
Millet,pearl millet,Q104037539,5,0,2,seed from Pennisetum glaucum,,,Q259438,
Millet,Pearl millet field Bhagwal باجرے دی فصل  بھگوال,Q123607845,5,0,2,"agriculture field in Punjab, Pakistan",Bhagwal بھگوال,Q11451,,
Millet,Pearl millet (Pennisetum Glaucum L.) response after ferti-irrigation with sugar mill effluent in two seasons,Q59321506,5,0,2,,,Q13442814,,
Millet,Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments.,Q43558909,5,0,2,scientific article,,Q13442814,,
Millet,Pearl millet [Pennisetum glaucum (L.) R. Br.] consensus linkage map constructed using four RIL mapping populations and newly developed EST-SSRs,Q34623421,5,0,2,scientific article,"Millet, Bajra",Q13442814,,
Millet,Pearl millet transformation system using the positive selectable marker gene phosphomannose isomerase.,Q44731049,5,0,2,scientific article,,Q13442814,,
Millet,Pearl millet cysteine protease inhibitor. Evidence for the presence of two distinct sites responsible for anti-fungal and anti-feedent activities,Q54077450,5,0,2,scientific article published on 01 October 1999,,Q13442814,,
Millet,"Pearl millet, a source of alpha amylase production by Bacillus licheniformis",Q51502457,5,0,2,scientific article published in July 2005,,Q13442814,,
Millet,Pearl Millet Genome: Lessons from a Tough Crop,Q46264229,5,0,2,scientific article,,Q13442814,,
Gastoia,,,6,0,0,,,,,
Weaherford,Weatherford,Q970527,7,0,2,"city in and county seat of Parker County, Texas, United States","Weatherford, Texas|Weatherford, TX",Q1093829|Q62049,,"Weatherford, Texas"
Weaherford,Weatherford,Q37182971,7,0,2,family name,,Q101352,,
