data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Argyle,Argyll,Q652539,0,0,1,"historic shire of western Scotland; heartland of the ancient kingdom of Dál Riata, encompassing Knapdale, Kintyre, and the Inner Hebrides",Argyle|Argyllshire|Dalriada heartland|MacTavish country,Q7309443|Q67376938|Q1350181,,Argyll
Argyle,Argyle,Q5355042,0,0,1,"former state electoral district of New South Wales, Australia",Electoral district of Argyle|Argyle electoral district,Q3032154,,Electoral district of Argyle
Argyle,Argyle,Q37118538,0,0,1,family name,,Q101352,,Argyle (surname)
Argyle,Argyle,Q63955231,0,0,1,male given name,,Q12308941,,
Argyle,Plymouth Argyle F.C.,Q48947,0,0,1,"association football club in Plymouth, England",Plymouth Argyle Football Club|Plymouth Argyle FC|The Pilgrims|Plymouth Argyle|Plymouth|Argyle|PAFC,Q476028,,Plymouth Argyle F.C.
Argyle,tartan,Q216797,0,0,1,"Scottish cloth pattern, said (often erroneously) to represent a clan, region, or other group of people",plaid|argyle,,Q7200585,Tartan
Argyle,Argyle,Q4789817,0,0,1,"county of New South Wales, Australia",Argyle County,Q15643578,,Argyle County
Argyle,Municipality of the District of Argyle,Q2861090,0,0,1,"district municipality in Yarmouth County, Nova Scotia","Argyle, Nova Scotia|Argyle|Argyle, Yarmouth County, Nova Scotia|Municipality of Argyle|Argyle Municipal District|Argyle Township",Q15731904,,Municipality of the District of Argyle
Argyle,Argyle,Q178424,0,0,1,"city in Texas, United States","Argyle, Texas|Argyle, TX",Q1093829,,"Argyle, Texas"
Argyle,Argyle,Q4789807,0,0,1,"town in Washington County, New York","Argyle, New York|Argyle, NY",Q106071004,,"Argyle (town), New York"
Argyle,Argyle,Q3461130,0,0,2,"village in Washington County, New York","Argyle (village), New York|Argyle, New York|Argyle, NY",Q55237813,,"Argyle (village), New York"
Argyle,Argyle,Q296835,0,0,2,Wikimedia disambiguation page,,Q4167410,,Argyle
Curtiss,Curtiss,Q37497963,1,0,1,family name,,Q101352,,
Curtiss,Curtiss,Q1145694,1,0,1,1916–1929 aircraft manufacturer in the United States,Curtiss Aircraft|Curtiss Aeroplane Company|Curtiss Motor Company|Curtiss Aeroplane and Motor Company,Q936518|Q431289,,Curtiss Aeroplane and Motor Company
Curtiss,Curtiss,Q28436251,1,0,1,given name,,Q202444,,Curtiss (name)
Curtiss,Curtiss P-36 Hawk,Q933767,1,0,1,US fighter aircraft,Hawk 75|Curtiss 75|H75|Curtiss P-36|P-36 Hawk,Q15056993,Q18491097|Q53644291|Q135214932|Q69129709,Curtiss P-36 Hawk
Curtiss,Curtiss-Wright,Q1138291,1,0,1,aircraft manufacturer in the United States,Curtiss-Wright Corporation,Q936518|Q891723|Q4830453|Q219577,,Curtiss-Wright
Curtiss,Curtiss SB2C Helldiver,Q918312,1,0,1,1940 scout bomber aircraft family,Helldiver|Curtiss Scout Bomber Design 2|Curtiss Helldiver|Curtiss A-25 shrike|A-25 Shrike|SB2C|Curtiss SB2C|SB2C Helldiver,Q15056993,Q18552499|Q11614373|Q678321|Q78597174,Curtiss SB2C Helldiver
Curtiss,Curtiss P-6 Hawk,Q1145775,1,0,1,US fighter aircraft,Hawk|Hawk II|Hawk 2|P-6,Q15056993,Q15145336,Curtiss P-6 Hawk
Curtiss,Curtiss F6C Hawk,Q63753,1,0,1,1925 fighter aircraft series,"Hawk aircraft (F6C)|Curtiss Fighter Design 6|Curtiss F6C Hawk|Hawk|""Hawk""|F6C Hawk",Q15056993,Q15145336|Q18520599,Curtiss F6C Hawk
